dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
species,"Intracalcarine cortex, superior",low_confidence,0.549864,HOMBA:10214,posterior parietal cortex,hierarchy_parent,"Intracalcarine cortex, superior",posterior parietal cortex,,1.0,superolateral temporal cortex (area 22),0.52318,B_algo,wrong top-1 (better candidate exists)
species,Reuniens-rhomboid-xiphoid Thalamus,low_confidence,0.570161,HOMBA:AA30276,ventral midline nuclei of thalamus,hierarchy_parent,Reuniens-rhomboid-xiphoid Thalamus,ventral midline nuclei of thalamus,,1.0,rhomboid (central) nucleus of thalamus,0.490161,B_algo,hierarchy_parent over-promotion
species,Medial Dorsal Tegmentum,low_confidence,0.592028,HOMBA:11522,magnocellular (dorsal) division of BM,bm25+fuzzy,Medial Dorsal Tegmentum,dorsal,medial;dorsal,1.0,dorsal cell group of medulla tegmentum,0.558909,B_algo,wrong top-1 (better candidate exists)
species,Anterior Thalamus,low_confidence,0.592982,HOMBA:AA30289,ventroanterior-ventrolateral nuclear complex of thalamus,hierarchy_parent,Anterior Thalamus,ventroanterior-ventrolateral nuclear complex of thalamus,,1.0,anterior nuclear complex of thalamus,0.584146,B_algo,hierarchy_parent over-promotion
species,Corpus callosum and associated subcortical white matter,low_confidence,0.598768,HOMBA:AA30482,white matter of brain,bm25+hierarchy_parent,Corpus callosum and associated subcortical white matter,white matter of brain,,1.0,corpus callosum,0.564446,B_algo,wrong top-1 (better candidate exists)
species,Centrolateral and Paracentral Thalamus,needs_review,0.601481,HOMBA:10443,rostral intralaminar nuclei of thalamus,hierarchy_parent,Centrolateral and Paracentral Thalamus,rostral intralaminar nuclei of thalamus,,1.0,ventroanterior-ventrolateral nuclear complex of thalamus,0.553369,B_algo,hierarchy_parent over-promotion
species,"Ventral striatal region, unspecified",needs_review,0.601926,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,bm25+fuzzy,"Ventral striatal region, unspecified",ventral,ventral,1.0,anterior (ventral) spinal artery,0.601926,B_algo,weak/lone-token fuzzy trap
species,Fastigial Cerebellar Nucleus,needs_review,0.609505,HOMBA:10660,cerebellar deep nuclei,bm25+fuzzy,fastigial cerebellar nuclei,cerebellar deep nuclei,,1.0,fastigial (medial) nucleus,0.594249,B_algo,wrong top-1 (better candidate exists)
species,Orbital cortex (ventral),needs_review,0.62947,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,bm25+fuzzy,Orbital cortex (ventral),ventral,ventral,1.0,anterior (ventral) spinal artery,0.62947,B_algo,weak/lone-token fuzzy trap
species,"Laterodorsal thalamic nucleus, ventrolateral part",needs_review,0.647906,HOMBA:10443,rostral intralaminar nuclei of thalamus,hierarchy_parent,"Laterodorsal thalamic nucleus, ventrolateral part",rostral intralaminar nuclei of thalamus,,1.0,ventral midline nuclei of thalamus,0.636578,B_algo,hierarchy_parent over-promotion
species,Anterior Interposed Cerebellar Nucleus,needs_review,0.649711,HOMBA:12471,pontine raphe region,hierarchy_parent,Anterior Interposed Cerebellar Nucleus,pontine raphe region,,1.0,interpositus (intermediate) nucleus,0.618063,B_algo,hierarchy_parent over-promotion
species,Posterior Interposed Cerebellar Nucleus,needs_review,0.665441,HOMBA:12844,posterior lobe of cerebellar cortex,bm25+fuzzy,Posterior Interposed Cerebellar Nucleus,posterior lobe of cerebellar cortex,posterior,1.0,"posterior lobe, vermis part",0.653192,B_algo,wrong top-1 (better candidate exists)
species,Ventral orbital area,needs_review,0.695,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,bm25+fuzzy,Ventral orbital area,ventral,ventral,1.0,anterior (ventral) spinal artery,0.695,B_algo,weak/lone-token fuzzy trap
species,Caudate putamen,needs_review,0.69875,HOMBA:146034746,caudate-putamen cell bridges,bm25+fuzzy,caudate lenticular nucleus,caudate lenticular nucleus cell bridges,,1.0,putamen (lateroventral division of the CP),0.266276,B_algo,wrong top-1 (better candidate exists)
species,Lateral Cerebellar Nucleus,needs_review,0.700172,HOMBA:AA30564,lateral region of cerebellar hemisphere,bm25+fuzzy,Lateral Cerebellar Nucleus,lateral region of cerebellar hemisphere,lateral,1.0,lateral nucleus of amygdala,0.429884,B_algo,wrong top-1 (better candidate exists)
species,Ventroposterior inferior thalamic nucleus,needs_review,0.700393,HOMBA:10409,pulvinar of thalamus,bm25+hierarchy_parent,Ventroposterior inferior thalamic nucleus,pulvinar of thalamus,,1.0,caudal intralaminar nuclei of thalamus,0.653024,B_algo,hierarchy_parent over-promotion
species,Centrolateral and paracentral thalamic nuclei,needs_review,0.719859,HOMBA:10443,rostral intralaminar nuclei of thalamus,hierarchy_parent,Centrolateral and paracentral thalamic nuclei,rostral intralaminar nuclei of thalamus,,1.0,paracentral nucleus of thalamus,0.639859,B_algo,hierarchy_parent over-promotion
species,Interanteromedial Thalamus,needs_review,0.724368,HOMBA:AA30276,ventral midline nuclei of thalamus,hierarchy_parent,Interanteromedial Thalamus,ventral midline nuclei of thalamus,,1.0,interanteromedial nucleus of thalamus,0.644368,B_algo,hierarchy_parent over-promotion
species,Intermediodorsal Thalamus,needs_review,0.729483,HOMBA:AA30274,dorsal midline nuclei of thalamus,hierarchy_parent,Intermediodorsal Thalamus,dorsal midline nuclei of thalamus,,1.0,intermediodorsal  nucleus of thalamus,0.649483,B_algo,hierarchy_parent over-promotion
species,Superior Olive,needs_review,0.734583,HOMBA:12470,medial superior olivary nucleus,bm25+fuzzy,Superior Olive,medial superior olive,,1.0,lateral superior olivary nucleus,0.715038,B_algo,wrong top-1 (better candidate exists)
species,Pedunculopontine Nucleus,needs_review,0.739583,HOMBA:12406,pontine nucleus,fuzzy+hierarchy_parent,Pedunculopontine Nucleus,pontine nucleus,,1.0,peduncular part of pontine nucleus,0.598279,B_algo,wrong top-1 (better candidate exists)
species,Ventrolateral thalamic nucleus,needs_review,0.744627,HOMBA:10443,rostral intralaminar nuclei of thalamus,hierarchy_parent,Ventrolateral thalamic nucleus,rostral intralaminar nuclei of thalamus,,1.0,dorsal midline nuclei of thalamus,0.720288,B_algo,hierarchy_parent over-promotion
species,Juxtaparaventricular nucleus,needs_review,0.773333,HOMBA:10457,paraventricular nucleus of thalamus,fuzzy+hierarchy_parent,Juxtaparaventricular nucleus,paraventricular nucleus,,1.0,subventricular nucleus,0.594091,B_algo,wrong top-1 (better candidate exists)
species,Spinal Trigeminal Nucleus Intermediate,needs_review,0.7809,HOMBA:12436,afferent nuclei of cranial nerves in pons,hierarchy_parent,Spinal Trigeminal Nucleus Intermediate,afferent nuclei of cranial nerves in pons,,1.0,spinal trigeminal nucleus,0.75465,B_algo,hierarchy_parent over-promotion
species,Medial Raphe,needs_review,0.8075,HOMBA:12402,fastigial (medial) nucleus,bm25+fuzzy,Medial Raphe,medial,medial,1.0,medial (magnocellular) division of MD,0.8075,B_algo,weak/lone-token fuzzy trap
species,Abducens Motor Nucleus,needs_review,0.819332,HOMBA:12417,efferent nuclei of cranial nerves in pons,hierarchy_parent,Abducens Motor Nucleus,efferent nuclei of cranial nerves in pons,,1.0,abducens nucleus,0.739332,B_algo,hierarchy_parent over-promotion
species,Ventromedial thalamic nucleus,needs_review,0.823683,HOMBA:10448,caudal intralaminar nuclei of thalamus,hierarchy_parent,Ventromedial thalamic nucleus,caudal intralaminar nuclei of thalamus,,1.0,rostral intralaminar nuclei of thalamus,0.746714,B_algo,hierarchy_parent over-promotion
species,Paraventricular hypothalamic nucleus,needs_review,0.866136,HOMBA:AA30274,dorsal midline nuclei of thalamus,hierarchy_parent,Paraventricular hypothalamic nucleus,dorsal midline nuclei of thalamus,,1.0,paraventricular nucleus of thalamus,0.786136,B_algo,hierarchy_parent over-promotion
species,Subparafascicular parvocellular thalamic nucleus,needs_review,0.89591,HOMBA:AA30276,ventral midline nuclei of thalamus,hierarchy_parent,Subparafascicular parvocellular thalamic nucleus,ventral midline nuclei of thalamus,,1.0,subparafascicular nucleus of thalamus,0.81591,B_algo,hierarchy_parent over-promotion
