query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Facial nucleus,facial nucleus,HOMBA:12420,1.0,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,,1.0,high_confidence,"facial nucleus, stylohyoid subnucleus",0.770833
Trigeminal nucleus (motor),"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",HOMBA:12429,1.0,bm25+fuzzy,motor principal sensory nucleus of trigeminal nerve,principal sensory nucleus of trigeminal nerve motor,motor,1.0,high_confidence,principal sensory nucleus of trigeminal nerve,0.88
Trigeminal nucleus (principal sensory),principal sensory nucleus of trigeminal nerve,HOMBA:12444,1.0,bm25+exact+fuzzy,Trigeminal nucleus,Trigeminal nucleus,principal;sensory;principal sensory,1.0,high_confidence,spinal trigeminal nucleus,0.977518
Cuneate nucleus,cuneate nucleus,HOMBA:12589,1.0,bm25+exact+fuzzy+hierarchy_parent,Cuneate nucleus,Cuneate nucleus,,1.0,high_confidence,sensory relay nuclei in medulla oblongata,0.97
Cuneate nucleus (external),external (accessory/lateral) cuneate nucleus,HOMBA:12588,1.0,bm25+fuzzy,external   cuneate nucleus,Cuneate nucleus,external,1.0,high_confidence,cuneate nucleus,0.88
Gracile nucleus,gracile nucleus,HOMBA:12592,1.0,bm25+exact+fuzzy+hierarchy_parent,Gracile nucleus,Gracile nucleus,,1.0,high_confidence,"gracile nucleus, central division",0.755952
Hypoglossal nucleus,hypoglossal nucleus,HOMBA:12545,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,,1.0,high_confidence,other nuclei in dorsal medulla,0.909167
Inferior olive (principal nucleus),inferior olive,HOMBA:12600,1.0,bm25+exact+fuzzy,Inferior olive,Inferior olive,principal;nucleus;principal nucleus,0.333333,modifier_conflict,"inferior olive, principal division",1.0
Spinal trigeminal nucleus (caudalis),"spinal trigeminal nucleus, caudal division",HOMBA:12573,1.0,bm25+fuzzy,spinal trigeminal nucleus caudalis part,Spinal trigeminal nucleus (caudalis),caudalis,1.0,high_confidence,spinal trigeminal nucleus,0.88
Spinal trigeminal nucleus (interpolaris),"spinal trigeminal nucleus, interpolar division",HOMBA:12578,1.0,bm25+fuzzy,spinal trigeminal nucleus interpolaris part,Spinal trigeminal nucleus (interpolaris),interpolaris,1.0,high_confidence,spinal trigeminal nucleus,0.88
Spinal trigeminal nucleus (oralis),spinal trigeminal nucleus,HOMBA:12572,0.88,bm25+exact+fuzzy,Spinal trigeminal nucleus,Spinal trigeminal nucleus,oralis,0.0,needs_review,"spinal nucleus of trigeminal nerve, rostral subnucleus",0.848054
Vestibular nucleus,vestibular nuclei in pons,HOMBA:12448,1.0,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,,1.0,high_confidence,vestibular nuclei in medulla,0.816733
Optic chiasm,optic chiasm,HOMBA:10644,1.0,bm25+exact+fuzzy,Optic chiasm,Optic chiasm,,1.0,high_confidence,optic nerve,0.249627
Optic tract,optic tract,HOMBA:10589,1.0,bm25+exact+fuzzy,Optic tract,Optic tract,,1.0,high_confidence,nucleus of the optic tract  (lentiform nucleus),0.590499
Roots of the abducens nerve,root of abducens nerve,HOMBA:12861,0.699804,bm25+fuzzy,root of abducens nerve,Roots of the abducens nerve,,1.0,needs_review,roots of typical spinal nerves,0.471915
Roots of the facial nerve,root of facial nerve,HOMBA:12862,0.682345,bm25+fuzzy+hierarchy_parent,root of facial nerve,Roots of the facial nerve,,1.0,needs_review,genu of the facial nerve,0.67203
Roots of the trigeminal nerve,root of trigeminal nerve,HOMBA:12865,0.713953,bm25+fuzzy+hierarchy_parent,root of trigeminal nerve,Roots of the trigeminal nerve,,1.0,needs_review,motor root of trigeminal nerve,0.629503
Corticospinal tract,corticospinal tract,HOMBA:12047,1.0,bm25+exact+fuzzy,Corticospinal tract,Corticospinal tract,,1.0,high_confidence,lateral corticospinal tract,0.736733
Medial lemniscus,medial lemniscus,HOMBA:12763,1.0,bm25+exact+fuzzy,Medial lemniscus,Medial lemniscus,medial,1.0,high_confidence,decussation of medial lemniscus,0.861263
Medial longitudinal fasciculus,medial longitudinal fasciculus,HOMBA:12764,1.0,bm25+exact+fuzzy,Medial longitudinal fasciculus,Medial longitudinal fasciculus,medial,1.0,high_confidence,medial longitudinal fasciculus in spinal cord,0.9325
Spinothalamic tract,spinothalamic tract,HOMBA:12789,1.0,bm25+exact+fuzzy,Spinothalamic tract,Spinothalamic tract,,1.0,high_confidence,dorsolateral spinothalamic tract in spinal cord,0.590779
Cerebral peduncle,cerebral peduncle (crus cerebri),HOMBA:12330,1.0,bm25+exact+fuzzy,Cerebral peduncle,Cerebral peduncle,,1.0,high_confidence,telencephalon,0.307902
Trigeminal tract (mesencephalic),mesencephalic trigeminal tract,HOMBA:12767,0.982135,bm25+fuzzy,mesencephalic trigeminal tract,Trigeminal tract (mesencephalic),mesencephalic,1.0,high_confidence,mesencephalic trigeminal nucleus,0.737178
Inferior cerebellar peduncle,inferior cerebellar peduncle,HOMBA:12741,1.0,bm25+exact+fuzzy,Inferior cerebellar peduncle,Inferior cerebellar peduncle,,1.0,high_confidence,middle cerebellar peduncle (brachium pontis),0.676787
Middle cerebellar peduncle,middle cerebellar peduncle (brachium pontis),HOMBA:12768,1.0,bm25+exact+fuzzy,Middle cerebellar peduncle,Middle cerebellar peduncle,,1.0,high_confidence,cerebellar morphology,0.323046
Superior cerebellar peduncle,superior cerebellar peduncle (brachium conjunctivum),HOMBA:12354,1.0,bm25+exact+fuzzy,Superior cerebellar peduncle,Superior cerebellar peduncle,,1.0,high_confidence,decussation of superior cerebellar peduncle,0.7425
Superior cerebellar peduncle (decussation),decussation of superior cerebellar peduncle,HOMBA:12337,1.0,bm25+fuzzy,decussation of superior cerebellar peduncle,Superior cerebellar peduncle,decussation,1.0,high_confidence,superior cerebellar peduncle (brachium conjunctivum),0.88
Cuneate fasciculus,cuneate fasciculus,HOMBA:12731,1.0,bm25+exact+fuzzy,Cuneate fasciculus,Cuneate fasciculus,,1.0,high_confidence,cuneate fasciculus in spinal cord,0.696591
Gracile fasciculus,gracile fasciculus,HOMBA:12739,1.0,bm25+exact+fuzzy,Gracile fasciculus,Gracile fasciculus,,1.0,high_confidence,gracile fasciculus in spinal cord,0.696591
Pyramidal decussation,pyramidal decussation,HOMBA:12772,1.0,bm25+exact+fuzzy,Pyramidal decussation,Pyramidal decussation,decussation,1.0,high_confidence,supraoptic decussation,0.387051
Spinal trigeminal tract,spinal trigeminal tract,HOMBA:12792,1.0,bm25+exact+fuzzy,Spinal trigeminal tract,Spinal trigeminal tract,,1.0,high_confidence,mesencephalic trigeminal tract,0.635392
Anterior commissure,anterior commissure,HOMBA:10559,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,,1.0,high_confidence,rostral (anterior) branch of anterior commissure,0.697635
Fornix (anterior columns),fornix,HOMBA:10576,0.88,bm25+exact+fuzzy,Fornix,Fornix,anterior;columns;anterior columns,0.0,needs_review,"cingulate gyrus, rostral (anterior) part",0.581102
Internal capsule (posterior limb),caudal limb of internal capsule,HOMBA:10584,0.957379,bm25+fuzzy,posterior limb of internal capsule,Internal capsule (posterior limb),posterior;limb;posterior limb,1.0,high_confidence,internal capsule,0.88
Mammillothalamic tract,mammillothalamic tract,HOMBA:10586,1.0,bm25+exact+fuzzy,Mammillothalamic tract,Mammillothalamic tract,,1.0,high_confidence,pyramidal tract,0.305573
Posterior commissure,posterior commissure,HOMBA:10567,1.0,bm25+exact+fuzzy,Posterior commissure,Posterior commissure,posterior,1.0,high_confidence,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.974167
Cerebral aqueduct,cerebral aqueduct,HOMBA:12369,1.0,bm25+exact+fuzzy,Cerebral aqueduct,Cerebral aqueduct,,1.0,high_confidence,telencephalon,0.307902
Fourth ventricle,fourth ventricle,HOMBA:12805,1.0,bm25+exact+fuzzy+hierarchy_parent,Fourth ventricle,Fourth ventricle,,1.0,high_confidence,region of fourth ventricle,0.899038
Obex,obex,HOMBA:12812,1.0,bm25+exact+fuzzy,Obex,Obex,,1.0,high_confidence,,
Oculomotor nucleus,oculomotor nucleus,HOMBA:12198,1.0,bm25+exact+fuzzy+hierarchy_parent,Oculomotor nucleus,Oculomotor nucleus,,1.0,high_confidence,efferent nuclei of the cranial nerves in midbrain,0.97
Edinger-Westphal nucleus (preganglionic),Edinger-Westphal nucleus (accessory oculomotor nucleus),HOMBA:12197,0.88,bm25+exact+fuzzy,Edinger-Westphal nucleus,Edinger-Westphal nucleus,preganglionic,0.0,needs_review,pre-Edinger-Westphal nucleus,0.7392
Trochlear nucleus,trochlear nucleus,HOMBA:12206,1.0,bm25+exact+fuzzy,Trochlear nucleus,Trochlear nucleus,,1.0,high_confidence,efferent nuclei of the cranial nerves in midbrain,0.97
Motor trigeminal nucleus,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",HOMBA:12429,1.0,bm25+exact+fuzzy+hierarchy_parent,Motor trigeminal nucleus,Motor trigeminal nucleus,,1.0,high_confidence,afferent nuclei of cranial nerves in pons,0.816733
Principal sensory trigeminal nucleus,principal sensory nucleus of trigeminal nerve,HOMBA:12444,1.0,bm25+fuzzy,principal sensory nucleus of trigeminal nerve,principal sensory principal sensory nucleus of trigeminal nerve,principal,1.0,high_confidence,spinal trigeminal nucleus,0.960882
Spinal trigeminal nucleus,spinal trigeminal nucleus,HOMBA:12572,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal trigeminal nucleus,Spinal trigeminal nucleus,,1.0,high_confidence,afferent nuclei of cranial nerves in pons,0.817465
Accessory trigeminal nucleus,accessory facial nucleus,HOMBA:12419,0.760807,bm25+fuzzy,accessory facial nucleus,Accessory trigeminal nucleus,accessory,1.0,needs_review,accessory nerve nucleus (supraspinal nucleus),0.759173
Accessory facial nucleus,accessory facial nucleus,HOMBA:12419,1.0,bm25+exact+fuzzy,Accessory facial nucleus,Accessory facial nucleus,accessory,1.0,high_confidence,accessory nerve nucleus (supraspinal nucleus),0.407932
Superior salivatory nucleus,superior salivatory nucleus,HOMBA:12435,1.0,bm25+exact+fuzzy,Superior salivatory nucleus,Superior salivatory nucleus,,1.0,high_confidence,superior olivary complex,0.363392
Inferior salivatory nucleus,inferior salivatory nucleus,HOMBA:12544,1.0,bm25+exact+fuzzy,Inferior salivatory nucleus,Inferior salivatory nucleus,,1.0,high_confidence,inferior olive,0.32663
Ventral cochlear nucleus,ventral cochlear nucleus,HOMBA:12439,1.0,bm25+exact+fuzzy,Ventral cochlear nucleus,Ventral cochlear nucleus,ventral,1.0,high_confidence,"ventral cochlear nucleus, caudal division",0.995
Dorsal cochlear nucleus,dorsal cochlear nucleus,HOMBA:12438,1.0,bm25+exact+fuzzy,Dorsal cochlear nucleus,Dorsal cochlear nucleus,dorsal,1.0,high_confidence,dorsal part of pontine nucleus,0.429551
Pontobulbar nucleus,pontobulbar nucleus,HOMBA:12614,1.0,bm25+exact+fuzzy,Pontobulbar nucleus,Pontobulbar nucleus,,1.0,high_confidence,"pontobulbar nucleus, inferior division",0.675947
Dorsal motor nucleus of vagus,dorsal motor nucleus of the vagus (vagal nerve nucleus),HOMBA:12550,1.0,bm25+fuzzy,dorsal motor nucleus of the vagus,Dorsal motor nucleus of vagus,dorsal,1.0,high_confidence,"dorsal motor nucleus of vagus, caudal division",0.990833
Nucleus ambiguus,ambiguus nucleus,HOMBA:12540,0.838077,bm25+fuzzy+hierarchy_parent,ambiguus nuclei,nuclei ambiguus,,1.0,needs_review,"ambiguus nucleus, loose division",0.637129
Vagus (spinal accessory) neurons,spinal accessory nucleus,HOMBA:AA30587,0.729973,bm25+fuzzy,spinal accessory nucleus,Vagus (spinal accessory) neurons,spinal;accessory;spinal accessory,1.0,needs_review,roots of spinal accessory nerve,0.68059
Nucleus of the solitary tract,solitary nucleus,HOMBA:12557,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus of the solitary tract,Nucleus of the solitary tract,,1.0,high_confidence,"solitary nucleus, gelatinous division",0.858333
Area postrema,area postrema,HOMBA:12807,1.0,bm25+exact+fuzzy,Area postrema,Area postrema,,1.0,high_confidence,,
Prepositus nucleus,prepositus hypoglossal nucleus,HOMBA:12615,0.698698,bm25+fuzzy,prepositus hypoglossal nuclei,prepositus nuclei,,1.0,needs_review,cerebellar deep nuclei,0.258872
Intermediate reticular zone,intermediate reticular nucleus,HOMBA:12620,0.818505,bm25+fuzzy,intermediate reticular nuclei,Intermediate reticular zone,reticular,1.0,needs_review,intermediate zone of neocortex,0.620333
Lateral reticular nucleus (magnocellular),lateral reticular nucleus,HOMBA:12634,1.0,bm25+exact+fuzzy,Lateral reticular nucleus,Lateral reticular nucleus,magnocellular;lateral;reticular,0.666667,modifier_conflict,"lateral reticular nucleus, magnocellular division",1.0
Lateral reticular nucleus (parvicellular),lateral reticular nucleus,HOMBA:12634,1.0,bm25+exact+fuzzy,Lateral reticular nucleus,Lateral reticular nucleus,parvicellular;lateral;reticular,0.666667,modifier_conflict,"lateral reticular nucleus, parvicellular division",1.0
Ventrolateral medulla,myelencephalon (medulla oblongata),HOMBA:10662,0.72379,bm25+fuzzy+hierarchy_parent,medulla oblongata,ventrolateral medulla oblongata,,1.0,needs_review,tegmentum of medulla oblongata,0.603716
Pedunculopontine tegmentum,pontine tegmentum,HOMBA:12416,0.761218,bm25+fuzzy+hierarchy_parent,pontine tegmentum,Pedunculopontine tegmentum,,1.0,needs_review,midbrain tegmentum,0.48819
Laterodorsal tegmentum,laterodorsal subdivision of PuM,HOMBA:AA30860,0.50405,bm25+fuzzy,laterodorsal subdivision of PuM,Laterodorsal tegmentum,,1.0,low_confidence,pontine tegmentum,0.49945
Lateral parabrachial nucleus,lateral parabrachial nucleus,HOMBA:12482,1.0,bm25+exact+fuzzy,Lateral parabrachial nucleus,Lateral parabrachial nucleus,lateral,1.0,high_confidence,"lateral parabrachial nucleus, central division",0.9975
Medial parabrachial nucleus,medial parabrachial nucleus,HOMBA:12487,1.0,bm25+exact+fuzzy,Medial parabrachial nucleus,Medial parabrachial nucleus,medial,1.0,high_confidence,"medial parabrachial nucleus, medial division",1.0
External lateral parabrachial nucleus,"lateral parabrachial nucleus, external division",HOMBA:12485,1.0,bm25+fuzzy,external part lateral parabrachial nucleus,External lateral parabrachial nucleus,external;lateral,1.0,high_confidence,"medial parabrachial nucleus, external division",0.817259
Periaqueductal gray,periaqueductal gray region,HOMBA:AA30359,0.94,bm25+fuzzy,periaqueductal gray region,Periaqueductal gray,,1.0,high_confidence,periaqueductal gray substance,0.845546
Locus coeruleus,nucleus coeruleus (locus coeruleus),HOMBA:12499,1.0,bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,,1.0,high_confidence,,
A1 catecholaminergic cell group,A8 dopamine cell group,HOMBA:AA30843,0.545644,bm25+fuzzy,A8 dopamine cell group,A1 catecholaminergic cell group,,1.0,low_confidence,A2 noradrenaline cell group,0.504427
A4 catecholaminergic cell group,A8 dopamine cell group,HOMBA:AA30843,0.545644,bm25+fuzzy,A8 dopamine cell group,A4 catecholaminergic cell group,,1.0,low_confidence,A2 noradrenaline cell group,0.504427
A5 catecholaminergic cell group,A8 dopamine cell group,HOMBA:AA30843,0.545644,bm25+fuzzy,A8 dopamine cell group,A5 catecholaminergic cell group,,1.0,low_confidence,A2 noradrenaline cell group,0.504427
A8 catecholaminergic cell group,A8 dopamine cell group,HOMBA:AA30843,0.673483,bm25+fuzzy,A8 dopamine cell group,A8 catecholaminergic cell group,,1.0,needs_review,A2 noradrenaline cell group,0.504427
Ventral tegmental area,ventral tegmental area,HOMBA:12261,1.0,bm25+exact+fuzzy,Ventral tegmental area,Ventral tegmental area,ventral,1.0,high_confidence,ventral tegmental tract in hindbrain,0.876515
Dorsal raphe,dorsal raphe nucleus,HOMBA:12223,0.947851,bm25+fuzzy,dorsal raphe nuclei,Dorsal raphe,dorsal,1.0,high_confidence,cap of dorsal raphe nucleus,0.778654
Median raphe,median raphe nucleus,HOMBA:12235,0.711952,bm25+fuzzy,median raphe nuclei,Median raphe,,1.0,needs_review,pontine raphe region,0.681079
Raphe magnus,raphe magnus nucleus,HOMBA:12642,0.711952,bm25+fuzzy,raphe magnus nuclei,Raphe magnus,,1.0,needs_review,raphe nuclei in medulla oblongata,0.681079
Raphe obscurus,raphe obscurus nucleus,HOMBA:12643,0.734583,bm25+fuzzy,raphe obscurus nuclei,Raphe obscurus,,1.0,needs_review,raphe nuclei in medulla oblongata,0.700542
Solitary tract,solitary tract,HOMBA:12783,1.0,bm25+exact+fuzzy,Solitary tract,Solitary tract,,1.0,high_confidence,solitary nucleus,0.615963
Corticospinal tract (pyramids),corticospinal tract,HOMBA:12047,0.88,bm25+exact+fuzzy,Corticospinal tract,Corticospinal tract,pyramids,0.0,needs_review,lateral corticospinal tract,0.7172
Cerebellar cortex (molecular layer),molecular layer of cerebellar cortex,HOMBA:AA30427,0.956353,bm25+fuzzy,molecular layer of cerebellar cortex,Cerebellar cortex (molecular layer),molecular;layer;molecular layer,1.0,high_confidence,cerebellar cortex,0.88
Cerebellar cortex (Purkinje cell layer),Purkinje cell layer of cerebellar cortex,HOMBA:AA30428,1.0,bm25+fuzzy,Purkinje cell layer of cerebellar cortex,cerebellar cortex purkinje cell layer of cerebellar cortex,purkinje;cell;layer;purkinje cell layer,1.0,high_confidence,cerebellar cortex,0.88
Cerebellar cortex (granular layer),cerebellar cortex,HOMBA:10657,0.88,bm25+exact+fuzzy,Cerebellar cortex,Cerebellar cortex,granular;layer;granular layer,0.0,needs_review,granular cell layer of cerebellar cortex,0.823867
Cerebellar vermis,cerebellar vermis,HOMBA:10658,1.0,bm25+exact+fuzzy,Cerebellar vermis,Cerebellar vermis,,1.0,high_confidence,cerebellar morphology,0.97
Cerebellar hemisphere,cerebellar hemisphere,HOMBA:10659,1.0,bm25+exact+fuzzy+hierarchy_parent,Cerebellar hemisphere,Cerebellar hemisphere,,1.0,high_confidence,cerebellar morphology,0.97
Flocculus,lobule Xa (flocculus),HOMBA:AA30424,1.0,bm25+exact+fuzzy,Flocculus,Flocculus,,1.0,high_confidence,lobule X (nodulus and flocculus),0.642155
Fastigial nucleus,fastigial (medial) nucleus,HOMBA:12402,1.0,bm25+exact+fuzzy+hierarchy_parent,Fastigial nucleus,Fastigial nucleus,,1.0,high_confidence,"fastigial nucleus, medial division",0.734583
Globose nucleus,medial interpositus (globose) nucleus,HOMBA:12400,1.0,bm25+exact+fuzzy,Globose nucleus,Globose nucleus,,1.0,high_confidence,interpositus (intermediate) nucleus,0.97
Emboliform nucleus,lateral interpositus (emboliform) nucleus,HOMBA:12401,1.0,bm25+exact+fuzzy,Emboliform nucleus,Emboliform nucleus,,1.0,high_confidence,interpositus (intermediate) nucleus,0.97
Dentate nucleus,dentate (lateral) nucleus,HOMBA:12396,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate nucleus,Dentate nucleus,,1.0,high_confidence,"dentate nucleus, mediodorsal division",0.675458
Inferior olive,inferior olive,HOMBA:12600,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior olive,Inferior olive,,1.0,high_confidence,hilus of the inferior olive,0.722962
Precentral gyrus,precentral gyrus,HOMBA:12114,1.0,bm25+exact+fuzzy,Precentral gyrus,Precentral gyrus,,1.0,high_confidence,uncus of (para)hippocampal gyrus,0.310425
Postcentral gyrus,postcentral gyrus,HOMBA:12132,1.0,bm25+exact+fuzzy,Postcentral gyrus,Postcentral gyrus,,1.0,high_confidence,uncus of (para)hippocampal gyrus,0.310425
Rolandic operculum,frontal operculum,HOMBA:12127,0.48302,bm25+fuzzy,frontal operculum,Rolandic operculum,,1.0,low_confidence,parietal operculum,0.4615
Superior frontal gyrus (dorsolateral),superior frontal gyrus,HOMBA:12115,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,dorsolateral,0.0,needs_review,dorsolateral prefrontal gyrus,0.714645
Middle frontal gyrus,middle frontal gyrus,HOMBA:12116,1.0,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,,1.0,high_confidence,frontal lobe,0.97
Inferior frontal gyrus (opercular part),"inferior frontal gyrus, opercular part",HOMBA:12119,1.0,bm25+exact+fuzzy,Inferior frontal gyrus (opercular part),Inferior frontal gyrus (opercular part),opercular,1.0,high_confidence,inferior frontal gyrus,0.88
Inferior frontal gyrus (triangular part),"inferior frontal gyrus, triangular part",HOMBA:12118,1.0,bm25+exact+fuzzy,Inferior frontal gyrus (triangular part),Inferior frontal gyrus (triangular part),triangular,1.0,high_confidence,inferior frontal gyrus,0.88
Superior frontal gyrus (medial),superior frontal gyrus,HOMBA:12115,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,medial,0.0,needs_review,superior frontal sulcus,0.575335
Supplementary motor area,medial division of area 6 (supplementary motor area),HOMBA:AA30012,1.0,bm25+exact+fuzzy,Supplementary motor area,Supplementary motor area,,1.0,high_confidence,lamina IX of spinal cord (spinal motor neurons),0.301485
Paracentral lobule,"paracentral lobule, rostral part",HOMBA:12126,0.789651,bm25+fuzzy,"paracentral lobule, rostral part",Paracentral lobule,,1.0,needs_review,"paracentral lobule, caudal part",0.691583
Superior frontal gyrus (orbital part),superior frontal gyrus,HOMBA:12115,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,orbital,0.0,needs_review,orbital frontal cortex,0.643561
Superior frontal gyrus (medial orbital),superior frontal gyrus,HOMBA:12115,0.88,bm25+exact+fuzzy,Superior frontal gyrus,Superior frontal gyrus,medial;orbital;medial orbital,0.0,needs_review,medial orbital frontal cortex (area 14),0.697939
Middle frontal gyrus (orbital part),middle frontal gyrus,HOMBA:12116,0.88,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,orbital,0.0,needs_review,medial orbital gyrus,0.65544
Inferior frontal gyrus (orbital part),inferior frontal gyrus,HOMBA:12117,0.88,bm25+exact+fuzzy,Inferior frontal gyrus,Inferior frontal gyrus,orbital,0.0,needs_review,"inferior frontal gyrus, opercular part",0.689432
Gyrus rectus,rectus gyrus,HOMBA:12121,1.0,bm25+exact+fuzzy,Gyrus rectus,Gyrus rectus,,1.0,high_confidence,uncus of (para)hippocampal gyrus,0.310425
Olfactory cortex,olfactory division of entorhinal cortex,HOMBA:11371,0.640418,bm25+fuzzy,olfactory division of entorhinal cortex,Olfactory cortex,,1.0,needs_review,olfactory tubercle,0.277171
Superior temporal gyrus,superior temporal gyrus,HOMBA:12140,1.0,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,,1.0,high_confidence,temporal lobe,0.97
Heschl gyrus,cuneus (gyrus),HOMBA:12150,0.625,bm25+fuzzy,gyrus,Heschl gyrus,,1.0,needs_review,precuneaus (gyrus),0.625
Middle temporal gyrus,middle temporal gyrus,HOMBA:12141,1.0,bm25+exact+fuzzy,Middle temporal gyrus,Middle temporal gyrus,,1.0,high_confidence,temporal lobe,0.97
Inferior temporal gyrus,inferior temporal gyrus,HOMBA:12142,1.0,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,,1.0,high_confidence,temporal lobe,0.97
Superior parietal gyrus,parietal lobe,HOMBA:12131,0.877148,bm25+hierarchy_parent,parietal lobe,Superior parietal gyrus,,1.0,needs_review,superior parietal lobule (gyrus),0.797148
Inferior parietal lobule,inferior parietal lobule (gyrus),HOMBA:12134,1.0,bm25+exact+fuzzy,Inferior parietal lobule,Inferior parietal lobule,,1.0,high_confidence,parietal lobe,0.97
Angular gyrus,angular gyrus,HOMBA:12136,1.0,bm25+exact+fuzzy,Angular gyrus,Angular gyrus,,1.0,high_confidence,inferior parietal lobule (gyrus),0.8342
Supramarginal gyrus,supramarginal gyrus,HOMBA:12135,1.0,bm25+exact+fuzzy,Supramarginal gyrus,Supramarginal gyrus,,1.0,high_confidence,inferior parietal lobule (gyrus),0.8342
Precuneus,precuneaus (gyrus),HOMBA:12137,1.0,bm25+exact+fuzzy,Precuneus,Precuneus,,1.0,high_confidence,,
Superior occipital gyrus,superior occipital gyrus,HOMBA:12154,1.0,bm25+exact+fuzzy,Superior occipital gyrus,Superior occipital gyrus,,1.0,high_confidence,occipital lobe,0.97
Middle occipital gyrus,occipital lobe,HOMBA:12148,0.643946,bm25+fuzzy+hierarchy_parent,occipital lobe,Middle occipital gyrus,,1.0,needs_review,middle ectosylvian gyrus,0.5763
Inferior occipital gyrus,inferior occipital gyrus,HOMBA:12153,1.0,bm25+exact+fuzzy,Inferior occipital gyrus,Inferior occipital gyrus,,1.0,high_confidence,occipital lobe,0.97
Cuneus,cuneus (gyrus),HOMBA:12150,1.0,bm25+exact+fuzzy,Cuneus,Cuneus,,1.0,high_confidence,,
Calcarine fissure and surrounding cortex,calcarine sulcus (fissure),HOMBA:10612,0.571632,bm25+fuzzy+hierarchy_parent,calcarine fissure,Calcarine fissure and surrounding cortex,,1.0,low_confidence,rostral (common) portion of calcarine sulcus,0.435584
Lingual gyrus,lingual gyrus,HOMBA:12151,1.0,bm25+exact+fuzzy,Lingual gyrus,Lingual gyrus,,1.0,high_confidence,uncus of (para)hippocampal gyrus,0.310425
Fusiform gyrus,fusiform (occipitotemporal) gyrus,HOMBA:AA30549,1.0,bm25+exact+fuzzy,Fusiform gyrus,Fusiform gyrus,,1.0,high_confidence,uncus of (para)hippocampal gyrus,0.310425
Temporal pole (superior temporal gyrus),temporal pole (temporopolar cortex),HOMBA:12146,1.0,bm25+exact+fuzzy,Temporal pole,Temporal pole,superior;temporal;gyrus;superior temporal gyrus,0.25,modifier_conflict,superior temporal gyrus,0.513108
