structure_name,fullname,species,paper,n_mentions,n_papers,region_class,suitability,unsuitable_reason,class_corrected,region_class_before,audit_stage,final_certainty,final_confidence
VP,ventral pallidum,Mouse,PM42133082,118,53,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
STN,subthalamic nucleus,Mouse,PM35263607,110,52,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
CA3,CA3,Mouse,PM37426757,108,62,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
hippocampus,hippocampus,Mouse,PM40757734,104,77,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
cerebellum,cerebellum,Mouse,PM36455518,102,58,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DMS,dorsomedial striatum,Mouse,PM37156610,102,51,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
dLGN,dorsal lateral geniculate nucleus,Mouse,PM38890758,96,50,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
RE,reuniens nucleus,Mouse,PM34301721,94,34,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
TRN,thalamic reticular nucleus,Mouse,PM40894799,94,36,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
VPM,ventral posteromedial thalamus,Mouse,PM36693103,91,49,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DG,dentate gyrus,Mouse,PM36040301,90,47,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
LHb,lateral habenula,Mouse,PM39067532,90,42,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DCN,dorsal cochlear nucleus,Mouse,PM35645738,84,29,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
LS,lateral septum,Mouse,PM39150998,84,37,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
hypothalamus,hypothalamus,Mouse,PM35413481,80,56,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
DLS,dorsolateral striatum,Mouse,PM37156610,77,43,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PB,parabrachial nucleus,Mouse,PM39801453,75,18,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
ZI,zona incerta,Mouse,PM39099402,71,37,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
LHA,lateral hypothalamic area,Mouse,PM41722046,70,34,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VLPAG,ventrolateral periaqueductal gray,Mouse,PM35813503,68,29,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
LGN,lateral geniculate nucleus,Mouse,PM41702717,67,47,non_neocortex,suitable,,no,non_neocortex,flash,high,0.99
SNc,substantia nigra pars compacta,Mouse,PM38272967,66,38,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PPN,pedunculopontine nucleus,Mouse,PM33907215,65,16,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
dorsal striatum,dorsal striatum,Mouse,PM36395541,63,37,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
putamen,putamen,Human,PM38601798,63,25,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
POm,posterior medial thalamus,Mouse,PM36735778,62,32,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
vHPC,ventral hippocampus,Mouse,PM40204437,62,25,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
CLA,claustrum,Mouse,PM36774552,61,15,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
PF,parafascicular nucleus,Mouse,PM38260117,61,33,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
DRN,dorsal raphe nucleus,Mouse,PM39593192,60,31,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
VL,ventrolateral thalamus,Mouse,PM40657851,59,27,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PO,posterior nucleus,Mouse,PM36096667,57,25,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PVH,paraventricular hypothalamus,Mouse,PM39179131,56,33,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Sub,subiculum,Mouse,PM32433957,56,19,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
superior colliculus,superior colliculus,Mouse,PM36438664,56,38,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VPL,ventral posterolateral nucleus,Mouse,PM38993679,56,38,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
LPB,lateral parabrachial nucleus,Mouse,PM35838792,55,26,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
VM,ventromedial thalamus,Mouse,PM37645018,54,33,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
cervical spinal cord,cervical spinal cord,Mouse,PM35122444,53,29,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
EC,entorhinal cortex,Mouse,PM37827206,53,32,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
MGB,medial geniculate body,Mouse,PM33103997,53,23,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
claustrum,claustrum,Mouse,PM32975316,50,24,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
CSF-contacting nucleus,CSF-contacting nucleus,Rat,PM32973466,49,2,non_neocortex,suitable,,no,non_neocortex,flash,high,0.8467
PBN,parabrachial nucleus,Mouse,PM37023756,49,32,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
pons,pons,Mouse,PM38514616,49,33,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
GPi,globus pallidus internus,Mouse,PM41959286,47,23,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
HDB,horizontal diagonal band,Mouse,PM39049824,47,15,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
LP,lateral posterior nucleus,Mouse,PM35383929,47,23,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
CA2,CA2,Mouse,PM36309963,46,21,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
LA,lateral amygdala,Mouse,PM39103495,46,22,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
VMH,ventromedial hypothalamus,Mouse,PM33263778,46,21,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
LEC,lateral entorhinal cortex,Mouse,PM42124717,45,25,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
CN,cerebellar nuclei,Mouse,PM37164181,44,16,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9533
MEC,medial entorhinal cortex,Mouse,PM36562467,44,24,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
pulvinar,pulvinar,Human,PM41354955,44,22,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
BF,basal forebrain,Mouse,PM38947053,43,15,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9067
preBötC,pre-Bötzinger complex,Mouse,PM37772793,43,9,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
vCA1,ventral CA1,Mouse,PM33935658,42,14,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
MVN,medial vestibular nucleus,Mouse,PM39440253,41,6,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
NAcc,nucleus accumbens,Mouse,PM39097664,41,22,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
presubiculum,presubiculum,Mouse,PM38378961,40,5,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
AM,anteromedial thalamic nucleus,Mouse,PM35082302,38,21,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
CPu,caudate putamen,Mouse,PM35241803,38,18,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
PIL,posterior intralaminar thalamus,Mouse,PM38736977,38,2,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
SCN,suprachiasmatic nucleus,Mouse,PM34411776,37,23,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
entorhinal cortex,entorhinal cortex,Mouse,PM32656783,36,24,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
red nucleus,red nucleus,Mouse,PM42138352,36,27,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
RVLM,rostral ventrolateral medulla,Rat,PM41645569,36,21,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
dCA3,dorsal CA3,Mouse,PM34928938,35,4,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
MS,medial septum,Mouse,PM42396515,35,26,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
aPVT,anterior paraventricular thalamus,Mouse,PM35303367,34,8,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
MDT,mediodorsal thalamus,Mouse,PM40795854,33,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
RMTg,rostromedial tegmental nucleus,Rat,PM35733933,33,16,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
subiculum,subiculum,Mouse,PM35304264,33,22,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VLM,ventrolateral medulla,Mouse,PM39647176,32,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DR,dorsal raphe,Mouse,PM41232063,31,20,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
TSC,torus semicircularis pars centralis,,PM41108202,31,2,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9167
vSUB,ventral subiculum,Mouse,PM36736416,31,17,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
DMH,dorsomedial hypothalamus,Mouse,PM32770006,30,19,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Gr,gracile nucleus,Mouse,PM40202848,30,4,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
DMV,dorsal motor nucleus of the vagus,Mouse,PM42203107,29,18,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
LPBN,lateral parabrachial nucleus,Mouse,PM41314276,29,17,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
ATN,anterior thalamic nucleus,Mouse,PM34301721,28,14,non_neocortex,suitable,,no,non_neocortex,flash,high,0.96
Cd,caudate nucleus,Tree shrew,PM34795566,28,3,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
CL,centrolateral thalamic nucleus,Mouse,PM35354345,28,19,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PP,piriform cortex,Mouse,PM38736977,28,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
SN,substantia nigra,Mouse,PM40832125,28,20,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
SuM,supramammillary nucleus,Mouse,PM39446584,28,20,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
ARC,arcuate nucleus,Mouse,PM39041701,27,19,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
CP,caudate putamen,Mouse,PM40832125,27,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DN,dentate nucleus,Macaque,PM39819496,27,4,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9533
dorsal horn,dorsal horn,Mouse,PM34061020,27,20,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DC,dorsal cochlear nucleus,Macaque,PM37398093,26,8,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
locus coeruleus,locus coeruleus,Human,PM38844444,26,12,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
medulla,medulla,Mouse,PM37017717,26,17,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
OB,olfactory bulb,Mouse,PM35281496,26,16,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9567
RN,red nucleus,Mouse,PM34542410,26,15,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
RVM,rostral ventromedial medulla,Mouse,PM39778623,26,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Su5,supratrigeminal nucleus,Rat,PM34611777,26,2,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
dCA1,dorsal CA1,Mouse,PM33935658,25,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DS,dorsal striatum,Mouse,PM37022333,25,16,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
AV,anteroventral thalamus,Mouse,PM40549422,24,11,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
GP,globus pallidus,Mouse,PM39924777,24,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
MeA,medial amygdala,Mouse,PM37901417,24,18,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
NAc core,nucleus accumbens core,Mouse,PM41362369,24,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
NBM,nucleus basalis of Meynert,Mouse,PM37353897,24,7,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9433
PV,principal trigeminal nucleus,Mouse,PM33598920,24,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Sup5Phox2b,Sup5 Phox2b,Rat,PM40663610,24,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
dentate gyrus,dentate gyrus,Mouse,PM36562467,23,17,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
NI,nucleus incertus,Rat,PM33055197,23,9,non_neocortex,suitable,,no,non_neocortex,flash,high,0.95
Pir,piriform cortex,Mouse,PM39071445,23,15,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
pontine nuclei,pontine nuclei,Mouse,PM35262177,23,6,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PrS,presubiculum,Mouse,PM41439747,23,5,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
STR,striatum,Mouse,PM41379994,23,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VN,vestibular nucleus,Mouse,PM36090271,23,5,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9633
AVPV,anteroventral periventricular nucleus,Mouse,PM37784240,22,4,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
CIC,central inferior colliculus,Mouse,PM42182250,22,3,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
LPAG,lateral periaqueductal gray,Mouse,PM36413525,22,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
MGv,ventral medial geniculate nucleus,Mouse,PM40593664,22,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
SLD,sublaterodorsal nucleus,Mouse,PM41578852,22,3,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
ventral striatum,ventral striatum,Human,PM33960421,22,14,non_neocortex,suitable,,no,non_neocortex,flash,high,0.95
cerebellar cortex,cerebellar cortex,Rat,PM35781609,21,15,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
DCIC,dorsal central inferior colliculus,Mouse,PM42182250,21,3,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
NAc shell,nucleus accumbens shell,Mouse,PM41362369,21,8,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Rt,reticular nucleus,Mouse,PM39170852,21,14,non_neocortex,suitable,,no,non_neocortex,flash,high,0.85
SOC,superior olivary complex,Rat,PM37621862,21,8,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
ANT,anterior nucleus of the thalamus,Human,PM36201994,20,7,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
BA,basal amygdala,Mouse,PM41022937,20,8,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
basolateral amygdala,basolateral amygdala,Mouse,PM37823340,20,15,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
lateral hypothalamus,lateral hypothalamus,Mouse,PM37029761,20,18,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Pul,pulvinar,Human,PM35588455,20,8,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
TH,thalamus,Mouse,PM35221935,20,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VAL,ventral anterior-lateral thalamus,Mouse,PM34146469,20,15,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
BL,basolateral amygdala,Mouse,PM39103495,19,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
BMpc,,Rat,PM40352758,19,1,non_neocortex,suitable,,no,non_neocortex,flash,high,0.8233
CeL,central amygdala lateral,Rat,PM34032911,19,11,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
CM,centromedian nucleus,Mouse,PM41115879,19,11,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
GPePV,globus pallidus external segment parvicellular,,PM40464272,19,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
MGN,medial geniculate nucleus,Mouse,PM39484622,19,11,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
SI,substantia innominata,Mouse,PM39805973,19,11,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9533
Sp5C,spinal trigeminal nucleus pars caudalis,Mouse,PM41762709,19,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VB,ventrobasal thalamus,Mouse,PM38890758,19,12,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
dPAG,dorsal periaqueductal gray matter,Rat,PM36061004,18,5,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
ICc,central nucleus of the inferior colliculus,Mouse,PM38670009,18,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
IML,intermediolateral nucleus,Mouse,PM38963696,18,11,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
inferior colliculus,inferior colliculus,Mouse,PM40852920,18,13,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
LPO,lateral preoptic area,Mouse,PM39805973,18,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
MNTB,medial nucleus of the trapezoid body,Mouse,PM39484183,18,13,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
nucleus of the solitary tract,nucleus of the solitary tract,Mouse,PM39778623,18,15,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
right thalamus,right thalamus,Human,PM34815270,18,7,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
SDH,spinal dorsal horn,Rat,PM40108302,18,12,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
thalamic nuclei,thalamic nuclei,Mouse,PM36255325,18,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
VCN,ventral cochlear nucleus,Mouse,PM37554670,18,3,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
dSTR,dorsal striatum,Mouse,PM33037031,17,6,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
HPC,hippocampus,Mouse,PM40204437,17,11,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
MDN,mediodorsal nucleus,Human,PM37660322,17,2,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
MPOA,medial preoptic area,Mouse,PM40370500,17,9,non_neocortex,suitable,,no,non_neocortex,flash,high,0.97
NAcSh,nucleus accumbens shell,Mouse,PM36736416,17,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PaS,parasubiculum,Mouse,PM33324173,17,4,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
AD,anterodorsal thalamic nucleus,Mouse,PM39511453,16,9,non_neocortex,suitable,,no,non_neocortex,flash,high,0.99
BLpc,,Rat,PM40352758,16,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
BMA,basomedial amygdala,Rat,PM39049824,16,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
cNTS,caudal nucleus of the solitary tract,Rat,PM38811166,16,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
EP,entopeduncular nucleus,Mouse,PM33815062,16,10,non_neocortex,suitable,,no,non_neocortex,flash,high,0.96
FN,fastigial nucleus,Mouse,PM32639229,16,5,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
MnR,median raphe,Mouse,PM36855269,16,6,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
motor thalamus,motor thalamus,Mouse,PM39809792,16,13,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PiCo,Pico,Mouse,PM39494735,16,2,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
septum,septum,Mouse,PM36090658,16,12,non_neocortex,suitable,,no,non_neocortex,flash,high,0.95
substantia nigra,substantia nigra,Mouse,PM34824475,16,15,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
ventral hippocampus,ventral hippocampus,Mouse,PM36680772,16,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
caudate,caudate nucleus,Macaque,PM36211593,15,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
ENT,entorhinal cortex,Mouse,PM41959300,15,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
parabrachial nucleus,parabrachial nucleus,Mouse,PM41957684,15,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PIm,medial inferior pulvinar,Macaque,PM41867795,15,2,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PRh,perirhinal cortex,Mouse,PM42172314,15,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
ALS,anterior lobe segment,Mouse,PM40331673,14,3,non_neocortex,suitable,,no,non_neocortex,flash,high,0.8667
AMY,amygdala,Macaque,PM32677044,14,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
basal ganglia,basal ganglia,Mouse,PM40608009,14,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
cerebellar nuclei,cerebellar nuclei,Mouse,PM39170852,14,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
dHPC,dorsal hippocampus,Mouse,PM37365155,14,7,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
DLG,dorsal lateral geniculate nucleus,Mouse,PM34795559,14,2,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
dorsolateral striatum,dorsolateral striatum,Mouse,PM41655806,14,11,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Gi,gigantocellular reticular nucleus,Mouse,PM33543335,14,13,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
IO,inferior olive,Mouse,PM41289407,14,12,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
IPN,interpeduncular nucleus,Mouse,PM34146469,14,9,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
IRt,intermediate reticular nucleus,Mouse,PM38811166,14,10,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
LDT,laterodorsal tegmental nucleus,Mouse,PM35655583,14,5,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
LDTg,laterodorsal tegmental nucleus,Mouse,PM38736977,14,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
lumbar spinal cord,lumbar spinal cord,Mouse,PM41585491,14,14,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
MGd,dorsal medial geniculate nucleus,Mouse,PM39829930,14,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
NTSPNMT,trigeminal subnucleus pars spinalis (NTSPNMT),,PM38887205,14,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
nucleus accumbens,nucleus accumbens,Mouse,PM41659658,14,14,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
nucleus accumbens shell,nucleus accumbens shell,Rat,PM37017888,14,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PCRt,parvicellular reticular nucleus,Mouse,PM32370769,14,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
periaqueductal gray,periaqueductal gray,Mouse,PM38551963,14,13,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
PH,posterior hypothalamus,Rat,PM42094401,14,8,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9667
PoSp,postulated mesocortical PoSp area,,PM42101519,14,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PreS,Presubiculum,Marmoset,PM35860211,14,3,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
SON,supraoptic nucleus,Rat,PM36356043,14,11,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
Thal,thalamus,Human,PM42133082,14,7,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
AVCN,anterior ventral cochlear nucleus,Mouse,PM39829930,13,6,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
BPN,basilar pontine nuclei,Mouse,PM37311832,13,3,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
cochlear nucleus,cochlear nucleus,Mouse,PM40219726,13,9,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
dcHPC,dorsal hippocampus,Mouse,PM40204437,13,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
LCN,lateral cerebellar nucleus,Mouse,PM36230940,13,3,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
LPGi,lateral paragigantocellular nucleus,Mouse,PM41585491,13,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
piriform cortex,piriform cortex,Mouse,PM38844444,13,10,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
PrSd,postrhinal dorsal,Mouse,PM36583448,13,3,non_neocortex,suitable,,no,non_neocortex,rule,high,0.95
PuI,ventral intermediate pulvinar,Mouse,PM40832125,13,1,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
reticular formation,reticular formation,Mouse,PM32883710,13,12,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
RTN,retrotrapezoid nucleus,Mouse,PM36213546,13,6,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
