structure_name,species,source_atlas,category,expected_homba_id,expected_homba_name,coverage_status,notes
Caudate Tail,Macaque,SARM,gray_matter,HOMBA:10337,tail of caudate nucleus (caudolateral division of the CP),approximate,auto: RCS top-1 score=0.687
Central amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10372,corticomedial nuclear group of amygdala,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.763
Central Gray Nucleus,Macaque,SARM,gray_matter,HOMBA:12198,oculomotor nucleus,approximate,auto: RCS top-1 score=0.671
Central Medial Thalamus,Macaque,SARM,gray_matter,HOMBA:10445,central medial nucleus of thalamus,approximate,auto: RCS top-1 score=0.891
"Central opercular cortex, anterior",Macaque,mHOA2,gray_matter,HOMBA:12840,"lobule II (central lobule and wing, anterior part)",unmapped,auto: RCS top-1 score=0.464
"Central opercular cortex, posterior",Macaque,mHOA2,gray_matter,HOMBA:12841,"lobule III (central lobule and wing, posterior part)",unmapped,auto: RCS top-1 score=0.586
Centrolateral and paracentral thalamic nuclei,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10446,paracentral nucleus of thalamus,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.480
Centrolateral and Paracentral Thalamus,Macaque,SARM,gray_matter,HOMBA:10446,paracentral nucleus of thalamus,unmapped,auto: RCS top-1 score=0.522
Centromedial-parafascicular Thalamus,Macaque,SARM,gray_matter,HOMBA:10448,caudal intralaminar nuclei of thalamus,approximate,auto: RCS top-1 score=0.618
Centromedian and parafascicular thalamic complex,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10450,parafascicular nucleus of thalamus,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.393
Cerebellar Lobule 1 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 10 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.792
Cerebellar Lobule 2 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 3 Intermediate,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,unmapped,auto: RCS top-1 score=0.547
Cerebellar Lobule 3 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 4 Intermediate,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,unmapped,auto: RCS top-1 score=0.547
Cerebellar Lobule 4 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 5 Intermediate,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,unmapped,auto: RCS top-1 score=0.547
Cerebellar Lobule 5 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 6 Intermediate,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,unmapped,auto: RCS top-1 score=0.547
Cerebellar Lobule 6 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 7 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 8 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebellar Lobule 9 Vermis,Macaque,SARM,gray_matter,HOMBA:AA30563,cerebellar morphology,approximate,auto: RCS top-1 score=0.798
Cerebral peduncle,Macaque,Hartig2020_SARM | SARM,white_matter,HOMBA:12330,cerebral peduncle (crus cerebri),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
"Cingulate gyrus, anterior",Macaque,mHOA2,gray_matter,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),approximate,auto: RCS top-1 score=0.758
"Cingulate gyrus, posterior",Macaque,mHOA2,gray_matter,HOMBA:10285,posterior cingulate cortex (PCC),mapped,auto: RCS top-1 score=0.996
Claustrum,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10346,claustrum,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Cochlear Nucleus,Macaque,SARM,gray_matter,HOMBA:12437,cochlear nuclei,mapped,auto: RCS top-1 score=1.000
Copula of the Pyramis,Macaque,SARM,gray_matter,HOMBA:AA30418,"lobule VIIIB (biventral lobule, part 2, copula pyramis)",approximate,auto: RCS top-1 score=0.852
Corticospinal Tract,Macaque,SARM,white_matter,HOMBA:12047,corticospinal tract,mapped,auto: RCS top-1 score=1.000
Crossing of the superior cerebellar peduncle,Macaque,Hartig2020_SARM,white_matter,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.852
Cuneate Gracile Nuclei,Macaque,SARM,gray_matter,HOMBA:12587,sensory relay nuclei in medulla oblongata,approximate,auto: RCS top-1 score=0.805
Cuneiform Nucleus,Macaque,SARM,gray_matter,HOMBA:12240,cuneiform nucleus,mapped,auto: RCS top-1 score=1.000
Dorsal endopiriform claustrum,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10347,dorsal claustrum,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.810
Dorsal Lateral Geniculate,Macaque,SARM,gray_matter,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),mapped,auto: RCS top-1 score=0.998
Dorsal lateral geniculate nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Dorsal Lateral Leminscus Nucleus,Macaque,SARM,gray_matter,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),approximate,auto: RCS top-1 score=0.811
Dorsal Medial Hypothalamic Nucleus,Macaque,SARM,gray_matter,HOMBA:10489,dorsal division of VMHco,approximate,auto: RCS top-1 score=0.842
Dorsal Paragigantocellular Reticular Nucleus,Macaque,SARM,gray_matter,HOMBA:12628,dorsal paragigantocellular nucleus,approximate,auto: RCS top-1 score=0.894
Dorsal raphe,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12223,dorsal raphe nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.948
Dorsomedial hypothalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10485,dorsomedial hypothalamic nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Endopiriform nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10371,endopiriform nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Extended amygdala,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10383,extended amygdala,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
External globus pallidus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10343,external division of globus pallidus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.979
Facial Motor Nucleus,Macaque,SARM,gray_matter,HOMBA:12420,facial nucleus,mapped,auto: RCS top-1 score=1.000
Fasciculus retroflexus,Macaque,Hartig2020_SARM,white_matter,HOMBA:12342,fasciculus retroflexus (habenuno-interpeduncular tract),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Fastigial Cerebellar Nucleus,Macaque,SARM,gray_matter,HOMBA:10660,cerebellar deep nuclei,approximate,auto: RCS top-1 score=0.609
Fimbria,Macaque,Hartig2020_SARM | SARM,white_matter,HOMBA:10575,fimbria,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Flocculus,Macaque,SARM,gray_matter,HOMBA:AA30424,lobule Xa (flocculus),mapped,auto: RCS top-1 score=1.000
Fornix,Macaque,Hartig2020_SARM | SARM,white_matter,HOMBA:10576,fornix,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Fourth Nerve,Macaque,SARM,white_matter,HOMBA:12805,fourth ventricle,unmapped,auto: RCS top-1 score=0.500
Frontal medial cortex,Macaque,mHOA2,gray_matter,HOMBA:10195,medial orbital frontal cortex (area 14),approximate,auto: RCS top-1 score=0.837
"Frontal orbital cortex, anterior",Macaque,mHOA2,gray_matter,HOMBA:10161,frontal cortex,approximate,auto: RCS top-1 score=0.798
"Frontal orbital cortex, lateral",Macaque,mHOA2,gray_matter,HOMBA:10205,"lateral orbital frontal cortex (OFCl, area 12/47)",mapped,auto: RCS top-1 score=0.994
"Frontal orbital cortex, medial",Macaque,mHOA2,gray_matter,HOMBA:10195,medial orbital frontal cortex (area 14),mapped,auto: RCS top-1 score=0.989
"Frontal orbital cortex, posterior",Macaque,mHOA2,gray_matter,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),approximate,auto: RCS top-1 score=0.845
Frontal pole,Macaque,mHOA2,gray_matter,HOMBA:146034888,frontal pole,mapped,auto: RCS top-1 score=1.000
Gigantocellular Reticular Nucleus,Macaque,SARM,gray_matter,HOMBA:12625,gigantocellular reticular nuclei,mapped,auto: RCS top-1 score=1.000
Habenula,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10452,habenular nuclei,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Head of caudate nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10335,head of caudate nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Hippocampus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:AA30093,hippocampus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Inferior Cerebellar Peduncle,Macaque,SARM,white_matter,HOMBA:12741,inferior cerebellar peduncle,mapped,auto: RCS top-1 score=1.000
Inferior colliculus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12305,inferior colliculus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Inferior frontal gyrus,Macaque,mHOA2,gray_matter,HOMBA:12117,inferior frontal gyrus,mapped,auto: RCS top-1 score=1.000
Inferior Olive,Macaque,SARM,gray_matter,HOMBA:12600,inferior olive,mapped,auto: RCS top-1 score=1.000
Inferior Pulvinar,Macaque,SARM,gray_matter,HOMBA:AA30282,lateroposterior-pulvinar complex,approximate,auto: RCS top-1 score=0.781
Inferior temporal gyrus,Macaque,mHOA2,gray_matter,HOMBA:12142,inferior temporal gyrus,mapped,auto: RCS top-1 score=1.000
Insular cortex,Macaque,mHOA2,gray_matter,HOMBA:10288,major insular cortex,mapped,auto: RCS top-1 score=1.000
Interanteromedial Thalamus,Macaque,SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.724
Intermediate+ventral Lateral Lemniscus Nuclei,Macaque,SARM,white_matter,HOMBA:12457,ventral nucleus of lateral lemniscus,approximate,auto: RCS top-1 score=0.864
Intermediodorsal thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.703
Intermediodorsal Thalamus,Macaque,SARM,gray_matter,HOMBA:AA30265,regions of thalamus,approximate,auto: RCS top-1 score=0.700
Internal capsule,Macaque,Hartig2020_SARM | SARM,white_matter,HOMBA:10581,internal capsule,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Internal globus pallidus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10342,globus pallidus (paleostriatum),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.939
Interpeduncular Nucleus,Macaque,SARM,gray_matter,HOMBA:12270,interpeduncular nucleus,mapped,auto: RCS top-1 score=1.000
Intra-amygdaloid division of the bed nucleus of the stria terminalis,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10384,bed nucleus of stria terminalis,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.700
Intraamygdaloid Stria Terminalis,Macaque,SARM,white_matter,HOMBA:10591,stria terminalis,approximate,auto: RCS top-1 score=0.746
"Intracalcarine cortex, inferior",Macaque,mHOA2,gray_matter,HOMBA:10225,inferior lateral parietal cortex,unmapped,auto: RCS top-1 score=0.483
"Intracalcarine cortex, superior",Macaque,mHOA2,gray_matter,HOMBA:10240,superolateral temporal cortex (area 22),unmapped,auto: RCS top-1 score=0.523
Justaparaventricular Lateral Hypothalamus,Macaque,SARM,ventricle,HOMBA:13337,accessory secretory cells of lateral hypothalamus,approximate,auto: RCS top-1 score=0.614
Juxtaparaventricular nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10457,paraventricular nucleus of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.773
Kolliker-Fuse Nucleus,Macaque,SARM,gray_matter,HOMBA:12518,Koelliker-Fuse nucleus,approximate,auto: RCS top-1 score=0.756
Lamina Terminalis,Macaque,SARM,gray_matter,HOMBA:12105,lamina terminalis,mapped,auto: RCS top-1 score=1.000
Lamina terminalis and vascular organ,Macaque,Hartig2020_SARM,gray_matter,HOMBA:12105,lamina terminalis,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.329
Lateral amygdaloid nucleus (dorsal),Macaque,Hartig2020_SARM,gray_matter,HOMBA:10367,lateral nucleus of amygdala,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.755
Lateral amygdaloid nucleus (ventral),Macaque,Hartig2020_SARM,gray_matter,HOMBA:10367,lateral nucleus of amygdala,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.755
Lateral Cerebellar Nucleus,Macaque,SARM,gray_matter,HOMBA:10367,lateral nucleus of amygdala,approximate,auto: RCS top-1 score=0.799
Lateral Dorsal Amygdaloid Nucleus,Macaque,SARM,gray_matter,HOMBA:10396,lateral dorsal nucleus of thalamus,approximate,auto: RCS top-1 score=0.761
Lateral Dorsal Tegmentum,Macaque,SARM,gray_matter,HOMBA:11550,dorsal division of lateral septal nucleus,approximate,auto: RCS top-1 score=0.641
Lateral Dorsal Thalamus,Macaque,SARM,gray_matter,HOMBA:10391,dorsal thalamus,mapped,auto: RCS top-1 score=0.903
Lateral hypothalamic area,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10494,"lateral hypothalamic area, tuberal part",mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.968
Lateral Lemniscus,Macaque,SARM,white_matter,HOMBA:12760,lateral lemniscus,mapped,auto: RCS top-1 score=1.000
Lateral Parabrachial Nucleus,Macaque,SARM,gray_matter,HOMBA:12482,lateral parabrachial nucleus,mapped,auto: RCS top-1 score=1.000
"Lateral parietal cortex, inferior",Macaque,mHOA2,gray_matter,HOMBA:10225,inferior lateral parietal cortex,mapped,auto: RCS top-1 score=1.000
"Lateral parietal cortex, superior",Macaque,mHOA2,gray_matter,HOMBA:10225,inferior lateral parietal cortex,approximate,auto: RCS top-1 score=0.826
Lateral Posterior Thalamus,Macaque,SARM,gray_matter,HOMBA:10408,lateral posterior nucleus of thalamus,mapped,auto: RCS top-1 score=0.904
Lateral Pulvinar,Macaque,SARM,gray_matter,HOMBA:10412,lateral division of pulvinar,mapped,auto: RCS top-1 score=1.000
Lateral Reticular Nucleus,Macaque,SARM,gray_matter,HOMBA:12634,lateral reticular nucleus,mapped,auto: RCS top-1 score=1.000
Lateral Ventral Amygdaloid Nucleus,Macaque,SARM,gray_matter,HOMBA:11514,lateral subdivision of LaV,approximate,auto: RCS top-1 score=0.751
Lateral ventricle,Macaque,Hartig2020_SARM,ventricle,HOMBA:10598,body of lateral ventricles,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.977
Laterodorsal thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.692
Limitans Thalamus,Macaque,SARM,gray_matter,HOMBA:10390,thalamus,approximate,auto: RCS top-1 score=0.665
Linear raphe,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12230,linear nucleus of the midbrain,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.476
Locus-coeruleus Region,Macaque,SARM,gray_matter,HOMBA:12499,nucleus coeruleus (locus coeruleus),approximate,auto: RCS top-1 score=0.808
Mammillary Hypothalamus,Macaque,SARM,gray_matter,HOMBA:10467,hypothalamus,approximate,auto: RCS top-1 score=0.704
Mammillary nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10498,mammillary nuclear complex,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Medial amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10376,medial nuclear complex of amygdala,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Medial cerebellar peduncle,Macaque,Hartig2020_SARM | SARM,white_matter,HOMBA:12768,middle cerebellar peduncle (brachium pontis),approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.607
Medial Dorsal Tegmentum,Macaque,SARM,gray_matter,HOMBA:AA30451,dorsal cell group of medulla tegmentum,unmapped,auto: RCS top-1 score=0.558
Medial eminence,Macaque,Hartig2020_SARM,gray_matter,HOMBA:12820,medial eminence,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Medial Emminence,Macaque,SARM,gray_matter,HOMBA:12820,medial eminence,approximate,auto: RCS top-1 score=0.820
Medial Geniculate,Macaque,SARM,gray_matter,HOMBA:10434,medial geniculate nucleus,mapped,auto: RCS top-1 score=0.977
Medial geniculate nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10434,medial geniculate nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Medial Lemniscus,Macaque,SARM,white_matter,HOMBA:12763,medial lemniscus,mapped,auto: RCS top-1 score=1.000
Medial longitudinal fascicle,Macaque,Hartig2020_SARM,white_matter,HOMBA:12764,medial longitudinal fasciculus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.860
Medial Parabrachial Nucleus,Macaque,SARM,gray_matter,HOMBA:12487,medial parabrachial nucleus,mapped,auto: RCS top-1 score=1.000
Medial parietal cortex,Macaque,mHOA2,gray_matter,HOMBA:10215,superior medial parietal cortex,mapped,auto: RCS top-1 score=0.998
Medial Pulvinar,Macaque,SARM,gray_matter,HOMBA:10411,medial division of pulvinar,mapped,auto: RCS top-1 score=1.000
Medial Raphe,Macaque,SARM,gray_matter,HOMBA:12402,fastigial (medial) nucleus,approximate,auto: RCS top-1 score=0.807
Mediodorsal thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.731
Mediodorsal Thalamus,Macaque,SARM,gray_matter,HOMBA:10398,mediodorsal nucleus of thalamus,mapped,auto: RCS top-1 score=1.000
Mediolateral Fascicle,Macaque,SARM,gray_matter,HOMBA:AA30790,mediolateral sulcus,unmapped,auto: RCS top-1 score=0.500
Medullar Reticular Nucleus,Macaque,SARM,gray_matter,HOMBA:12640,"medullary reticular nucleus, ventral division (medial reticular nucleus)",approximate,auto: RCS top-1 score=0.816
Mesencephalic Reticular Formation,Macaque,SARM,gray_matter,HOMBA:15547,isthmic reticular formation,approximate,auto: RCS top-1 score=0.777
Mesencephalic Trigeminal Nerve,Macaque,SARM,white_matter,HOMBA:12865,root of trigeminal nerve,approximate,auto: RCS top-1 score=0.636
Midbrain reticular formation,Macaque,Hartig2020_SARM,gray_matter,HOMBA:12239,midbrain reticular formation,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Middle frontal gyrus,Macaque,mHOA2,gray_matter,HOMBA:12116,middle frontal gyrus,mapped,auto: RCS top-1 score=1.000
Mircrocellular Tegmentum,Macaque,SARM,gray_matter,HOMBA:12282,paracollicular tegmentum,unmapped,auto: RCS top-1 score=0.555
Motor Trigeminal Nucleus,Macaque,SARM,gray_matter,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",mapped,auto: RCS top-1 score=1.000
Obex,Macaque,SARM,gray_matter,HOMBA:12812,obex,mapped,auto: RCS top-1 score=1.000
Occulomotor Nerve,Macaque,SARM,white_matter,HOMBA:12376,root of occulomotor nerve,approximate,auto: RCS top-1 score=0.857
Occulomotor Nuclei,Macaque,SARM,gray_matter,HOMBA:12196,efferent nuclei of the cranial nerves in midbrain,approximate,auto: RCS top-1 score=0.687
Oculomotor complex,Macaque,Hartig2020_SARM,gray_matter,HOMBA:266441673,subicular complex,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.517
Olfactory tubercle,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10310,olfactory tubercle,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Olfactory Tubercule,Macaque,SARM,gray_matter,HOMBA:10310,olfactory tubercle,approximate,auto: RCS top-1 score=0.685
Olivocerebellar Tract,Macaque,SARM,white_matter,HOMBA:12747,olivocerebellar tract,mapped,auto: RCS top-1 score=1.000
Optic Tract,Macaque,SARM,white_matter,HOMBA:10589,optic tract,mapped,auto: RCS top-1 score=1.000
Optic tract/chiasma,Macaque,Hartig2020_SARM,white_matter,HOMBA:10589,optic tract,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.788
