structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence
MEC,medial entorhinal cortex,Mouse,PM36562467,44,24,non_neocortex,seed_keyword,high,1.0
pulvinar,pulvinar,Human,PM41354955,44,22,non_neocortex,seed_remap,high,1.0
A1,primary auditory cortex,Mouse,PM33157020,43,22,neocortex,flash,high,0.98
BF,basal forebrain,Mouse,PM38947053,43,15,non_neocortex,seed_remap,high,1.0
preBötC,pre-Bötzinger complex,Mouse,PM37772793,43,9,non_neocortex,seed_remap,high,1.0
MO,motor cortex,Mouse,PM39392390,42,19,neocortex,flash,high,0.98
vCA1,ventral CA1,Mouse,PM33935658,42,14,non_neocortex,seed_remap,high,1.0
midbrain,midbrain,Mouse,PM32561725,41,31,non_neocortex,seed_remap,high,1.0
MVN,medial vestibular nucleus,Mouse,PM39440253,41,6,non_neocortex,seed_remap,high,1.0
NAcc,nucleus accumbens,Mouse,PM39097664,41,22,non_neocortex,seed_remap,high,1.0
prostriata,area prostriata,Rat,PM34795559,41,2,ambiguous,flash,medium,0.7
presubiculum,presubiculum,Mouse,PM38378961,40,5,non_neocortex,seed_remap,high,1.0
SMA,supplementary motor area,Human,PM34121656,40,29,neocortex,flash,high,0.9833
DRG,dorsal root ganglion,Mouse,PM40334752,39,20,other,seed_remap,high,1.0
PCC,posterior cingulate cortex,Human,PM41840687,39,6,non_neocortex,flash,medium,0.7
AM,anteromedial thalamic nucleus,Mouse,PM35082302,38,21,non_neocortex,seed_remap,high,1.0
auditory cortex,auditory cortex,Mouse,PM34366798,38,25,neocortex,flash,high,0.9833
CPu,caudate putamen,Mouse,PM35241803,38,18,non_neocortex,seed_remap,high,1.0
PIL,posterior intralaminar thalamus,Mouse,PM38736977,38,2,non_neocortex,seed_remap,high,1.0
VISp,primary visual cortex,Mouse,PM39149348,38,13,neocortex,flash,high,0.9833
contralateral cortex,contralateral cortex,Mouse,PM36255325,37,26,other,flash,medium,0.8667
LPl,"lateral posterior nucleus, pars lateralis",Rat,PM39170852,37,2,non_neocortex,seed_remap,high,1.0
SCN,suprachiasmatic nucleus,Mouse,PM34411776,37,23,non_neocortex,seed_remap,high,1.0
dmPFC,dorsomedial prefrontal cortex,Mouse,PM33790281,36,19,neocortex,flash,high,0.9833
entorhinal cortex,entorhinal cortex,Mouse,PM32656783,36,24,non_neocortex,seed_keyword,high,1.0
insular cortex,insular cortex,Mouse,PM36542188,36,22,neocortex,flash,high,0.85
red nucleus,red nucleus,Mouse,PM42138352,36,27,non_neocortex,seed_remap,high,1.0
RVLM,rostral ventrolateral medulla,Rat,PM41645569,36,21,non_neocortex,seed_remap,high,1.0
SPNs,striatal projection neurons,Mouse,PM41026142,36,17,non_neocortex,seed_remap,high,1.0
dCA3,dorsal CA3,Mouse,PM34928938,35,4,non_neocortex,seed_remap,high,1.0
MS,medial septum,Mouse,PM42396515,35,26,non_neocortex,seed_remap,high,1.0
PC,Purkinje cell,Mouse,PM36902010,35,23,non_neocortex,seed_remap,high,1.0
aPVT,anterior paraventricular thalamus,Mouse,PM35303367,34,8,non_neocortex,seed_remap,high,1.0
frontal cortex,frontal cortex,Mouse,PM37398221,34,27,neocortex,flash,high,0.9833
precuneus,precuneus,Human,PM39103495,34,13,neocortex,flash,high,0.9833
RSP,retrosplenial cortex,Mouse,PM39814996,34,13,neocortex,flash,medium,0.7833
MDT,mediodorsal thalamus,Mouse,PM40795854,33,14,non_neocortex,seed_remap,high,1.0
PM,premotor cortex,Mouse,PM39937647,33,19,neocortex,flash,high,0.9833
PT,pyramidal tract neurons,Mouse,PM35361973,33,13,other,flash,medium,0.9333
RMTg,rostromedial tegmental nucleus,Rat,PM35733933,33,16,non_neocortex,seed_remap,high,1.0
SPN,striatal projection neurons,Mouse,PM33579707,33,15,non_neocortex,seed_remap,high,1.0
subiculum,subiculum,Mouse,PM35304264,33,22,non_neocortex,seed_remap,high,1.0
aIC,anterior insular cortex,Mouse,PM32940600,32,16,non_neocortex,pro,high,0.8
VLM,ventrolateral medulla,Mouse,PM39647176,32,7,non_neocortex,seed_remap,high,1.0
DR,dorsal raphe,Mouse,PM41232063,31,20,non_neocortex,seed_remap,high,1.0
temporal lobe,temporal lobe,Human,PM34849596,31,14,other,flash,high,0.9667
TSC,torus semicircularis pars centralis,,PM41108202,31,2,non_neocortex,seed_remap,high,1.0
V2,secondary visual cortex,Rat,PM32361987,31,19,neocortex,flash,high,0.9833
vSUB,ventral subiculum,Mouse,PM36736416,31,17,non_neocortex,seed_remap,high,1.0
DMH,dorsomedial hypothalamus,Mouse,PM32770006,30,19,non_neocortex,seed_remap,high,1.0
Gr,gracile nucleus,Mouse,PM40202848,30,4,non_neocortex,seed_remap,high,1.0
motoneurons,motoneurons,Mouse,PM39656589,30,18,other,seed_remap,high,1.0
retrosplenial cortex,retrosplenial cortex,Mouse,PM32964131,30,24,ambiguous,flash,medium,0.6
AL,anterolateral area,Mouse,PM35082302,29,10,neocortex,flash,medium,0.75
basal forebrain,basal forebrain,Mouse,PM36842481,29,18,non_neocortex,seed_remap,high,1.0
CC,corpus callosum,Mouse,PM41893879,29,11,other,seed_remap,high,1.0
DMV,dorsal motor nucleus of the vagus,Mouse,PM42203107,29,18,non_neocortex,seed_remap,high,1.0
LPBN,lateral parabrachial nucleus,Mouse,PM41314276,29,17,non_neocortex,seed_remap,high,1.0
MCC,midcingulate cortex,Mouse,PM41840687,29,7,ambiguous,flash,medium,0.5667
PN,pyramidal neurons,Mouse,PM37366393,29,16,other,seed_remap,high,1.0
SSp,primary somatosensory cortex,Mouse,PM38712231,29,15,neocortex,flash,high,0.95
ALM,anterior lateral motor cortex,Mouse,PM36171427,28,8,neocortex,flash,high,0.95
ATN,anterior thalamic nucleus,Mouse,PM34301721,28,14,non_neocortex,seed_remap,high,1.0
Cd,caudate nucleus,Tree shrew,PM34795566,28,3,non_neocortex,seed_remap,high,1.0
CL,centrolateral thalamic nucleus,Mouse,PM35354345,28,19,non_neocortex,seed_remap,high,1.0
L2/3,Layer 2/3,Mouse,PM37851709,28,20,ambiguous,flash,medium,0.5667
PMv,ventral premotor cortex,Human,PM34121656,28,20,neocortex,flash,high,0.95
PP,piriform cortex,Mouse,PM38736977,28,7,non_neocortex,seed_keyword,high,1.0
SN,substantia nigra,Mouse,PM40832125,28,20,non_neocortex,seed_remap,high,1.0
SuM,supramammillary nucleus,Mouse,PM39446584,28,20,non_neocortex,seed_remap,high,1.0
temporal cortex,temporal cortex,Human,PM36661404,28,18,neocortex,pro,medium,0.85
ARC,arcuate nucleus,Mouse,PM39041701,27,19,non_neocortex,seed_remap,high,1.0
CP,caudate putamen,Mouse,PM40832125,27,9,non_neocortex,seed_remap,high,1.0
DN,dentate nucleus,Macaque,PM39819496,27,4,non_neocortex,seed_remap,high,1.0
dorsal horn,dorsal horn,Mouse,PM34061020,27,20,non_neocortex,seed_remap,high,1.0
MI,primary motor cortex,Mouse,PM34665323,27,2,neocortex,flash,high,1.0
prelimbic cortex,prelimbic cortex,Rat,PM37823340,27,16,neocortex,flash,high,0.9833
premotor cortex,premotor cortex,Human,PM40667064,27,17,neocortex,flash,high,1.0
anterior cingulate cortex,anterior cingulate cortex,Human,PM32964131,26,19,non_neocortex,pro,high,0.8
DC,dorsal cochlear nucleus,Macaque,PM37398093,26,8,non_neocortex,seed_remap,high,1.0
locus coeruleus,locus coeruleus,Human,PM38844444,26,12,non_neocortex,seed_remap,high,1.0
medulla,medulla,Mouse,PM37017717,26,17,non_neocortex,seed_remap,high,1.0
OB,olfactory bulb,Mouse,PM35281496,26,16,non_neocortex,seed_remap,high,1.0
RN,red nucleus,Mouse,PM34542410,26,15,non_neocortex,seed_remap,high,1.0
RVM,rostral ventromedial medulla,Mouse,PM39778623,26,12,non_neocortex,seed_remap,high,1.0
Su5,supratrigeminal nucleus,Rat,PM34611777,26,2,non_neocortex,seed_remap,high,1.0
dCA1,dorsal CA1,Mouse,PM33935658,25,7,non_neocortex,seed_remap,high,1.0
DLPFC,dorsolateral prefrontal cortex,Human,PM35441221,25,17,neocortex,flash,high,1.0
DS,dorsal striatum,Mouse,PM37022333,25,16,non_neocortex,seed_remap,high,1.0
medial prefrontal cortex,medial prefrontal cortex,Mouse,PM42362551,25,24,neocortex,flash,high,1.0
AV,anteroventral thalamus,Mouse,PM40549422,24,11,non_neocortex,seed_remap,high,1.0
GC,granule cell,Mouse,PM36902010,24,13,other,seed_remap,high,1.0
GP,globus pallidus,Mouse,PM39924777,24,9,non_neocortex,seed_remap,high,1.0
MeA,medial amygdala,Mouse,PM37901417,24,18,non_neocortex,seed_remap,high,1.0
NAc core,nucleus accumbens core,Mouse,PM41362369,24,14,non_neocortex,seed_remap,high,1.0
NBM,nucleus basalis of Meynert,Mouse,PM37353897,24,7,non_neocortex,seed_remap,high,1.0
PV,principal trigeminal nucleus,Mouse,PM33598920,24,14,non_neocortex,seed_remap,high,1.0
Sup5Phox2b,Sup5 Phox2b,Rat,PM40663610,24,1,non_neocortex,seed_remap,high,1.0
brain,brain,Mouse,PM41577990,23,17,other,seed_remap,high,1.0
cingulate cortex,cingulate cortex,Rat,PM40800920,23,18,non_neocortex,flash,medium,0.75
dentate gyrus,dentate gyrus,Mouse,PM36562467,23,17,non_neocortex,seed_remap,high,1.0
MOp-ul,"primary motor area, upper limb",Mouse,PM34616071,23,3,neocortex,flash,high,1.0
NI,nucleus incertus,Rat,PM33055197,23,9,non_neocortex,seed_remap,high,1.0
occipital cortex,occipital cortex,Human,PM36661404,23,18,neocortex,flash,high,1.0
orbitofrontal cortex,orbitofrontal cortex,Human,PM36542188,23,16,neocortex,flash,high,1.0
Pir,piriform cortex,Mouse,PM39071445,23,15,non_neocortex,seed_keyword,high,1.0
pontine nuclei,pontine nuclei,Mouse,PM35262177,23,6,non_neocortex,seed_remap,high,1.0
PrS,presubiculum,Mouse,PM41439747,23,5,non_neocortex,seed_remap,high,1.0
SSp-bfd,"primary somatosensory cortex, barrel field",Mouse,PM35145380,23,7,neocortex,flash,high,1.0
STR,striatum,Mouse,PM41379994,23,14,non_neocortex,seed_remap,high,1.0
VN,vestibular nucleus,Mouse,PM36090271,23,5,non_neocortex,seed_remap,high,1.0
VP/SI,ventral pallidum/substantia innominata,Mouse,PM39049824,23,2,non_neocortex,seed_remap,high,1.0
AACsBLA,,,PM39012795,22,2,other,flash,medium,0.6
ACx,auditory cortex,Mouse,PM35857536,22,9,neocortex,flash,high,0.9933
AVPV,anteroventral periventricular nucleus,Mouse,PM37784240,22,4,non_neocortex,seed_remap,high,1.0
CIC,central inferior colliculus,Mouse,PM42182250,22,3,non_neocortex,seed_remap,high,1.0
dSPN,direct pathway spiny projection neurons,Mouse,PM36798372,22,13,other,seed_remap,high,1.0
LPAG,lateral periaqueductal gray,Mouse,PM36413525,22,12,non_neocortex,seed_remap,high,1.0
MGv,ventral medial geniculate nucleus,Mouse,PM40593664,22,12,non_neocortex,seed_remap,high,1.0
MOs,secondary motor cortex,Mouse,PM41256530,22,16,neocortex,flash,high,0.9933
MT,middle temporal area,Marmoset,PM37408682,22,11,neocortex,flash,high,0.9933
ORB,orbitofrontal cortex,Mouse,PM39149348,22,9,neocortex,flash,high,0.9933
parietal cortex,parietal cortex,Human,PM41115879,22,17,neocortex,flash,high,0.9933
PMC,premotor cortex,Mouse,PM35813503,22,9,neocortex,flash,high,0.9933
Pro,prosphornic,Mouse,PM33328909,22,2,ambiguous,flash,medium,0.2333
SLD,sublaterodorsal nucleus,Mouse,PM41578852,22,3,non_neocortex,seed_remap,high,1.0
ventral striatum,ventral striatum,Human,PM33960421,22,14,non_neocortex,seed_remap,high,1.0
cerebellar cortex,cerebellar cortex,Rat,PM35781609,21,15,non_neocortex,seed_remap,high,1.0
corpus callosum,corpus callosum,Mouse,PM39912002,21,16,other,seed_remap,high,1.0
DCIC,dorsal central inferior colliculus,Mouse,PM42182250,21,3,non_neocortex,seed_remap,high,1.0
DPd,"dorsal paragigantocellular nucleus, dorsal part",Mouse,PM40343331,21,1,non_neocortex,seed_remap,high,1.0
Injection site,,Tree shrew,PM40093135,21,3,other,seed_remap,high,1.0
NAc shell,nucleus accumbens shell,Mouse,PM41362369,21,8,non_neocortex,seed_remap,high,1.0
RFA,rostral forelimb area,Rat,PM38265300,21,7,neocortex,flash,high,0.9767
Rt,reticular nucleus,Mouse,PM39170852,21,14,non_neocortex,seed_remap,high,1.0
SOC,superior olivary complex,Rat,PM37621862,21,8,non_neocortex,seed_remap,high,1.0
ANT,anterior nucleus of the thalamus,Human,PM36201994,20,7,non_neocortex,seed_remap,high,1.0
BA,basal amygdala,Mouse,PM41022937,20,8,non_neocortex,seed_remap,high,1.0
basolateral amygdala,basolateral amygdala,Mouse,PM37823340,20,15,non_neocortex,seed_remap,high,1.0
cortical areas,cortical areas,Mouse,PM42049879,20,14,other,flash,medium,0.7
lateral hypothalamus,lateral hypothalamus,Mouse,PM37029761,20,18,non_neocortex,seed_remap,high,1.0
MOC,medial olivocochlear,Mouse,PM38313270,20,10,non_neocortex,seed_remap,high,1.0
NG,nodose ganglion,Mouse,PM40076675,20,10,other,seed_remap,high,1.0
Pul,pulvinar,Human,PM35588455,20,8,non_neocortex,seed_remap,high,1.0
S1HL,primary somatosensory cortex hindlimb,Mouse,PM36846300,20,9,neocortex,flash,high,0.9933
TH,thalamus,Mouse,PM35221935,20,14,non_neocortex,seed_remap,high,1.0
VAL,ventral anterior-lateral thalamus,Mouse,PM34146469,20,15,non_neocortex,seed_remap,high,1.0
BL,basolateral amygdala,Mouse,PM39103495,19,7,non_neocortex,seed_remap,high,1.0
BMpc,,Rat,PM40352758,19,1,non_neocortex,seed_remap,high,1.0
CeL,central amygdala lateral,Rat,PM34032911,19,11,non_neocortex,seed_remap,high,1.0
cerebral peduncle,cerebral peduncle,Mouse,PM39110516,19,13,other,seed_remap,high,1.0
CM,centromedian nucleus,Mouse,PM41115879,19,11,non_neocortex,seed_remap,high,1.0
frontal lobe,frontal lobe,Human,PM39912002,19,10,neocortex,flash,high,0.9667
GPePV,globus pallidus external segment parvicellular,,PM40464272,19,1,non_neocortex,seed_remap,high,1.0
MGN,medial geniculate nucleus,Mouse,PM39484622,19,11,non_neocortex,seed_remap,high,1.0
neocortex,neocortex,Mouse,PM33516814,19,13,neocortex,flash,high,1.0
PMd,dorsal premotor cortex,Macaque,PM37490921,19,13,neocortex,flash,high,0.9333
SI,substantia innominata,Mouse,PM39805973,19,11,non_neocortex,seed_remap,high,1.0
Sp5C,spinal trigeminal nucleus pars caudalis,Mouse,PM41762709,19,9,non_neocortex,seed_remap,high,1.0
VB,ventrobasal thalamus,Mouse,PM38890758,19,12,non_neocortex,seed_remap,high,1.0
bone,bone,Mouse,PM38963696,18,3,other,seed_remap,high,1.0
corticospinal neurons,corticospinal neurons,Mouse,PM41702716,18,11,other,seed_remap,high,1.0
dPAG,dorsal periaqueductal gray matter,Rat,PM36061004,18,5,non_neocortex,seed_remap,high,1.0
FC,frontal cortex,Mouse,PM38883723,18,7,neocortex,flash,high,0.9333
fpIC,,Mouse,PM36255325,18,1,ambiguous,flash,medium,0.5333
ICc,central nucleus of the inferior colliculus,Mouse,PM38670009,18,9,non_neocortex,seed_remap,high,1.0
IML,intermediolateral nucleus,Mouse,PM38963696,18,11,non_neocortex,seed_remap,high,1.0
inferior colliculus,inferior colliculus,Mouse,PM40852920,18,13,non_neocortex,seed_remap,high,1.0
liver,liver,Mouse,PM40235271,18,9,other,seed_remap,high,1.0
LPO,lateral preoptic area,Mouse,PM39805973,18,14,non_neocortex,seed_remap,high,1.0
LPrm,"lateral posterior nucleus, pars rostromedialis",Rat,PM32361987,18,2,non_neocortex,seed_remap,high,1.0
MNTB,medial nucleus of the trapezoid body,Mouse,PM39484183,18,13,non_neocortex,seed_remap,high,1.0
nucleus of the solitary tract,nucleus of the solitary tract,Mouse,PM39778623,18,15,non_neocortex,seed_remap,high,1.0
pIC,posterior insular cortex,Mouse,PM39192198,18,9,neocortex,flash,medium,0.7667
PV2 cluster,PV2 cluster,Mouse,PM35486186,18,1,ambiguous,flash,medium,0.6333
right thalamus,right thalamus,Human,PM34815270,18,7,non_neocortex,seed_remap,high,1.0
SDH,spinal dorsal horn,Rat,PM40108302,18,12,non_neocortex,seed_remap,high,1.0
thalamic nuclei,thalamic nuclei,Mouse,PM36255325,18,14,non_neocortex,seed_remap,high,1.0
VCN,ventral cochlear nucleus,Mouse,PM37554670,18,3,non_neocortex,seed_remap,high,1.0
AgRP neurons,Agouti-related peptide neurons,Mouse,PM39627618,17,10,other,seed_remap,high,1.0
AVPPVN,arginine vasopressin-expressing paraventricular nucleus neurons,,PM37121600,17,1,non_neocortex,seed_remap,high,1.0
BF Npas1+,basal forebrain NPAS1-positive neurons,Mouse,PM38748575,17,2,non_neocortex,seed_remap,high,1.0
corticospinal tract,corticospinal tract,Human,PM38083210,17,11,other,seed_remap,high,1.0
dSTR,dorsal striatum,Mouse,PM33037031,17,6,non_neocortex,seed_remap,high,1.0
HPC,hippocampus,Mouse,PM40204437,17,11,non_neocortex,seed_remap,high,1.0
Ins,insula,rats and mice,PM42101519,17,5,neocortex,flash,medium,0.7667
isocortex,isocortex,Mouse,PM40777408,17,10,neocortex,flash,high,0.9667
IT neurons,intratelencephalic neurons,Mouse,PM33420090,17,7,other,flash,high,0.8833
MDN,mediodorsal nucleus,Human,PM37660322,17,2,non_neocortex,seed_remap,high,1.0
mOFC,medial orbitofrontal cortex,Mouse,PM41851827,17,4,neocortex,flash,high,0.9667
MPOA,medial preoptic area,Mouse,PM40370500,17,9,non_neocortex,seed_remap,high,1.0
NAcSh,nucleus accumbens shell,Mouse,PM36736416,17,9,non_neocortex,seed_remap,high,1.0
pACC,posterior anterior cingulate cortex,Human,PM34276282,17,4,non_neocortex,pro,high,0.8
PaS,parasubiculum,Mouse,PM33324173,17,4,non_neocortex,seed_remap,high,1.0
