structure_name,species,paper
Laterodorsal tegmentum,Human,Agostinelli2023
Lateral parabrachial nucleus,Human,Agostinelli2023
Medial parabrachial nucleus,Human,Agostinelli2023
External lateral parabrachial nucleus,Human,Agostinelli2023
Periaqueductal gray,Human,Agostinelli2023
Superior colliculus,Human,Agostinelli2023
Inferior colliculus,Human,Agostinelli2023
Locus coeruleus,Human,Agostinelli2023
A1 catecholaminergic cell group,Human,Agostinelli2023
A4 catecholaminergic cell group,Human,Agostinelli2023
A5 catecholaminergic cell group,Human,Agostinelli2023
A8 catecholaminergic cell group,Human,Agostinelli2023
Substantia nigra,Human,Agostinelli2023
Ventral tegmental area,Human,Agostinelli2023
Dorsal raphe,Human,Agostinelli2023
Median raphe,Human,Agostinelli2023
Raphe magnus,Human,Agostinelli2023
Raphe obscurus,Human,Agostinelli2023
Solitary tract,Human,Agostinelli2023
Medial longitudinal fasciculus,Human,Agostinelli2023
Medial lemniscus,Human,Agostinelli2023
Superior cerebellar peduncle,Human,Agostinelli2023
Middle cerebellar peduncle,Human,Agostinelli2023
Corticospinal tract (pyramids),Human,Agostinelli2023
Cerebellar cortex (molecular layer),Human,Agostinelli2023
Cerebellar cortex (Purkinje cell layer),Human,Agostinelli2023
Cerebellar cortex (granular layer),Human,Agostinelli2023
Cerebellar vermis,Human,Agostinelli2023
Cerebellar hemisphere,Human,Agostinelli2023
Flocculus,Human,Agostinelli2023
Fastigial nucleus,Human,Agostinelli2023
Globose nucleus,Human,Agostinelli2023
Emboliform nucleus,Human,Agostinelli2023
Dentate nucleus,Human,Agostinelli2023
Inferior olive,Human,Agostinelli2023
Precentral gyrus,Human,TzourioMazoyer2002
Postcentral gyrus,Human,TzourioMazoyer2002
Rolandic operculum,Human,TzourioMazoyer2002
Superior frontal gyrus,Human,TzourioMazoyer2002
Middle frontal gyrus,Human,TzourioMazoyer2002
Inferior frontal gyrus (opercular part),Human,TzourioMazoyer2002
Inferior frontal gyrus (triangular part),Human,TzourioMazoyer2002
Supplementary motor area,Human,TzourioMazoyer2002
Paracentral lobule,Human,TzourioMazoyer2002
Inferior frontal gyrus,Human,TzourioMazoyer2002
Gyrus rectus,Human,TzourioMazoyer2002
Olfactory cortex,Human,TzourioMazoyer2002
Superior temporal gyrus,Human,TzourioMazoyer2002
Heschl gyrus,Human,TzourioMazoyer2002
Middle temporal gyrus,Human,TzourioMazoyer2002
Inferior temporal gyrus,Human,TzourioMazoyer2002
Superior parietal gyrus,Human,TzourioMazoyer2002
Inferior parietal lobule,Human,TzourioMazoyer2002
Angular gyrus,Human,TzourioMazoyer2002
Supramarginal gyrus,Human,TzourioMazoyer2002
Precuneus,Human,TzourioMazoyer2002
Superior occipital gyrus,Human,TzourioMazoyer2002
Middle occipital gyrus,Human,TzourioMazoyer2002
Inferior occipital gyrus,Human,TzourioMazoyer2002
Cuneus,Human,TzourioMazoyer2002
Calcarine fissure and surrounding cortex,Human,TzourioMazoyer2002
Lingual gyrus,Human,TzourioMazoyer2002
Fusiform gyrus,Human,TzourioMazoyer2002
Temporal pole (superior temporal gyrus),Human,TzourioMazoyer2002
Temporal pole (middle temporal gyrus),Human,TzourioMazoyer2002
Anterior cingulate and paracingulate gyri,Human,TzourioMazoyer2002
Median cingulate and paracingulate gyri,Human,TzourioMazoyer2002
Posterior cingulate gyrus,Human,TzourioMazoyer2002
Hippocampus,Human,TzourioMazoyer2002
Parahippocampal gyrus,Human,TzourioMazoyer2002
Insula,Human,TzourioMazoyer2002
Amygdala,Human,TzourioMazoyer2002
Caudate nucleus,Human,TzourioMazoyer2002
Lenticular nucleus (putamen),Human,TzourioMazoyer2002
Lenticular nucleus (pallidum),Human,TzourioMazoyer2002
Thalamus,Human,TzourioMazoyer2002
Caudate nucleus,Human,Yelnik2007
Putamen,Human,Yelnik2007
External globus pallidus,Human,Yelnik2007
Internal globus pallidus,Human,Yelnik2007
Subthalamic nucleus,Human,Yelnik2007
Substantia nigra,Human,Yelnik2007
Nucleus accumbens,Human,Yelnik2007
Red nucleus,Human,Yelnik2007
Zona incerta,Human,Yelnik2007
Mammillary body,Human,Yelnik2007
Anterior thalamic nucleus,Human,Yelnik2007
Ventral anterior thalamic nucleus,Human,Yelnik2007
Ventral lateral thalamic nucleus,Human,Yelnik2007
Ventralis intermedius,Human,Yelnik2007
Ventral posterior internal thalamic nucleus,Human,Yelnik2007
Ventral posterior external thalamic nucleus,Human,Yelnik2007
Mediodorsal thalamic nucleus,Human,Yelnik2007
Pulvinar,Human,Yelnik2007
Centre median parafascicular complex,Human,Yelnik2007
Reticular perithalamic nucleus,Human,Yelnik2007
Internal capsule,Human,Yelnik2007
Cerebral peduncle,Human,Yelnik2007
Forel's field H,Human,Yelnik2007
Forel's field H1,Human,Yelnik2007
Forel's field H2,Human,Yelnik2007
Ansa lenticularis,Human,Yelnik2007
Brachium conjunctivum,Human,Yelnik2007
Fornix,Human,Yelnik2007
Mammillothalamic tract,Human,Yelnik2007
Optic tract,Human,Yelnik2007
Lateral ventricle,Human,Yelnik2007
CA1,Human,Yushkevich2009
CA2,Human,Yushkevich2009
CA3,Human,Yushkevich2009
CA4 (dentate hilus),Human,Yushkevich2009
Dentate gyrus,Human,Yushkevich2009
Subiculum,Human,Yushkevich2009
Vestigial hippocampal sulcus,Human,Yushkevich2009
Anterior nucleus (thalamus),Human,Hwang2017
Lateral geniculate nucleus,Human,Hwang2017
Medial geniculate nucleus,Human,Hwang2017
Ventral lateral thalamic nucleus,Human,Hwang2017
Ventral anterior thalamic nucleus,Human,Hwang2017
Ventral posterior thalamic nucleus,Human,Hwang2017
Intralaminar thalamic nuclei,Human,Hwang2017
Medial dorsal thalamic nucleus,Human,Hwang2017
Lateral posterior thalamic nucleus,Human,Hwang2017
Posterior thalamic nucleus,Human,Hwang2017
Medial pulvinar,Human,Hwang2017
Inferior pulvinar,Human,Hwang2017
Lateral pulvinar,Human,Hwang2017
Anterior pulvinar,Human,Hwang2017
Ventral medial thalamic nucleus,Human,Hwang2017
Superior temporal gyrus,Human,Kiernan2012
Middle temporal gyrus,Human,Kiernan2012
Inferior temporal gyrus,Human,Kiernan2012
Transverse temporal gyri (Heschl's gyri),Human,Kiernan2012
Planum temporale,Human,Kiernan2012
Temporal pole,Human,Kiernan2012
Insula,Human,Kiernan2012
Limen insulae,Human,Kiernan2012
Fusiform gyrus,Human,Kiernan2012
Parahippocampal gyrus,Human,Kiernan2012
Uncus,Human,Kiernan2012
Hippocampus,Human,Kiernan2012
Dentate gyrus,Human,Kiernan2012
Subiculum,Human,Kiernan2012
Entorhinal area,Human,Kiernan2012
Amygdala,Human,Kiernan2012
Periamygdaloid cortex,Human,Kiernan2012
Septal area,Human,Kiernan2012
Arcuate fasciculus,Human,Kiernan2012
Inferior longitudinal fasciculus,Human,Kiernan2012
Uncinate fasciculus,Human,Kiernan2012
Meyer's loop (geniculocalcarine tract),Human,Kiernan2012
Fimbria,Human,Kiernan2012
Alveus,Human,Kiernan2012
Fornix,Human,Kiernan2012
Temporal horn of the lateral ventricle,Human,Kiernan2012
Angular gyrus,Human,Rushmore2022
Intracalcarine cortex,Human,Rushmore2022
Cingulate gyrus,Human,Rushmore2022
Cuneal cortex,Human,Rushmore2022
Central opercular cortex,Human,Rushmore2022
Superior frontal gyrus,Human,Rushmore2022
Middle frontal gyrus,Human,Rushmore2022
Inferior frontal gyrus,Human,Rushmore2022
Inferior frontal gyrus (pars opercularis),Human,Rushmore2022
Inferior frontal gyrus (pars orbitalis),Human,Rushmore2022
Inferior frontal gyrus (pars triangularis),Human,Rushmore2022
Frontal medial cortex,Human,Rushmore2022
Frontal opercular cortex,Human,Rushmore2022
Frontal orbital cortex,Human,Rushmore2022
Frontal pole,Human,Rushmore2022
Heschl's gyrus,Human,Rushmore2022
Insular cortex,Human,Rushmore2022
Lingual gyrus,Human,Rushmore2022
Occipital fusiform gyrus,Human,Rushmore2022
Lateral occipital cortex,Human,Rushmore2022
Occipital pole,Human,Rushmore2022
Paracingulate gyrus,Human,Rushmore2022
Precuneal cortex,Human,Rushmore2022
Parahippocampal gyrus,Human,Rushmore2022
Parietal opercular cortex,Human,Rushmore2022
Postcentral gyrus,Human,Rushmore2022
Planum polare,Human,Rushmore2022
Pre-supplementary motor area,Human,Rushmore2022
Precentral gyrus,Human,Rushmore2022
Planum temporale,Human,Rushmore2022
Subcallosal cortex,Human,Rushmore2022
Supracalcarine cortex,Human,Rushmore2022
Supramarginal gyrus,Human,Rushmore2022
Supplementary motor area,Human,Rushmore2022
Superior parietal lobule,Human,Rushmore2022
Superior temporal gyrus,Human,Rushmore2022
Middle temporal gyrus,Human,Rushmore2022
Inferior temporal gyrus,Human,Rushmore2022
Temporal frontal cortex,Human,Rushmore2022
Middle temporal gyrus (temporo-occipital),Human,Rushmore2022
Inferior temporal gyrus (temporo-occipital),Human,Rushmore2022
Temporal occipital fusiform cortex,Human,Rushmore2022
Temporal pole,Human,Rushmore2022
Primary visual cortex,Human,Glasser2016
Secondary visual cortex,Human,Glasser2016
Visual area V3,Human,Glasser2016
Visual area V3A,Human,Glasser2016
Visual area V3B,Human,Glasser2016
Visual area V4,Human,Glasser2016
Visual area V6,Human,Glasser2016
Visual area V6A,Human,Glasser2016
Visual area V7,Human,Glasser2016
Visual area V8,Human,Glasser2016
Middle temporal area,Human,Glasser2016
Medial superior temporal area,Human,Glasser2016
Fundal superior temporal area,Human,Glasser2016
Area PH,Human,Glasser2016
V4 transitional area,Human,Glasser2016
Primary motor cortex,Human,Glasser2016
Somatosensory area 3a,Human,Glasser2016
Somatosensory area 3b,Human,Glasser2016
Somatosensory area 1,Human,Glasser2016
Somatosensory area 2,Human,Glasser2016
Frontal eye field,Human,Glasser2016
Premotor eye field,Human,Glasser2016
Area 55b,Human,Glasser2016
Premotor area 6a,Human,Glasser2016
Premotor area 6v,Human,Glasser2016
Premotor area 6d,Human,Glasser2016
Premotor area 6m,Human,Glasser2016
Premotor area 6r,Human,Glasser2016
Premotor area 6mp,Human,Glasser2016
Prefrontal area 8Av,Human,Glasser2016
Prefrontal area 8Ad,Human,Glasser2016
Prefrontal area 8BL,Human,Glasser2016
Prefrontal area 8BM,Human,Glasser2016
Prefrontal area 8C,Human,Glasser2016
Prefrontal area 9-46v,Human,Glasser2016
Prefrontal area 9-46d,Human,Glasser2016
Prefrontal area 46,Human,Glasser2016
Prefrontal area 47s,Human,Glasser2016
Prefrontal area 47m,Human,Glasser2016
Prefrontal area 47l,Human,Glasser2016
Prefrontal area 47r,Human,Glasser2016
Prefrontal area 9a,Human,Glasser2016
Prefrontal area 9m,Human,Glasser2016
Prefrontal area 9p,Human,Glasser2016
Prefrontal area 10d,Human,Glasser2016
Prefrontal area 10r,Human,Glasser2016
Prefrontal area 10pp,Human,Glasser2016
Frontal area SFL,Human,Glasser2016
Retrosplenial cortex,Human,Glasser2016
Posterior opercular area POS2,Human,Glasser2016
Lateral intraparietal area,Human,Glasser2016
Ventral intraparietal area,Human,Glasser2016
Anterior intraparietal area,Human,Glasser2016
Primary auditory cortex,Human,Glasser2016
Temporal area TE1a,Human,Glasser2016
Temporal area TE1m,Human,Glasser2016
Temporal area TE1p,Human,Glasser2016
Temporal area TE2a,Human,Glasser2016
Cingulate area 23c,Human,Glasser2016
Cingulate area 23d,Human,Glasser2016
Cingulate area 31a,Human,Glasser2016
Cingulate area a24,Human,Glasser2016
Cingulate area p24,Human,Glasser2016
Insular area FOP1,Human,Glasser2016
Insular area FOP2,Human,Glasser2016
Insular area FOP3,Human,Glasser2016
Insular area FOP4,Human,Glasser2016
Insular area FOP5,Human,Glasser2016
Retroinsular cortex,Human,Glasser2016
Posterior insular area,Human,Glasser2016
Anterior ventral insular area,Human,Glasser2016
Medial insular area,Human,Glasser2016
Frontoinsular area,Human,Glasser2016
Parietal area IP0,Human,Glasser2016
Parietal area IP1,Human,Glasser2016
Parietal area IP2,Human,Glasser2016
Parietal area PFt,Human,Glasser2016
Parietal area PF,Human,Glasser2016
Parietal area PFm,Human,Glasser2016
Parietal area PFcm,Human,Glasser2016
Parietal area PFop,Human,Glasser2016
Parietal area PGi,Human,Glasser2016
Parietal area PGs,Human,Glasser2016
Parietal area PGp,Human,Glasser2016
Temporal area STGg,Human,Glasser2016
Temporal area PSL,Human,Glasser2016
Temporal area STSdp,Human,Glasser2016
Temporal area STSda,Human,Glasser2016
Temporal area STSva,Human,Glasser2016
Temporal area STSvp,Human,Glasser2016
Temporal area TF,Human,Glasser2016
Temporal area TGd,Human,Glasser2016
Entorhinal cortex,Human,Glasser2016
Presubiculum,Human,Glasser2016
Parahippocampal area PeEc,Human,Glasser2016
Hippocampal formation,Human,Glasser2016
Paracentral area 5L,Human,Glasser2016
Paracentral area 5mv,Human,Glasser2016
Paracentral area 5m,Human,Glasser2016
Cingulate area 24dd,Human,Glasser2016
Cingulate area 24dv,Human,Glasser2016
Area 43,Human,Glasser2016
Opercular area OP1,Human,Glasser2016
Opercular area OP2-3,Human,Glasser2016
Opercular area OP4,Human,Glasser2016
Area 52,Human,Glasser2016
