abbrev,expansion,notes
EPd,endopiriform nucleus dorsal part,corpus: no_match; fullname aligned
NRM,nucleus raphe magnus,corpus: no_match; fullname aligned
ObOc,accessory oculomotor nucleus,corpus: no_match; fullname aligned
PetMR,Pet+ median raphe,corpus: no_match; fullname broader_parent
PMCo,posteromedial amygdala cortex,corpus: no_match; fullname broader_parent
rsCla,rostral-to-striatum claustrum,corpus: no_match; fullname broader_parent
RVS,right ventral striatum,corpus: no_match; fullname broader_parent
SSN,superior salivatory nucleus,corpus: no_match; fullname aligned
sVo,trigeminal subnucleus pars oralis,corpus: no_match; fullname aligned
TNC,trigeminal nucleus caudalis,corpus: no_match; fullname aligned
tVTA,tail of the ventral tegmental area (rostromedial tegmental nucleus),corpus: no_match; fullname broader_parent
vlVPM,ventral lateral ventral posterior medial thalamic nucleus,corpus: no_match; fullname broader_parent
vMGB,ventral medial geniculate body of the thalamus,corpus: no_match; fullname aligned
Vmo,trigeminal motor nucleus,corpus: no_match; fullname aligned
VPLvm,ventromedial part of the ventral posterolateral nucleus,corpus: no_match; fullname broader_parent
VTAR,rostral ventral tegmental area,corpus: no_match; fullname broader_parent
aBLA,anterior basolateral amygdala,corpus: no_match; fullname broader_parent
aBNST,anterior bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
ACBdm,dorsomedial nucleus accumbens,corpus: no_match; fullname broader_parent
AONpP,anterior olfactory nucleus pars principalis,corpus: no_match; fullname broader_parent
AOP,posterior complex of the anterior olfactory nucleus,corpus: no_match; fullname broader_parent
aPBG,anterior parabigeminal nucleus,corpus: no_match; fullname broader_parent
BMP,basomedial posterior amygdaloid nucleus,corpus: no_match; fullname broader_parent
BSTp,posterior bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
CHp,caudate posterior,corpus: no_match; fullname aligned
cSC,contralateral superior colliculus,corpus: no_match; fullname broader_parent
DB,diagonal band of Broca,corpus: no_match; fullname aligned
DEn,dorsal endopiriform nucleus,corpus: no_match; fullname aligned
dlVP,dorsolateral ventral pallidum,corpus: no_match; fullname broader_parent
dMHb,dorsal medial habenula,corpus: no_match; fullname aligned
dPL,dorsal portion of lateral pulvinar,corpus: no_match; fullname broader_parent
INLL,intermediate nucleus of the lateral lemniscus,corpus: no_match; fullname aligned
iTh,ipsilesional thalamus,corpus: no_match; fullname aligned
LDDM,dorsomedial part of laterodorsal thalamic nucleus,corpus: no_match; fullname broader_parent
LGP,lateral globus pallidus,corpus: no_match; fullname broader_parent
LPLR,lateral posterior thalamic nucleus (laterorostral),corpus: no_match; fullname broader_parent
MBmot,motor-related midbrain,corpus: no_match; fullname broader_parent
MOB,main olfactory bulb,corpus: no_match; fullname broader_parent
mTh,motor thalamus,corpus: no_match; fullname broader_parent
NAcCA,anterior nucleus accumbens core,corpus: no_match; fullname broader_parent
NPC,nucleus of the posterior commissure,corpus: no_match; fullname aligned
NPH,nucleus prepositus hypoglossi,corpus: no_match; fullname aligned
OV,vascular organ of the lamina terminalis,corpus: no_match; fullname broader_parent
pBLA,posterior basolateral amygdala,corpus: no_match; fullname broader_parent
PeriV,peritrigeminal area,corpus: no_match; fullname aligned
pPaHC,posterior parahippocampal gyrus,corpus: no_match; fullname aligned
pPir,posterior piriform cortex,corpus: no_match; fullname broader_parent
PRF,pontine reticular formation,corpus: no_match; fullname aligned
PVp,posterior part of the paraventricular nucleus,corpus: no_match; fullname aligned
rECIC,rostral external cortex of inferior colliculus,corpus: no_match; fullname broader_parent
SCA,superior colliculus anterior,corpus: no_match; fullname broader_parent
SRF,superior reticular formation,corpus: no_match; fullname broader_parent
SVN,superior vestibular nucleus,corpus: no_match; fullname aligned
vCA3,ventral CA3,corpus: no_match; fullname aligned
VMPO,ventromedial preoptic,corpus: no_match; fullname broader_parent
vPul,ventral pulvinar,corpus: no_match; fullname broader_parent
ZIm,medial zona incerta,corpus: no_match; fullname broader_parent
ABN,abducens nucleus,corpus: no_match; fullname aligned
AHiPM,amygdalo-hippocampal transition area,corpus: no_match; fullname aligned
AONpE,anterior olfactory nucleus pars externa,corpus: no_match; fullname broader_parent
AudTRN,auditory sector of thalamic reticular nucleus,corpus: no_match; fullname broader_parent
BMAp,posterior basomedial amygdala,corpus: no_match; fullname broader_parent
BNSTp,principal region of bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
C6,cervical spinal cord segment 6,corpus: no_match; fullname broader_parent
CA3d,CA3 dorsal,corpus: no_match; fullname broader_parent
cDR,caudal dorsal raphe,corpus: no_match; fullname aligned
cECIC,caudal external cortex of inferior colliculus,corpus: no_match; fullname broader_parent
CGPn,pontine central gray pons,corpus: no_match; fullname aligned
CHa,caudate head anterior,corpus: no_match; fullname broader_parent
CHd,caudate head,corpus: no_match; fullname aligned
cHPC,caudal hippocampus,corpus: no_match; fullname broader_parent
CIp,central nucleus of the inferior pulvinar,corpus: no_match; fullname broader_parent
cIPN,caudal interpeduncular nucleus,corpus: no_match; fullname aligned
cLGN,contralateral lateral geniculate nucleus,corpus: no_match; fullname broader_parent
CNU,cerebral nuclei,corpus: no_match; fullname aligned
cOPN,contralateral olivary pretectal nucleus,corpus: no_match; fullname aligned
cvPVH,caudal ventral paraventricular hypothalamus,corpus: no_match; fullname broader_parent
dCA2,dorsal cornu ammonis area 2,corpus: no_match; fullname broader_parent
dCA3a,distal CA3a,corpus: no_match; fullname broader_parent
DNLL,dorsal nucleus of the lateral lemniscus,corpus: no_match; fullname aligned
DTM,dorsal tuberomammillary,corpus: no_match; fullname broader_parent
dTMN,dorsal tuberomammillary nucleus,corpus: no_match; fullname broader_parent
DVN,dorsal vestibular nucleus,corpus: no_match; fullname broader_parent
FL,flocculus,corpus: no_match; fullname aligned
GENd,geniculate group of the dorsal thalamus,corpus: no_match; fullname broader_parent
HPF,hippocampal formation,corpus: no_match; fullname aligned
ICE,external cortex (inferior colliculus external),corpus: no_match; fullname aligned
iLS,intermediate lateral septum,corpus: no_match; fullname aligned
iNTS,intermediate nucleus of the tractus solitarius,corpus: no_match; fullname aligned
iPIR,intermediate piriform cortex,corpus: no_match; fullname broader_parent
LAp,lateral amygdala posterior,corpus: no_match; fullname broader_parent
lFN,lateral subnucleus of facial nucleus,corpus: no_match; fullname aligned
LHLEPR,lateral hypothalamus leptin receptor-expressing,corpus: no_match; fullname broader_parent
lNAcc,lateral shell of nucleus accumbens,corpus: no_match; fullname broader_parent
LPTN,lateral posterior thalamic nucleus,corpus: no_match; fullname aligned
LRMR,mediorostral division of the lateral posterior thalamic nucleus,corpus: no_match; fullname broader_parent
lwDR,lateral wings subdivision of the dorsal raphe nucleus,corpus: no_match; fullname aligned
MBsen,midbrain sensory,corpus: no_match; fullname broader_parent
MD1,mediodorsal thalamus subpopulation 1,corpus: no_match; fullname broader_parent
MD2,mediodorsal thalamus subpopulation 2,corpus: no_match; fullname broader_parent
mDStr,medial dorsal striatum,corpus: no_match; fullname broader_parent
MDTH,medial-dorsal thalamus,corpus: no_match; fullname aligned
MeApd,medial amygdala posterodorsal,corpus: no_match; fullname broader_parent
MEAv,ventral medial amygdala,corpus: no_match; fullname broader_parent
MePV,medial amygdala posteroventral,corpus: no_match; fullname broader_parent
MGBd,dorsal division of the medial geniculate body,corpus: no_match; fullname aligned
MMlat,medial mammillary nucleus lateral part,corpus: no_match; fullname aligned
mOT,medial olfactory tubercle,corpus: no_match; fullname broader_parent
mSNr,medial substantia nigra pars reticulata,corpus: no_match; fullname broader_parent
mVTA,medial ventral tegmental area,corpus: no_match; fullname broader_parent
nICP,interstitial nucleus of the posterior commissure,corpus: no_match; fullname aligned
NVsnpr,main sensory nucleus,corpus: no_match; fullname broader_parent
OG,olfactory glomerulus,corpus: no_match; fullname broader_parent
PBdl,dorsolateral nucleus,corpus: no_match; fullname aligned
PBNL,lateral parabrachial nuclei,corpus: no_match; fullname aligned
PBNLE,lateral external parabrachial nucleus,corpus: no_match; fullname aligned
PeRhr,rostral perirhinal cortex,corpus: no_match; fullname broader_parent
Peri5,peritrigeminal premotor area,corpus: no_match; fullname broader_parent
PFas,parafascicular nucleus of thalamus,corpus: no_match; fullname aligned
PfT,parafascicular thalamus,corpus: no_match; fullname aligned
pPBG,posterior parabigeminal nucleus,corpus: no_match; fullname broader_parent
PVHpv,periventricular part of the paraventricular nucleus of hypothalamus,corpus: no_match; fullname broader_parent
pvMeA,posteroventral medial amygdala,corpus: no_match; fullname broader_parent
PVNd,descending PVN,corpus: no_match; fullname broader_parent
rEPN,rostral entopeduncular nucleus,corpus: no_match; fullname broader_parent
rTRN,rostral thalamic reticular nucleus,corpus: no_match; fullname broader_parent
SD1,striatal D1 nucleus,corpus: no_match; fullname broader_parent
SD2,striatal D2 nucleus,corpus: no_match; fullname broader_parent
SLM,stratum lacunosum-moleculare,corpus: no_match; fullname aligned
SLS,spinal lumbar segment,corpus: no_match; fullname broader_parent
sSpC,sacral spinal cord,corpus: no_match; fullname aligned
StA,strial part of the preoptic area,corpus: no_match; fullname broader_parent
Subl,subincertal nucleus,corpus: no_match; fullname aligned
TuLH,tuberal lateral hypothalamus,corpus: no_match; fullname aligned
vBF,ventral basal forebrain,corpus: no_match; fullname broader_parent
vCA2,ventral CA2,corpus: no_match; fullname aligned
VHm,medial part of ventral horn,corpus: no_match; fullname broader_parent
vlFN,ventrolateral fastigial nucleus,corpus: no_match; fullname broader_parent
vTMN,ventral tuberomammillary nucleus,corpus: no_match; fullname aligned
WT,whole thalamus,corpus: no_match; fullname aligned
ZII,intermediate zona incerta,corpus: no_match; fullname broader_parent
VP,ventral pallidum,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
CN,cerebellar nuclei,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
MEC,medial entorhinal cortex,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
Gr,gracile nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
Cd,caudate nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PP,piriform cortex,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PV,principal trigeminal nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
TH,thalamus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
ICc,central nucleus of the inferior colliculus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
EP,entopeduncular nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
SON,supraoptic nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
NOT,nucleus of the optic tract,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
VII,facial nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
MR,median raphe nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
SpV,spinal trigeminal nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
AHA,anterior hypothalamic area,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
AP,area postrema,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
ME,median eminence,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
III,oculomotor nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PTN,posterior thalamic nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
BG,basal ganglia,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
DL,dorsal lateral nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
IG,intermediate gray,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
LPN,lateral posterior nucleus of the thalamus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
OPT,olivary pretectal nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PHN,prepositus hypoglossi nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
SO,stratum oriens,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
BN,Barrington's nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
LSN,lateral spinal nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PTg,pontine tegmentum,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
Sol,solitary nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
CAL,Cerebellum Anterior Lobe,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
Hb,habenula,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
POST,postsubiculum,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
RPC,parvicellular part of the red nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
A6,A6 (locus coeruleus),"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
BLv,ventral subdivision of the basolateral nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
CA3v,CA3 ventral,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
Eth,ethmoid thalamic nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PON,pontine nuclei,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
PuM,medial pulvinar,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
SL,stratum lucidum,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
SpVc,caudalis division of spinal trigeminal nucleus,"corpus: abbrev wrong, fullname aligned (HOMBA acronym collision)"
DMS,dorsomedial striatum,corpus: high-conf abbrev collision
DLS,dorsolateral striatum,corpus: high-conf abbrev collision
VN,vestibular nucleus,corpus: high-conf abbrev collision
PRh,perirhinal cortex,corpus: high-conf abbrev collision
LSC,lateral superior colliculus,corpus: high-conf abbrev collision
CeM,medial division of central nucleus,corpus: high-conf abbrev collision
VMS,ventromedial striatum,corpus: high-conf abbrev collision
PRN,pontine reticular nuclei,corpus: high-conf abbrev collision
PuC,pulvinar complex,corpus: high-conf abbrev collision
SMT,sensorimotor thalamus,corpus: high-conf abbrev collision
SuML,supramammillary nucleus medial lobe,corpus: high-conf abbrev collision
LH,lateral hypothalamus,corpus: frequent abbrev no_match
LHA,lateral hypothalamic area,corpus: frequent abbrev no_match
PBN,parabrachial nucleus,corpus: frequent abbrev no_match
CPu,caudate putamen,corpus: frequent abbrev no_match
MS,medial septum,corpus: frequent abbrev no_match
MDT,mediodorsal thalamus,corpus: frequent abbrev no_match
RMTg,rostromedial tegmental nucleus,corpus: frequent abbrev no_match
TSC,torus semicircularis pars centralis,corpus: frequent abbrev no_match
LPBN,lateral parabrachial nucleus,corpus: frequent abbrev no_match
DC,dorsal cochlear nucleus,corpus: frequent abbrev no_match
SLD,sublaterodorsal nucleus,corpus: frequent abbrev no_match
dSTR,dorsal striatum,corpus: frequent abbrev no_match
NAcSh,nucleus accumbens shell,corpus: frequent abbrev no_match
ENT,entorhinal cortex,corpus: frequent abbrev no_match
PIm,medial inferior pulvinar,corpus: frequent abbrev no_match
CP,dorsal striatum,round4: literature caudate putamen / CP vs cortical plate
Acb,nucleus accumbens,round4: Acb vs anterior cerebellar cortex acronym
ANT,anterior nuclear complex of thalamus,round4: anterior thalamus vs angular nucleus
PAL,globus pallidus,round4: pallidum vs paralemniscal
CUN,cuneiform nucleus,round4: CnF vs cuneus gyrus
