dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check
species,"Ventral cochlear nucleus, anterior part",high_confidence,0.968684,HOMBA:12439,ventral cochlear nucleus,bm25+fuzzy,"Ventral cochlear nucleus, anterior part",ventral cochlear nucleus,ventral,1.0,"ventral cochlear nucleus, rostral division",0.829934,correct_parent
species,Lateral hypothalamic area,high_confidence,0.967588,HOMBA:10494,"lateral hypothalamic area, tuberal part",bm25+fuzzy,Lateral hypothalamic area,tuberal part lateral hypothalamic area,lateral,1.0,"lateral  hypothalamic area, mammillary part",0.931484,questionable
species,Posterior interstitial nucleus of the anterior commissure,high_confidence,0.956666,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),bm25+fuzzy,Posterior interstitial nucleus of the anterior commissure,interstitial nucleus of posterior commissure,posterior,1.0,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.94138,questionable
species,Internal globus pallidus,high_confidence,0.938625,HOMBA:10342,globus pallidus (paleostriatum),bm25+fuzzy+hierarchy_parent,Internal globus pallidus,globus pallidus (paleostriatum),,1.0,internal division of globus pallidus,0.858625,questionable
species,Ansiform Lobule Crus1,high_confidence,0.936667,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),bm25+hierarchy_parent,Ansiform Lobule Crus1,lobule VII (semilunar-gracile lobule),,1.0,lobule VIIA (semilunar lobule/ansiform lobule),0.856667,questionable
species,Ansiform Lobule Crus2,high_confidence,0.936667,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),bm25+hierarchy_parent,Ansiform Lobule Crus2,lobule VII (semilunar-gracile lobule),,1.0,lobule VIIA (semilunar lobule/ansiform lobule),0.856667,questionable
species,Posterior intralaminar nucleus,high_confidence,0.934768,HOMBA:10448,caudal intralaminar nuclei of thalamus,bm25+fuzzy,Posterior intralaminar nucleus,posterior group of intralaminar nucleus,posterior,1.0,posterior marginal (intralaminar) nucleus of thalamus (PIL),0.788928,questionable
species,"Inferior colliculus, central nucleus",high_confidence,0.933772,HOMBA:12305,inferior colliculus,bm25+hierarchy_parent,"Inferior colliculus, central nucleus",inferior colliculus,,1.0,central nucleus of inferior colliculus,0.853772,questionable
species,"Lateral lemniscus, commissure",high_confidence,0.929524,HOMBA:12760,lateral lemniscus,bm25+fuzzy,"Lateral lemniscus, commissure",lateral lemniscus,lateral,1.0,nuclei of lateral lemniscus,0.730481,correct_parent
species,Medial geniculate complex (medial division),high_confidence,0.923334,HOMBA:AA30307,medial geniculate nuclear complex,bm25+fuzzy,Medial geniculate complex,medial geniculate nuclear complex,medial,1.0,lateral geniculate nuclear complex,0.535495,questionable
