structure_name,fullname,species,paper,n_mentions,n_papers,region_class,suitability,unsuitable_reason,class_corrected,region_class_before,audit_stage,final_certainty,final_confidence
MT,middle temporal area,Marmoset,PM37408682,22,11,neocortex,suitable,,no,neocortex,rule,high,0.9933
ORB,orbitofrontal cortex,Mouse,PM39149348,22,9,neocortex,suitable,,no,neocortex,rule,high,0.9933
parietal cortex,parietal cortex,Human,PM41115879,22,17,neocortex,suitable,,no,neocortex,rule,high,0.9933
PMC,premotor cortex,Mouse,PM35813503,22,9,neocortex,suitable,,no,neocortex,rule,high,0.9933
RFA,rostral forelimb area,Rat,PM38265300,21,7,neocortex,suitable,,no,neocortex,rule,high,0.9767
S1HL,primary somatosensory cortex hindlimb,Mouse,PM36846300,20,9,neocortex,suitable,,no,neocortex,rule,high,0.9933
frontal lobe,frontal lobe,Human,PM39912002,19,10,neocortex,suitable,,no,neocortex,rule,high,0.9667
neocortex,neocortex,Mouse,PM33516814,19,13,neocortex,suitable,,no,neocortex,rule,high,1.0
PMd,dorsal premotor cortex,Macaque,PM37490921,19,13,neocortex,suitable,,no,neocortex,rule,high,0.9333
FC,frontal cortex,Mouse,PM38883723,18,7,neocortex,suitable,,no,neocortex,rule,high,0.9333
pIC,posterior insular cortex,Mouse,PM39192198,18,9,neocortex,suitable,,no,neocortex,flash,high,0.9167
Ins,insula,rats and mice,PM42101519,17,5,neocortex,suitable,,no,neocortex,flash,high,0.95
isocortex,isocortex,Mouse,PM40777408,17,10,neocortex,suitable,,no,neocortex,rule,high,0.9667
mOFC,medial orbitofrontal cortex,Mouse,PM41851827,17,4,neocortex,suitable,,no,neocortex,rule,high,0.9667
pACC,posterior anterior cingulate cortex,Human,PM34276282,17,4,neocortex,suitable,,yes,non_neocortex,flash,high,0.86
primary somatosensory cortex,primary somatosensory cortex,Mouse,PM37353897,17,15,neocortex,suitable,,no,neocortex,rule,high,0.9667
anterior insula,anterior insula,Human,PM32594910,16,9,neocortex,suitable,,yes,non_neocortex,flash,high,0.86
fS1,,Mouse,PM36255325,16,1,neocortex,suitable,,no,neocortex,rule,high,0.9767
LM,lateromedial area,Mouse,PM35082302,16,13,neocortex,suitable,,no,neocortex,rule,high,0.9567
sgACC,subgenual anterior cingulate cortex,Macaque,PM42362380,16,4,neocortex,suitable,,yes,non_neocortex,flash,high,0.8767
6M,,,PM41542588,15,1,neocortex,suitable,,no,neocortex,rule,high,0.8533
FEF,frontal eye field,Macaque,PM42393312,15,10,neocortex,suitable,,no,neocortex,rule,high,0.9767
left M1,left primary motor cortex,Human,PM35624941,15,7,neocortex,suitable,,no,neocortex,rule,high,1.0
MFG,middle frontal gyrus,Human,PM39103495,15,7,neocortex,suitable,,no,neocortex,rule,high,1.0
posterior insula,posterior insula,Mouse,PM39273133,15,5,neocortex,suitable,,no,neocortex,rule,high,0.8333
RSPd,dorsal retrosplenial cortex,,PM39814996,15,1,neocortex,suitable,,yes,ambiguous,flash,high,0.8933
vlPFC,ventrolateral prefrontal cortex,Macaque,PM35510840,15,7,neocortex,suitable,,no,neocortex,rule,high,1.0
AUD,auditory cortex,Mouse,PM32795386,14,13,neocortex,suitable,,no,neocortex,rule,high,0.9667
AUDp,primary auditory area,Mouse,PM35312957,14,6,neocortex,suitable,,no,neocortex,rule,high,0.9667
SPL,superior parietal lobule,Human,PM41405705,14,6,neocortex,suitable,,no,neocortex,rule,high,0.9767
SSs,secondary somatosensory cortex,Mouse,PM37986757,14,10,neocortex,suitable,,no,neocortex,rule,high,0.9667
VISl,lateral visual cortex,Mouse,PM41345053,14,3,neocortex,suitable,,no,neocortex,rule,high,0.96
CFA,caudal forelimb area,Mouse,PM38551963,13,8,neocortex,suitable,,no,neocortex,rule,high,0.95
Cg,cingulate cortex,Mouse,PM41319286,13,9,neocortex,suitable,,yes,ambiguous,flash,high,0.85
DP,dorsal peduncular cortex,Mouse,PM40204437,13,9,neocortex,suitable,,no,neocortex,rule,high,0.9167
FrA,frontal area,Mouse,PM36944634,13,3,neocortex,suitable,,no,neocortex,rule,high,0.95
pgACC,perigenual anterior cingulate cortex,Macaque,PM42362380,13,3,neocortex,suitable,,yes,non_neocortex,flash,high,0.9
vM1,ventral primary motor cortex,Mouse,PM38712153,13,6,neocortex,suitable,,no,neocortex,rule,high,0.9667
A2,secondary auditory cortex,Mouse,PM33328909,12,6,neocortex,suitable,,no,neocortex,rule,high,0.9667
area 17,area 17,Ferret,PM34611910,12,4,neocortex,suitable,,no,neocortex,rule,high,0.9667
dACC,dorsal anterior cingulate cortex,Human,PM39103495,12,7,neocortex,suitable,,yes,non_neocortex,flash,high,0.9233
infralimbic cortex,infralimbic cortex,Rat,PM41362369,12,8,neocortex,suitable,,no,neocortex,flash,high,0.96
LPFC,lateral prefrontal cortex,Human,PM42239197,12,7,neocortex,suitable,,no,neocortex,rule,high,0.9767
MCX,motor cortex,Rat,PM37094762,12,6,neocortex,suitable,,no,neocortex,rule,high,0.9767
posterior cingulate cortex,posterior cingulate cortex,Human,PM37244076,12,10,neocortex,suitable,,yes,non_neocortex,flash,high,0.9333
V4,visual area 4,Macaque,PM38741760,12,10,neocortex,suitable,,no,neocortex,rule,high,0.9767
VC,visual cortex,Mouse,PM38262418,12,7,neocortex,suitable,,no,neocortex,rule,high,0.9767
AIV,"agranular insular cortex, ventral part",Rat,PM37152205,11,3,neocortex,suitable,,yes,non_neocortex,flash,high,0.8967
area 11,area 11,Human,PM41212268,11,2,neocortex,suitable,,no,neocortex,rule,high,0.96
AudC,auditory cortex,Mouse,PM36824753,11,1,neocortex,suitable,,no,neocortex,rule,high,0.9733
Cing,cingulate cortex,,PM42101519,11,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.9333
IPL,inferior parietal lobule,Mouse,PM41405705,11,7,neocortex,suitable,,no,neocortex,rule,high,0.9667
lOFC,lateral orbitofrontal cortex,Rat,PM41853064,11,4,neocortex,suitable,,no,neocortex,rule,high,0.9667
lS2,left secondary somatosensory cortex,,PM33036334,11,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
primary visual cortex,primary visual cortex,Mouse,PM35687687,11,8,neocortex,suitable,,no,neocortex,rule,high,0.9833
rIFG,right inferior frontal gyrus,Human,PM38666118,11,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
secondary motor cortex,secondary motor cortex,Rat,PM37353897,11,10,neocortex,suitable,,no,neocortex,rule,high,0.9833
superior frontal gyrus,superior frontal gyrus,Human,PM40535582,11,6,neocortex,suitable,,no,neocortex,rule,high,0.9833
V2M,medial secondary visual cortex,Mouse,PM35241493,11,5,neocortex,suitable,,no,neocortex,rule,high,0.9833
VO,ventral orbital cortex,Mouse,PM42107475,11,7,neocortex,suitable,,no,neocortex,rule,high,0.9833
area 3b,primary somatosensory cortex (area 3b),Galago,PM41849378,10,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
area 44,area 44,Macaque,PM35510840,10,4,neocortex,suitable,,no,neocortex,rule,high,0.9833
Au1,primary auditory cortex,Mouse,PM41639097,10,5,neocortex,suitable,,no,neocortex,rule,high,0.9833
contralateral prostriata,prostriata,Mouse,PM33324173,10,1,neocortex,suitable,,yes,non_neocortex,pro,medium,0.9167
F4,,,PM32639229,10,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
IFG,inferior frontal gyrus,Human,PM38666118,10,7,neocortex,suitable,,no,neocortex,rule,high,0.9833
LO,lateral orbitofrontal cortex,Rat,PM42395549,10,8,neocortex,suitable,,no,neocortex,rule,high,0.9833
precentral gyrus,precentral gyrus,Human,PM36900055,10,8,neocortex,suitable,,no,neocortex,rule,high,0.9833
RSg,granular retrosplenial cortex,Mouse,PM34876468,10,6,neocortex,suitable,,yes,non_neocortex,flash,high,0.9467
TeA,temporal association cortex,Mouse,PM40464272,10,8,neocortex,suitable,,no,neocortex,rule,high,0.97
area 8,area 8,Human,PM41947581,9,2,neocortex,suitable,,no,neocortex,rule,high,0.97
AuV,ventral auditory cortex,Mouse,PM40455405,9,7,neocortex,suitable,,no,neocortex,rule,high,0.97
lIns,left insula,,PM33036334,9,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.92
Mctx,motor cortex,,PM41379994,9,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
middle frontal gyrus,middle frontal gyrus,Human,PM40535582,9,7,neocortex,suitable,,no,neocortex,rule,high,0.9833
pars triangularis,,,PM40535582,9,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
posterior parietal cortex,posterior parietal cortex,Human,PM40127934,9,9,neocortex,suitable,,no,neocortex,rule,high,0.9833
PreCG,precentral gyrus,Human,PM32700105,9,4,neocortex,suitable,,no,neocortex,rule,high,0.95
rIns,right insula,,PM33036334,9,1,neocortex,suitable,,yes,ambiguous,flash,high,0.91
sensory cortex,sensory cortex,Human,PM37398221,9,8,neocortex,suitable,,no,neocortex,rule,high,0.95
SSpbfd,barrel field region of primary somatosensory cortex,Mouse,PM36693103,9,1,neocortex,suitable,,no,neocortex,rule,high,0.95
V2L,lateral visual areas,Mouse,PM33522479,9,3,neocortex,suitable,,no,neocortex,rule,high,0.95
angular gyrus,angular gyrus,Human,PM39103495,8,3,neocortex,suitable,,no,neocortex,rule,high,0.9633
anterior cingulate,anterior cingulate cortex,Human,PM40535582,8,6,neocortex,suitable,,yes,non_neocortex,flash,high,0.8733
area 10,area 10,Human,PM41212268,8,2,neocortex,suitable,,no,neocortex,rule,high,0.9633
Cg1,cingulate cortex 1,Mouse,PM39097664,8,8,neocortex,suitable,,no,neocortex,flash,high,0.9
Cg2,Cingulate Cortex Area 2,Mouse,PM36061004,8,7,neocortex,suitable,,no,neocortex,flash,high,0.8967
dorsolateral prefrontal cortex,dorsolateral prefrontal cortex,Human,PM38973167,8,7,neocortex,suitable,,no,neocortex,rule,high,0.98
FOF,frontal orienting fields,Rat,PM39026895,8,2,neocortex,suitable,,no,neocortex,rule,high,0.95
gRSC,granular retrosplenial cortex,Mouse,PM39924777,8,3,neocortex,suitable,,yes,ambiguous,flash,high,0.91
MIP,rostral medial intraparietal area,Macaque,PM38544445,8,4,neocortex,suitable,,no,neocortex,rule,high,0.9833
occipital lobe,occipital lobe,Human,PM39912002,8,5,neocortex,suitable,,no,neocortex,rule,high,0.9833
POrbM,posterolateral orbital medial cortex,,PM42101519,8,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
postcentral gyrus,postcentral gyrus,Human,PM41602988,8,7,neocortex,suitable,,no,neocortex,rule,high,0.9833
S1FL,forelimb region of primary somatosensory cortex,Mouse,PM33836602,8,6,neocortex,suitable,,no,neocortex,rule,high,0.9833
sgCC,subgenual anterior cingulate cortex,Human,PM42326819,8,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.875
A25,medial prefrontal cortex area 25,Marmoset,PM34267273,7,4,neocortex,suitable,,no,neocortex,flash,high,0.93
area 6M,,Marmoset,PM34255833,7,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
barrel cortex,barrel cortex,Mouse,PM35145380,7,5,neocortex,suitable,,no,neocortex,rule,high,0.9767
dPFC,dorsolateral prefrontal cortex,Human,PM36032258,7,6,neocortex,suitable,,no,neocortex,rule,high,0.98
GU,gustatory cortex,Mouse,PM36774552,7,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
HVAs,higher visual areas,Mouse,PM39566501,7,4,neocortex,suitable,,no,neocortex,rule,high,0.95
ILA,infralimbic cortex,Mouse,PM40343331,7,4,neocortex,suitable,,no,neocortex,rule,high,0.95
lITC,,,PM37775310,7,1,neocortex,suitable,,no,neocortex,pro,medium,0.6333
lS1,left primary somatosensory cortex,,PM33036334,7,1,neocortex,suitable,,no,neocortex,rule,high,0.9633
right M1,right primary motor cortex,Human,PM39654423,7,4,neocortex,suitable,,no,neocortex,rule,high,0.9633
sgC,subgenual cingulate cortex,Pig,PM39340562,7,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9
vS1,ventral primary somatosensory cortex,Mouse,PM38926084,7,5,neocortex,suitable,,no,neocortex,rule,high,0.98
wS1,whisker primary somatosensory cortex,Mouse,PM40010627,7,4,neocortex,suitable,,no,neocortex,rule,high,0.98
A32,prelimbic cortex,Marmoset,PM34267273,6,2,neocortex,suitable,,no,neocortex,rule,high,0.9767
A6m,,Marmoset,PM34372593,6,1,neocortex,suitable,,no,neocortex,rule,high,0.8833
ACAd,"anterior cingulate cortex, dorsal",Rat,PM42101519,6,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.95
AID,anterior agranular insular cortex,Mouse,PM37152205,6,3,neocortex,suitable,,yes,non_neocortex,flash,high,0.9233
Area 13,,Human,PM35347401,6,1,neocortex,suitable,,no,neocortex,flash,medium,0.6833
CMA,cortical masticatory area,Mouse,PM33432122,6,3,neocortex,suitable,,no,neocortex,rule,high,0.95
cOFC,central orbitofrontal cortex,Macaque,PM34276282,6,1,neocortex,suitable,,no,neocortex,rule,high,0.95
cS1,contralateral S1,Mouse,PM40068685,6,3,neocortex,suitable,,no,neocortex,rule,high,0.95
dorsal peduncular cortex,dorsal peduncular cortex,Rat,PM37152205,6,4,neocortex,suitable,,no,neocortex,rule,high,0.9
Foxp2-V1 interneurons,Foxp2-V1 interneurons,Mouse,PM38076820,6,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
frontal,medial prefrontal cortex,,PM38402231,6,3,neocortex,suitable,,no,neocortex,rule,high,0.9833
inferior frontal gyrus,inferior frontal gyrus,Human,PM41211046,6,5,neocortex,suitable,,no,neocortex,rule,high,0.9933
lateral sensorimotor cortex,lateral sensorimotor cortex,Mouse,PM39713479,6,4,neocortex,suitable,,no,neocortex,rule,high,0.9833
middle temporal gyrus,middle temporal gyrus,Human,PM40535582,6,4,neocortex,suitable,,no,neocortex,rule,high,0.9767
pars opercularis,,,PM40535582,6,1,neocortex,suitable,,no,neocortex,rule,high,0.95
posterior cingulate,posterior cingulate cortex,Human,PM32562780,6,3,neocortex,suitable,,yes,non_neocortex,flash,high,0.9133
SMG,supramarginal gyrus,Human,PM35263607,6,2,neocortex,suitable,,no,neocortex,rule,high,0.95
temporal neocortex,temporal neocortex,Human,PM33434884,6,1,neocortex,suitable,,no,neocortex,rule,high,1.0
ventromedial prefrontal cortex,ventromedial prefrontal cortex,Human,PM34341471,6,2,neocortex,suitable,,no,neocortex,rule,high,1.0
wM1,whisker primary motor cortex,Mouse,PM33626343,6,5,neocortex,suitable,,no,neocortex,rule,high,1.0
AAF,anterior auditory field,Mouse,PM38528192,5,3,neocortex,suitable,,no,neocortex,rule,high,1.0
ACtx,auditory cortex,Mouse,PM40791381,5,4,neocortex,suitable,,no,neocortex,rule,high,1.0
aRSC,anterior retrosplenial cortex,Rat,PM34737148,5,1,neocortex,suitable,,yes,non_neocortex,flash,high,0.9333
Au,auditory cortex,Mouse,PM40464272,5,4,neocortex,suitable,,no,neocortex,rule,high,0.9667
BC,barrel cortex,Mouse,PM37205722,5,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
cACC,cingulate anterior cortex,Mouse,PM40795854,5,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.925
cingulate,cingulate cortex,Human,PM41405705,5,3,neocortex,suitable,,yes,ambiguous,flash,medium,0.8667
contralateral motor cortex,contralateral motor cortex,Mouse,PM39592428,5,4,neocortex,suitable,,no,neocortex,rule,high,0.9667
contralateral S1,primary somatosensory cortex,Mouse,PM40368888,5,5,neocortex,suitable,,no,neocortex,rule,high,0.9667
contralesional somatosensory cortex,contralesional somatosensory cortex,,PM35551446,5,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
dorsal premotor cortex,dorsal premotor cortex,Human,PM41554725,5,5,neocortex,suitable,,no,neocortex,rule,high,0.9633
dorsolateral cortex,dorsolateral cortex,Mouse,PM33350438,5,2,neocortex,suitable,,no,neocortex,rule,high,0.8667
dPCC,dorsal posterior cingulate cortex,,PM36155245,5,1,neocortex,suitable,,no,neocortex,flash,high,0.9167
dRSC,dysgranular retrosplenial cortex,,PM39924777,5,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9067
F5a,,,PM41405705,5,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
frontal pole,frontal pole,Human,PM37188633,5,4,neocortex,suitable,,no,neocortex,rule,high,0.9767
HVA,higher visual areas,Mouse,PM41279517,5,4,neocortex,suitable,,no,neocortex,rule,high,0.9733
iM1,ipsilateral M1,Mouse,PM36471512,5,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
inferior temporal gyrus,inferior temporal gyrus,,PM40535582,5,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
ipsilateral insular cortex,,,PM32528401,5,1,neocortex,suitable,,no,neocortex,flash,high,0.8833
lateral OFC,lateral orbitofrontal cortex,Rat,PM42395549,5,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
lM1,left primary motor cortex,Human,PM40946271,5,2,neocortex,suitable,,no,neocortex,rule,high,0.9667
M1 leg,primary motor cortex leg region,,PM34624846,5,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
M1 shoulder area,primary motor cortex shoulder area,,PM34624846,5,1,neocortex,suitable,,no,neocortex,rule,high,0.9833
M3,primary motor cortex,Macaque,PM33558867,5,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
MFC,medial prefrontal cortex,Mouse,PM40204437,5,2,neocortex,suitable,,no,neocortex,rule,high,0.9833
MST,medial superior temporal area,Primate,PM39813398,5,4,neocortex,suitable,,no,neocortex,rule,high,0.95
Occipital,Occipital cortex,Human,PM36661404,5,2,neocortex,suitable,,no,neocortex,rule,high,0.95
ORBvl,ventrolateral orbitofrontal cortex,Mouse,PM38802410,5,2,neocortex,suitable,,no,neocortex,rule,high,0.96
parietal,superior parietal lobule,,PM38402231,5,2,neocortex,suitable,,no,neocortex,rule,high,0.95
parietal lobe,parietal lobe,Human,PM41354955,5,5,neocortex,suitable,,no,neocortex,rule,high,0.96
POrbVL,ventrolateral orbital cortex,,PM42101519,5,1,neocortex,suitable,,no,neocortex,rule,high,0.96
posterior insular cortex,posterior insular cortex,,PM39273133,5,1,neocortex,suitable,,no,neocortex,rule,high,0.8267
premotor areas,premotor areas,Human,PM41405705,5,2,neocortex,suitable,,no,neocortex,rule,high,0.9633
rACC,rostral anterior cingulate cortex,Mouse,PM36062147,5,3,neocortex,suitable,,no,neocortex,flash,high,0.95
right middle frontal gyrus,right middle frontal gyrus,Human,PM41886010,5,4,neocortex,suitable,,no,neocortex,rule,high,0.99
RL,rostrolateral area,Mouse,PM35082302,5,4,neocortex,suitable,,no,neocortex,flash,high,0.84
RS,retrosplenial,Rat,PM34795559,5,4,neocortex,suitable,,yes,non_neocortex,flash,high,0.9467
rS2,right secondary somatosensory cortex,,PM33036334,5,1,neocortex,suitable,,no,neocortex,rule,high,0.99
RSPv,retrosplenial cortex ventral,,PM39814996,5,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9333
secondary somatosensory cortex,secondary somatosensory cortex,Mouse,PM37034798,5,5,neocortex,suitable,,no,neocortex,rule,high,0.9967
somatosensory areas,somatosensory areas,Mouse,PM40119176,5,3,neocortex,suitable,,no,neocortex,rule,high,0.9967
superior occipital gyrus,superior occipital gyrus,,PM36542188,5,1,neocortex,suitable,,no,neocortex,rule,high,0.9967
supplementary motor area,supplementary motor area,Human,PM41602988,5,5,neocortex,suitable,,no,neocortex,rule,high,0.9967
TP,temporal pole,,PM37100843,5,2,neocortex,suitable,,no,neocortex,rule,high,0.8767
ventral premotor cortex,ventral premotor cortex,Human,PM41314273,5,5,neocortex,suitable,,no,neocortex,rule,high,0.9733
VIS,visual cortex,Mouse,PM35687689,5,4,neocortex,suitable,,no,neocortex,rule,high,0.9733
VLO,ventrolateral orbitofrontal cortex,Mouse,PM40707921,5,2,neocortex,suitable,,no,neocortex,rule,high,0.9333
vlOFC,ventrolateral orbitofrontal cortex,Mouse,PM41207892,5,3,neocortex,suitable,,no,neocortex,rule,high,0.9333
8B,,,PM41542588,4,1,neocortex,suitable,,no,neocortex,rule,high,0.8833
9M or 8B,,,PM41542588,4,1,neocortex,suitable,,no,neocortex,rule,high,0.8667
anterior DI,anterior dysgranular insula,,PM37152205,4,1,neocortex,suitable,,no,neocortex,flash,high,0.8867
area 1,area 1,Macaque,PM38993679,4,1,neocortex,suitable,,no,neocortex,rule,high,0.9667
Area 14,,Human,PM35347401,4,1,neocortex,suitable,,no,neocortex,flash,medium,0.735
area 21a,cortical area 21a,Ferret,PM34938163,4,3,neocortex,suitable,,no,neocortex,rule,high,0.9667
contralesional motor cortex,contralesional motor cortex,Rat,PM41043679,4,4,neocortex,suitable,,no,neocortex,rule,high,0.95
dmIns,dorsomedial insula,Human,PM41131362,4,1,neocortex,suitable,,no,neocortex,flash,high,0.8533
EVA,early visual areas,Human,PM41279862,4,1,neocortex,suitable,,no,neocortex,rule,high,0.95
extrastriate cortex,extrastriate cortex,Macaque,PM34147628,4,3,neocortex,suitable,,no,neocortex,rule,high,0.9633
FLS1,forelimb primary somatosensory cortex,Mouse,PM40415372,4,1,neocortex,suitable,,no,neocortex,rule,high,0.98
granular retrosplenial cortex,granular retrosplenial cortex,Rat,PM34301721,4,2,neocortex,suitable,,yes,non_neocortex,flash,high,0.9333
