structure_name,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Olfactory bulb,1,HOMBA:10307,olfactory bulb,OB,olfactory bulb,OB,HOMBA:10306,359,359,1.0,bm25+exact+fuzzy,Olfactory bulb,Olfactory bulb,high_confidence,,1.0,,both
Pituitary gland,1,HOMBA:10505,pituitary body/gland (hypophysis),Pit,pituitary body,Pit,HOMBA:AA30338,944,867,1.0,bm25+exact+fuzzy+hierarchy_parent,Pituitary gland,Pituitary gland,high_confidence,,1.0,common_parent_of_2_candidates,both
Pons,1,HOMBA:10661,pons,Pn,pons,Pn,HOMBA:10655,1170,1102,1.0,bm25+exact+fuzzy,Pons,Pons,high_confidence,,1.0,,both
Medulla oblongata,1,HOMBA:10662,myelencephalon (medulla oblongata),Mo,myelencephalon (medulla oblongata),Mo,HOMBA:AA30377,1318,1101,1.0,bm25+exact+fuzzy+hierarchy_parent,Medulla oblongata,Medulla oblongata,high_confidence,,1.0,common_parent_of_2_candidates,both
Lateral geniculate nucleus,1,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),LG,lateral geniculate nucleus,LG,HOMBA:AA30295,766,766,1.0,bm25+exact+fuzzy,Lateral geniculate nucleus,Lateral geniculate nucleus,high_confidence,lateral,1.0,,both
Medial geniculate nucleus,1,HOMBA:10434,medial geniculate nucleus,MG,medial geniculate nuclei,MG,HOMBA:AA30307,789,789,1.0,bm25+exact+fuzzy,Medial geniculate nucleus,Medial geniculate nucleus,high_confidence,medial,1.0,,both
Ventral tegmental area,1,HOMBA:12261,ventral tegmental area,VTA,ventral tegmental area,VTA,HOMBA:146034938,1053,1053,1.0,bm25+exact+fuzzy,Ventral tegmental area,Ventral tegmental area,high_confidence,ventral,1.0,,both
Periaqueductal gray,1,HOMBA:AA30359,periaqueductal gray region,PAGR,,,HOMBA:12195,998,986,0.94,bm25+fuzzy,Periaqueductal gray,periaqueductal gray region,high_confidence,,1.0,,both
Claustrum,1,HOMBA:10346,claustrum,Cla,claustrum,Cla,HOMBA:AA30263,669,669,1.0,bm25+exact+fuzzy+hierarchy_parent,Claustrum,Claustrum,high_confidence,,1.0,common_parent_of_4_candidates,both
Insula,1,HOMBA:12176,insular lobe,InL,insular lobe,InL,HOMBA:12112,2001,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Insula,Insula,high_confidence,,1.0,common_parent_of_2_candidates,both
Cingulate gyrus,1,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,1.0,bm25+exact+fuzzy+hierarchy_parent,Cingulate gyrus,Cingulate gyrus,high_confidence,,1.0,common_parent_of_5_candidates,both
Precentral gyrus,1,HOMBA:12114,precentral gyrus,PrCG,precentral gyrus,PrCG,HOMBA:12113,1912,1912,1.0,bm25+exact+fuzzy,Precentral gyrus,Precentral gyrus,high_confidence,,1.0,,both
Postcentral gyrus,1,HOMBA:12132,postcentral gyrus,PoCG,postcentral gyrus,PoCG,HOMBA:12113,1929,1912,1.0,bm25+exact+fuzzy,Postcentral gyrus,Postcentral gyrus,high_confidence,,1.0,,both
Superior temporal gyrus,1,HOMBA:12140,superior temporal gyrus,STG,superior temporal gyrus,STG,HOMBA:12139,1960,1960,1.0,bm25+exact+fuzzy,Superior temporal gyrus,Superior temporal gyrus,high_confidence,,1.0,,both
Inferior temporal gyrus,1,HOMBA:12142,inferior temporal gyrus,ITG,inferior temporal gyrus,ITG,HOMBA:12139,1962,1960,1.0,bm25+exact+fuzzy,Inferior temporal gyrus,Inferior temporal gyrus,high_confidence,,1.0,,both
Middle frontal gyrus,1,HOMBA:12116,middle frontal gyrus,MFG,middle frontal gyrus,MFG,HOMBA:12113,1914,1912,1.0,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,high_confidence,,1.0,,both
Pulvinar nucleus,1,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Inferior olivary nucleus,1,HOMBA:12600,inferior olive,IO,inferior olive,IO,HOMBA:12595,1403,1399,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior olivary nucleus,Inferior olivary nucleus,high_confidence,,1.0,common_parent_of_7_candidates,both
Superior olivary nucleus,1,HOMBA:12468,superior olivary nucleus,SON,superior olivary nucleus,SOI,HOMBA:12462,1270,1266,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior olivary nucleus,Superior olivary nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Trochlear nucleus,1,HOMBA:12206,trochlear nucleus,4N,trochlear nucleus,4N,HOMBA:12196,997,987,1.0,bm25+exact+fuzzy,Trochlear nucleus,Trochlear nucleus,high_confidence,,1.0,,both
