structure_name,expected_homba_id,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Right amygdala,,laterality,should_match_amygdala,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.778017,bm25+fuzzy+hierarchy_parent,amygdaloid complex,regions of amygdaloid complex,needs_review,,1.0,common_parent_of_6_candidates,both
Right amygdala,,laterality,should_match_amygdala,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.770833,bm25+fuzzy+hierarchy_parent,amygdaloid complex,extended amygdaloid complex,needs_review,,1.0,common_parent_of_2_candidates,both
Amygdaloid complex,,synonym,should_match_amygdaloid_complex_HOMBA,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdaloid complex,Amygdaloid complex,high_confidence,,1.0,,both
Amygdaloid complex,,synonym,should_match_amygdaloid_complex_HOMBA,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.903017,bm25+fuzzy+hierarchy_parent,Amygdaloid complex,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Amygdaloid complex,,synonym,should_match_amygdaloid_complex_HOMBA,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.854167,bm25+fuzzy+hierarchy_parent,Amygdaloid complex,extended amygdaloid complex,needs_review,,1.0,common_parent_of_2_candidates,both
amygdala,,synonym,should_match_amygdaloid_complex_via_alias,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,amygdala,amygdala,high_confidence,,1.0,,both
amygdala,,synonym,should_match_amygdaloid_complex_via_alias,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.903017,bm25+fuzzy+hierarchy_parent,amygdaloid complex,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
amygdala,,synonym,should_match_amygdaloid_complex_via_alias,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.8125,bm25+fuzzy+hierarchy_parent,amygdaloid complex,extended amygdaloid complex,needs_review,,1.0,common_parent_of_2_candidates,both
Dentate gyrus,,gyrus_name,,1,HOMBA:10295,dentate gyrus,DG,dentate area (dentate gyrus),DG,HOMBA:AA30093,345,311,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate gyrus,Dentate gyrus,high_confidence,,1.0,common_parent_of_2_candidates,both
Dentate gyrus,,gyrus_name,,2,HOMBA:AA30115,major division of dentate gyrus,DGmj,,,HOMBA:10295,349,346,0.898452,bm25+fuzzy+hierarchy_parent,Dentate gyrus,major division of dentate gyrus,needs_review,,1.0,common_parent_of_2_candidates,both
Dentate gyrus,,gyrus_name,,3,HOMBA:11265,body part of DG,DGb,rostral dentate gyrus,DGR,HOMBA:AA30115,351,350,0.818452,bm25+fuzzy,Dentate gyrus,rostral dentate gyrus,needs_review,,1.0,,both
Entorhinal cortex,,cortex_name,,1,HOMBA:10317,entorhinal cortex,ERC,entorhinal cortex,EC,HOMBA:10314,276,276,1.0,bm25+exact+fuzzy+hierarchy_parent,Entorhinal cortex,Entorhinal cortex,high_confidence,,1.0,common_parent_of_3_candidates,both
Entorhinal cortex,,cortex_name,,2,HOMBA:AA30126,lamination of entorhinal cortex,ERCl,,,HOMBA:AA30125,374,374,0.765457,bm25+fuzzy,Entorhinal cortex,lamination of entorhinal cortex,needs_review,,1.0,,both
Entorhinal cortex,,cortex_name,,3,HOMBA:11381,rostral division of entorhinal cortex,ER,rostral part of entorhinal cortex,ER,HOMBA:10318,279,278,0.74053,bm25+fuzzy,Entorhinal cortex,rostral part of entorhinal cortex,needs_review,,1.0,,both
Parahippocampal gyrus,,gyrus_name,,1,HOMBA:12162,parahippocampal gyrus,PHG,parahippocampal gyrus,PHG,HOMBA:12139,1980,1960,1.0,bm25+exact+fuzzy+hierarchy_parent,Parahippocampal gyrus,Parahippocampal gyrus,high_confidence,,1.0,common_parent_of_3_candidates,both
Parahippocampal gyrus,,gyrus_name,,2,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.856667,bm25+fuzzy+hierarchy_parent,Parahippocampal gyrus,uncus of parahippocampal gyrus,needs_review,,1.0,common_parent_of_2_candidates,both
Parahippocampal gyrus,,gyrus_name,,3,HOMBA:12170,hippocampal formation,HiF,hippocampal gyrus (formation),HiF,HOMBA:AA30085,274,274,0.773333,bm25+fuzzy,Parahippocampal gyrus,hippocampal gyrus,needs_review,,1.0,,both
Fusiform gyrus,,gyrus_name,,1,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,FuG,,,HOMBA:12139,1963,1960,1.0,bm25+exact+fuzzy,Fusiform gyrus,Fusiform gyrus,high_confidence,,1.0,,both
Fusiform gyrus,,gyrus_name,,2,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.581251,bm25+fuzzy,Fusiform gyrus,gyrus,low_confidence,,1.0,,both
Fusiform gyrus,,gyrus_name,,3,HOMBA:12137,precuneaus (gyrus),PrCun,precuneus,PrCun,HOMBA:12131,1950,1946,0.581251,bm25+fuzzy,Fusiform gyrus,gyrus,low_confidence,,1.0,,both
Angular gyrus,,gyrus_name,,1,HOMBA:12136,angular gyrus,AnG,angular gyrus,AnG,HOMBA:12134,1949,1948,1.0,bm25+exact+fuzzy,Angular gyrus,Angular gyrus,high_confidence,,1.0,,both
Angular gyrus,,gyrus_name,,2,HOMBA:12134,inferior parietal lobule (gyrus),IPL,inferior parietal lobule,IPL,HOMBA:12131,1947,1946,0.8342,bm25+fuzzy+hierarchy_parent,Angular gyrus,inferior parietal lobule (gyrus),needs_review,,1.0,common_parent_of_2_candidates,both
Angular gyrus,,gyrus_name,,3,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.600962,bm25+fuzzy,Angular gyrus,gyrus,needs_review,,1.0,,both
Supramarginal gyrus,,gyrus_name,,1,HOMBA:12135,supramarginal gyrus,SMG,supramarginal gyrus,SMG,HOMBA:12134,1948,1948,1.0,bm25+exact+fuzzy,Supramarginal gyrus,Supramarginal gyrus,high_confidence,,1.0,,both
Supramarginal gyrus,,gyrus_name,,2,HOMBA:12134,inferior parietal lobule (gyrus),IPL,inferior parietal lobule,IPL,HOMBA:12131,1947,1946,0.8342,bm25+fuzzy+hierarchy_parent,Supramarginal gyrus,inferior parietal lobule (gyrus),needs_review,,1.0,common_parent_of_2_candidates,both
Supramarginal gyrus,,gyrus_name,,3,HOMBA:AA30556,marginal gyrus,MrG,,,HOMBA:12148,1997,1991,0.773333,bm25+fuzzy,Supramarginal gyrus,marginal gyrus,needs_review,,1.0,,both
Precuneus,,lobe_structure,,1,HOMBA:12137,precuneaus (gyrus),PrCun,precuneus,PrCun,HOMBA:12131,1950,1946,1.0,bm25+exact+fuzzy,Precuneus,Precuneus,high_confidence,,1.0,,both
Cuneus,,lobe_structure,,1,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,1.0,bm25+exact+fuzzy,Cuneus,Cuneus,high_confidence,,1.0,,both
Lingual gyrus,,gyrus_name,,1,HOMBA:12151,lingual gyrus,LiG,lingual gyrus,LiG,HOMBA:12148,1993,1991,1.0,bm25+exact+fuzzy,Lingual gyrus,Lingual gyrus,high_confidence,,1.0,,both
Lingual gyrus,,gyrus_name,,2,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.600962,bm25+fuzzy,Lingual gyrus,gyrus,needs_review,,1.0,,both
Lingual gyrus,,gyrus_name,,3,HOMBA:12137,precuneaus (gyrus),PrCun,precuneus,PrCun,HOMBA:12131,1950,1946,0.600962,bm25+fuzzy,Lingual gyrus,gyrus,needs_review,,1.0,,both
Basal ganglia,,collective_term,,1,HOMBA:10332,basal ganglia (basal nuclei),BG,basal nuclei (basal ganglia),BN,HOMBA:10331,451,451,1.0,bm25+exact+fuzzy+hierarchy_parent,Basal ganglia,Basal ganglia,high_confidence,,1.0,common_parent_of_2_candidates,both
Basal ganglia,,collective_term,,2,HOMBA:AA30190,regions of basal ganglia,BGR,,,HOMBA:10332,452,452,0.84375,bm25+fuzzy,Basal ganglia,regions of basal ganglia,needs_review,,1.0,,both
Basal ganglia,,collective_term,,3,HOMBA:AA30208,developing transient structures of basal ganglia,BGDe,,,HOMBA:10332,522,452,0.546534,bm25+fuzzy,Basal ganglia,developing transient structures of basal ganglia,low_confidence,,1.0,,both
Limbic system,,collective_term,,1,HOMBA:10154,central nervous system (neural tube),CNS,neural tube,NT,,0,0,0.235306,bm25,Limbic system,central nervous system,low_confidence,,1.0,,both
Limbic system,,collective_term,,2,HOMBA:AA30775,peripheral nervous system (neural crest),PNS,,,,2341,0,0.235306,bm25,Limbic system,peripheral nervous system,low_confidence,,1.0,,both
Limbic system,,collective_term,,3,HOMBA:AA30788,spinal artery system,SPA,,,HOMBA:AA30787,2336,2336,0.235306,bm25,Limbic system,spinal artery system,low_confidence,,1.0,,both
Brainstem,,collective_term,,1,HOMBA:10648,"gray matter of midbrain (mesencephalon, upper brainstem)",M,midbrain (mesencephalon),M,HOMBA:AA30000,950,3,0.7625,bm25+fuzzy,Brainstem,upper brainstem,needs_review,,1.0,,both
Brainstem,,collective_term,,2,HOMBA:AA30472,transient layers of lower brainstem,TLLBS,,,HOMBA:AA30470,1505,1484,0.561569,bm25+fuzzy+hierarchy_parent,Brainstem,transient layers of lower brainstem,low_confidence,,1.0,common_parent_of_3_candidates,both
Brainstem,,collective_term,,3,HOMBA:AA30470,developing transient structures of lower brainstem (pons and medulla),LBSDe,,,HOMBA:AA30462,1483,1454,0.549515,bm25+hierarchy_parent,Brainstem,developing transient structures of lower brainstem (pons and medulla),low_confidence,,1.0,common_parent_of_2_candidates,both
Cerebral cortex,,collective_term,,1,HOMBA:10159,cerebral cortex,Cx,cerebral cortex,Cx,HOMBA:10158,5,5,1.0,bm25+exact+fuzzy,Cerebral cortex,Cerebral cortex,high_confidence,,1.0,,both
Cerebral cortex,,collective_term,,2,HOMBA:10610,cerebral sulci,ces,cerebral sulci,CeS,HOMBA:10609,1825,1825,0.551071,bm25+fuzzy,Cerebral cortex,cerebral sulci,low_confidence,,1.0,,both
Cerebral cortex,,collective_term,,3,HOMBA:10657,cerebellar cortex,CBC,cerebellar cortex,CBC,HOMBA:10656,1103,1103,0.54792,bm25+fuzzy+hierarchy_parent,Cerebral cortex,cerebellar cortex,low_confidence,,1.0,common_parent_of_2_candidates,both
Medial temporal lobe,,compound_term,,1,HOMBA:12139,temporal lobe,TemL,temporal lobe,TemL,HOMBA:12112,1959,1911,0.740667,bm25+fuzzy,Medial temporal lobe,temporal lobe,needs_review,medial,0.0,,both
Medial temporal lobe,,compound_term,,2,HOMBA:AA30021,medial superior temporal area,MST,,,HOMBA:13322,140,126,0.704561,bm25+fuzzy,Medial temporal lobe,medial superior temporal area,needs_review,medial,1.0,,both
Medial temporal lobe,,compound_term,,3,HOMBA:10261,"medial temporal-occipital cortex (area TFO, area 37m)",TFO,medial temporal-occipital cortex (area TFO),TFO,HOMBA:AA30846,168,157,0.687261,bm25+fuzzy,Medial temporal lobe,medial temporal-occipital cortex,needs_review,medial,1.0,,both
Dorsolateral prefrontal cortex,,compound_term,,1,HOMBA:10173,dorsolateral prefrontal cortex,DFC,dorsolateral prefrontal cortex,DFC,HOMBA:10172,14,10,1.0,bm25+exact+fuzzy,Dorsolateral prefrontal cortex,Dorsolateral prefrontal cortex,high_confidence,,1.0,,both
Dorsolateral prefrontal cortex,,compound_term,,2,HOMBA:10172,prefrontal cortex,PFC,prefrontal cortex,PFC,HOMBA:10161,9,9,0.97,bm25+fuzzy+hierarchy_parent,Dorsolateral prefrontal cortex,prefrontal cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Dorsolateral prefrontal cortex,,compound_term,,3,HOMBA:10161,frontal cortex,FCx,frontal neocortex,FCx,HOMBA:AA30001,8,8,0.738883,bm25+hierarchy_parent,Dorsolateral prefrontal cortex,frontal cortex,needs_review,,1.0,common_parent_of_2_candidates,both
Ventromedial prefrontal cortex,,compound_term,,1,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),ACC,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,HOMBA:10277,212,206,1.0,bm25+exact+fuzzy,Ventromedial prefrontal cortex,Ventromedial prefrontal cortex,high_confidence,,1.0,,both
Ventromedial prefrontal cortex,,compound_term,,2,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,0.97,hierarchy_parent,Ventromedial prefrontal cortex,cingulate cortex,high_confidence,,1.0,common_parent_of_4_candidates,both
Ventromedial prefrontal cortex,,compound_term,,3,HOMBA:10172,prefrontal cortex,PFC,prefrontal cortex,PFC,HOMBA:10161,9,9,0.779167,bm25+fuzzy+hierarchy_parent,Ventromedial prefrontal cortex,prefrontal cortex,needs_review,,1.0,common_parent_of_2_candidates,both
Primary motor cortex,,functional_name,,1,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",M1,"primary motor cortex (area M1, area 4)",M1C,HOMBA:AA30009,59,59,1.0,bm25+exact+fuzzy,Primary motor cortex,Primary motor cortex,high_confidence,,1.0,,both
Primary motor cortex,,functional_name,,2,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),MoC,,,HOMBA:10161,58,9,0.8342,bm25+fuzzy+hierarchy_parent,Primary motor cortex,frontal motor cortex (posterior frontal cortex),needs_review,,1.0,common_parent_of_2_candidates,both
Primary motor cortex,,functional_name,,3,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",A6,premotor cortex (area 6),PMC,HOMBA:AA30009,65,59,0.642246,bm25+fuzzy,Primary motor cortex,secondary motor cortex,needs_review,,1.0,,both
Primary somatosensory cortex,,functional_name,,1,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",S1,"primary somatosensory cortex (area S1, areas 3,1,2)",S1C,HOMBA:10208,73,73,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary somatosensory cortex,Primary somatosensory cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Primary somatosensory cortex,,functional_name,,2,HOMBA:AA30811,subareas of primary somatosensory cortex,S1sa,,,HOMBA:10209,74,74,0.9575,bm25+fuzzy+hierarchy_parent,Primary somatosensory cortex,subareas of primary somatosensory cortex,high_confidence,,1.0,common_parent_of_3_candidates,both
Primary somatosensory cortex,,functional_name,,3,HOMBA:AA30014,area 1 of primary somatosensory cortex,S1A1,,,HOMBA:AA30811,78,75,0.8775,bm25+fuzzy,Primary somatosensory cortex,area 1 of primary somatosensory cortex,needs_review,,1.0,,both
Primary visual cortex,,functional_name,,1,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",V1,"primary visual cortex (striate cortex, area V1/17)",V1C,HOMBA:10268,176,173,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary visual cortex,Primary visual cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Primary visual cortex,,functional_name,,2,HOMBA:AA30822,dorsolateral extrastriate occipital cortex,ESdl,,,HOMBA:10270,180,180,0.695577,hierarchy_parent,Primary visual cortex,dorsolateral extrastriate occipital cortex,needs_review,,1.0,common_parent_of_6_candidates,both
Primary visual cortex,,functional_name,,3,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),MoC,,,HOMBA:10161,58,9,0.690543,hierarchy_parent,Primary visual cortex,frontal motor cortex (posterior frontal cortex),needs_review,,1.0,common_parent_of_2_candidates,both
Primary auditory cortex,,functional_name,,1,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",Au1,primary auditory cortex (core),A1C,HOMBA:13322,126,126,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary auditory cortex,Primary auditory cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Primary auditory cortex,,functional_name,,2,HOMBA:13322,dorsolateral temporal cortex,DLTC,dorsolateral temporal neocortex,DLTC,HOMBA:10235,125,125,0.97,hierarchy_parent,Primary auditory cortex,dorsolateral temporal cortex,high_confidence,,1.0,common_parent_of_3_candidates,both
Primary auditory cortex,,functional_name,,3,HOMBA:10237,"main portion of primary auditory cortex (area TC, area 41)",A41,"main portion of A1C (area TC, area 41)",A41,HOMBA:10236,127,127,0.779808,bm25+fuzzy,Primary auditory cortex,main portion of primary auditory cortex,needs_review,,1.0,,both
Broca area,,eponym,,1,HOMBA:10185,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),VFC,ventrolateral prefrontal cortex,VFC,HOMBA:10172,28,10,0.451765,bm25+fuzzy,brocas area,Broca's area in dominant hemisphere,low_confidence,,1.0,,both
Wernicke area,,eponym,,1,HOMBA:12145,planum temporale,PLT,planum temporale,PLT,HOMBA:12139,1965,1960,1.0,bm25+exact+fuzzy,Wernicke area,Wernicke area,high_confidence,,1.0,,both
Wernicke area,,eponym,,2,HOMBA:12147,planum polare,PLP,planum polare,PLP,HOMBA:12139,1967,1960,0.492297,bm25+fuzzy,planum temporale,planum polare,low_confidence,,1.0,,both
Substantia nigra pars compacta,,compound_modifier,,1,HOMBA:12252,"substantia nigra, compact division",SNC,"substantia nigra, compact part",SNC,HOMBA:12251,1044,1044,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra pars compacta,Substantia nigra pars compacta,high_confidence,,1.0,common_parent_of_3_candidates,both
Substantia nigra pars compacta,,compound_modifier,,2,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,0.97,bm25+fuzzy+hierarchy_parent,Substantia nigra pars compacta,substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Substantia nigra pars compacta,,compound_modifier,,3,HOMBA:12253,"substantia nigra, compact division, dorsal subdivision",SNCd,"substantia nigra, compact part, dorsal subdivision",SNCd,HOMBA:12252,1045,1045,0.742577,bm25+fuzzy,substantia nigra compact division,"substantia nigra, compact division, dorsal subdivision",needs_review,,1.0,,both
