structure_name,expected_homba_id,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Fusiform gyrus,,gyrus_name,,3,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.584061,bm25+fuzzy,Fusiform gyrus,gyrus,low_confidence,,1.0,,both
Angular gyrus,,gyrus_name,,1,HOMBA:12136,angular gyrus,AnG,angular gyrus,AnG,HOMBA:12134,1949,1948,1.0,bm25+exact+fuzzy,Angular gyrus,Angular gyrus,high_confidence,,1.0,,both
Angular gyrus,,gyrus_name,,2,HOMBA:12134,inferior parietal lobule (gyrus),IPL,inferior parietal lobule,IPL,HOMBA:12131,1947,1946,0.8342,bm25+fuzzy+hierarchy_parent,Angular gyrus,inferior parietal lobule (gyrus),needs_review,,1.0,common_parent_of_2_candidates,both
Angular gyrus,,gyrus_name,,3,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.629799,hierarchy_parent,Angular gyrus,uncus of (para)hippocampal gyrus,needs_review,,1.0,common_parent_of_2_candidates,both
Supramarginal gyrus,,gyrus_name,,1,HOMBA:12135,supramarginal gyrus,SMG,supramarginal gyrus,SMG,HOMBA:12134,1948,1948,1.0,bm25+exact+fuzzy,Supramarginal gyrus,Supramarginal gyrus,high_confidence,,1.0,,both
Supramarginal gyrus,,gyrus_name,,2,HOMBA:12134,inferior parietal lobule (gyrus),IPL,inferior parietal lobule,IPL,HOMBA:12131,1947,1946,0.8342,bm25+fuzzy+hierarchy_parent,Supramarginal gyrus,inferior parietal lobule (gyrus),needs_review,,1.0,common_parent_of_2_candidates,both
Supramarginal gyrus,,gyrus_name,,3,HOMBA:AA30556,marginal gyrus,MrG,,,HOMBA:12148,1997,1991,0.773333,bm25+fuzzy,Supramarginal gyrus,marginal gyrus,needs_review,,1.0,,both
Precuneus,,lobe_structure,,1,HOMBA:12137,precuneaus (gyrus),PrCun,precuneus,PrCun,HOMBA:12131,1950,1946,0.86,bm25+exact+fuzzy,Precuneus,Precuneus,needs_review,,1.0,,both
Cuneus,,lobe_structure,,1,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.86,bm25+exact+fuzzy,Cuneus,Cuneus,needs_review,,1.0,,both
Lingual gyrus,,gyrus_name,,1,HOMBA:12151,lingual gyrus,LiG,lingual gyrus,LiG,HOMBA:12148,1993,1991,1.0,bm25+exact+fuzzy,Lingual gyrus,Lingual gyrus,high_confidence,,1.0,,both
Lingual gyrus,,gyrus_name,,2,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.629799,bm25+hierarchy_parent,Lingual gyrus,uncus of (para)hippocampal gyrus,needs_review,,1.0,common_parent_of_2_candidates,both
Lingual gyrus,,gyrus_name,,3,HOMBA:12150,cuneus (gyrus),Cun,cuneus,Cun,HOMBA:12148,1992,1991,0.600962,bm25+fuzzy,Lingual gyrus,gyrus,needs_review,,1.0,,both
Basal ganglia,,collective_term,,1,HOMBA:10332,basal ganglia (basal nuclei),BG,basal nuclei (basal ganglia),BN,HOMBA:10331,451,451,0.86,bm25+exact+fuzzy+hierarchy_parent,Basal ganglia,Basal ganglia,needs_review,,1.0,common_parent_of_2_candidates,both
Basal ganglia,,collective_term,,2,HOMBA:AA30190,regions of basal ganglia,BGR,,,HOMBA:10332,452,452,0.84375,bm25+fuzzy,Basal ganglia,regions of basal ganglia,needs_review,,1.0,,both
Basal ganglia,,collective_term,,3,HOMBA:10349,basal forebrain,BF,basal forebrain,BF,HOMBA:10331,535,451,0.659922,bm25+hierarchy_parent,Basal ganglia,basal forebrain,needs_review,,1.0,common_parent_of_2_candidates,both
Limbic system,,collective_term,,1,HOMBA:10154,central nervous system (neural tube),CNS,neural tube,NT,,0,0,0.233497,bm25,Limbic system,central nervous system,low_confidence,,1.0,,both
Limbic system,,collective_term,,2,HOMBA:AA30775,peripheral nervous system (neural crest),PNS,,,,2341,0,0.233497,bm25,Limbic system,peripheral nervous system,low_confidence,,1.0,,both
Limbic system,,collective_term,,3,HOMBA:AA30788,spinal artery system,SPA,,,HOMBA:AA30787,2336,2336,0.233497,bm25,Limbic system,spinal artery system,low_confidence,,1.0,,both
Brainstem,,collective_term,,1,HOMBA:10648,"gray matter of midbrain (mesencephalon, upper brainstem)",M,midbrain (mesencephalon),M,HOMBA:AA30000,950,3,0.7625,bm25+fuzzy,Brainstem,upper brainstem,needs_review,,1.0,,both
Brainstem,,collective_term,,2,HOMBA:AA30470,developing transient structures of lower brainstem (pons and medulla),LBSDe,,,HOMBA:AA30462,1483,1454,0.71186,bm25+hierarchy_parent,Brainstem,developing transient structures of lower brainstem (pons and medulla),needs_review,,1.0,common_parent_of_2_candidates,both
Brainstem,,collective_term,,3,HOMBA:AA30472,transient layers of lower brainstem,TLLBS,,,HOMBA:AA30470,1505,1484,0.63186,bm25+fuzzy+hierarchy_parent,Brainstem,transient layers of lower brainstem,needs_review,,1.0,common_parent_of_3_candidates,both
Cerebral cortex,,collective_term,,1,HOMBA:10159,cerebral cortex,Cx,cerebral cortex,Cx,HOMBA:10158,5,5,1.0,bm25+exact+fuzzy,Cerebral cortex,Cerebral cortex,high_confidence,,1.0,,both
Cerebral cortex,,collective_term,,2,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,0.598458,bm25+hierarchy_parent,Cerebral cortex,cingulate cortex,low_confidence,,1.0,common_parent_of_4_candidates,both
Cerebral cortex,,collective_term,,3,HOMBA:10208,parietal cortex,PCx,parietal neocortex,PCx,HOMBA:AA30001,72,8,0.582713,bm25+fuzzy+hierarchy_parent,Cerebral cortex,parietal cortex,low_confidence,,1.0,common_parent_of_3_candidates,both
Medial temporal lobe,,compound_term,,1,HOMBA:12139,temporal lobe,TemL,temporal lobe,TemL,HOMBA:12112,1959,1911,0.740667,bm25+fuzzy,Medial temporal lobe,temporal lobe,needs_review,medial,0.0,,both
Medial temporal lobe,,compound_term,,2,HOMBA:AA30021,medial superior temporal area,MST,,,HOMBA:13322,140,126,0.704656,bm25+fuzzy,Medial temporal lobe,medial superior temporal area,needs_review,medial,1.0,,both
Medial temporal lobe,,compound_term,,3,HOMBA:10261,"medial temporal-occipital cortex (area TFO, area 37m)",TFO,medial temporal-occipital cortex (area TFO),TFO,HOMBA:AA30846,168,157,0.687194,bm25+fuzzy,Medial temporal lobe,medial temporal-occipital cortex,needs_review,medial,1.0,,both
Dorsolateral prefrontal cortex,,compound_term,,1,HOMBA:10173,dorsolateral prefrontal cortex,DFC,dorsolateral prefrontal cortex,DFC,HOMBA:10172,14,10,1.0,bm25+exact+fuzzy,Dorsolateral prefrontal cortex,Dorsolateral prefrontal cortex,high_confidence,,1.0,,both
Dorsolateral prefrontal cortex,,compound_term,,2,HOMBA:10172,prefrontal cortex,PFC,prefrontal cortex,PFC,HOMBA:10161,9,9,0.97,bm25+fuzzy+hierarchy_parent,Dorsolateral prefrontal cortex,prefrontal cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Dorsolateral prefrontal cortex,,compound_term,,3,HOMBA:10185,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),VFC,ventrolateral prefrontal cortex,VFC,HOMBA:10172,28,10,0.720968,bm25+fuzzy,Dorsolateral prefrontal cortex,ventrolateral prefrontal cortex,needs_review,,1.0,,both
Ventromedial prefrontal cortex,,compound_term,,1,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),ACC,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,HOMBA:10277,212,206,0.86,bm25+exact+fuzzy,Ventromedial prefrontal cortex,Ventromedial prefrontal cortex,needs_review,,1.0,,both
Ventromedial prefrontal cortex,,compound_term,,2,HOMBA:10172,prefrontal cortex,PFC,prefrontal cortex,PFC,HOMBA:10161,9,9,0.838696,bm25+fuzzy+hierarchy_parent,Ventromedial prefrontal cortex,prefrontal cortex,needs_review,,1.0,common_parent_of_2_candidates,both
Ventromedial prefrontal cortex,,compound_term,,3,HOMBA:10185,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),VFC,ventrolateral prefrontal cortex,VFC,HOMBA:10172,28,10,0.694022,bm25+fuzzy,Ventromedial prefrontal cortex,ventrolateral prefrontal cortex,needs_review,,1.0,,both
Primary motor cortex,,functional_name,,1,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",M1,"primary motor cortex (area M1, area 4)",M1C,HOMBA:AA30009,59,59,1.0,bm25+exact+fuzzy,Primary motor cortex,Primary motor cortex,high_confidence,,1.0,,both
Primary motor cortex,,functional_name,,2,HOMBA:10161,frontal cortex,FCx,frontal neocortex,FCx,HOMBA:AA30001,8,8,0.8342,bm25+hierarchy_parent,Primary motor cortex,frontal cortex,needs_review,,1.0,common_parent_of_2_candidates,both
Primary motor cortex,,functional_name,,3,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),MoC,,,HOMBA:10161,58,9,0.8342,bm25+fuzzy+hierarchy_parent,Primary motor cortex,frontal motor cortex (posterior frontal cortex),needs_review,,1.0,common_parent_of_2_candidates,both
Primary somatosensory cortex,,functional_name,,1,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",S1,"primary somatosensory cortex (area S1, areas 3,1,2)",S1C,HOMBA:10208,73,73,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary somatosensory cortex,Primary somatosensory cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Primary somatosensory cortex,,functional_name,,2,HOMBA:AA30811,subareas of primary somatosensory cortex,S1sa,,,HOMBA:10209,74,74,0.97,bm25+fuzzy+hierarchy_parent,Primary somatosensory cortex,subareas of primary somatosensory cortex,high_confidence,,1.0,common_parent_of_3_candidates,both
Primary somatosensory cortex,,functional_name,,3,HOMBA:AA30014,area 1 of primary somatosensory cortex,S1A1,,,HOMBA:AA30811,78,75,0.8775,bm25+fuzzy,Primary somatosensory cortex,area 1 of primary somatosensory cortex,needs_review,,1.0,,both
Primary visual cortex,,functional_name,,1,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",V1,"primary visual cortex (striate cortex, area V1/17)",V1C,HOMBA:10268,176,173,1.0,bm25+exact+fuzzy+hierarchy_parent,Primary visual cortex,Primary visual cortex,high_confidence,,1.0,common_parent_of_2_candidates,both
Primary visual cortex,,functional_name,,2,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",S1,"primary somatosensory cortex (area S1, areas 3,1,2)",S1C,HOMBA:10208,73,73,0.785632,bm25+fuzzy+hierarchy_parent,Primary visual cortex,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",needs_review,,1.0,common_parent_of_2_candidates,both
Primary visual cortex,,functional_name,,3,HOMBA:AA30811,subareas of primary somatosensory cortex,S1sa,,,HOMBA:10209,74,74,0.705632,bm25+fuzzy+hierarchy_parent,Primary visual cortex,subareas of primary somatosensory cortex,needs_review,,1.0,common_parent_of_3_candidates,both
Primary auditory cortex,,functional_name,,1,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",Au1,primary auditory cortex (core),A1C,HOMBA:13322,126,126,0.86,bm25+exact+fuzzy+hierarchy_parent,Primary auditory cortex,Primary auditory cortex,needs_review,,1.0,common_parent_of_2_candidates,both
Primary auditory cortex,,functional_name,,2,HOMBA:13322,dorsolateral temporal cortex,DLTC,dorsolateral temporal neocortex,DLTC,HOMBA:10235,125,125,0.8342,hierarchy_parent,Primary auditory cortex,dorsolateral temporal cortex,needs_review,,1.0,common_parent_of_3_candidates,both
Primary auditory cortex,,functional_name,,3,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",S1,"primary somatosensory cortex (area S1, areas 3,1,2)",S1C,HOMBA:10208,73,73,0.785632,bm25+fuzzy+hierarchy_parent,Primary auditory cortex,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",needs_review,,1.0,common_parent_of_2_candidates,both
Broca area,,eponym,,1,HOMBA:AA30351,subincertal nucleus (area),SBI,,,HOMBA:AA30350,938,938,0.41925,fuzzy,Broca area,area,low_confidence,,1.0,,both
Broca area,,eponym,,2,HOMBA:AA30349,ventral tuberomammillary nucleus (area),VTM,,,HOMBA:10498,933,928,0.41925,fuzzy,Broca area,area,low_confidence,,1.0,,both
Wernicke area,,eponym,,1,HOMBA:AA30351,subincertal nucleus (area),SBI,,,HOMBA:AA30350,938,938,0.359712,fuzzy,Wernicke area,area,low_confidence,,1.0,,both
Wernicke area,,eponym,,2,HOMBA:AA30349,ventral tuberomammillary nucleus (area),VTM,,,HOMBA:10498,933,928,0.359712,fuzzy,Wernicke area,area,low_confidence,,1.0,,both
Substantia nigra pars compacta,,compound_modifier,,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,0.833934,bm25+fuzzy+hierarchy_parent,Substantia nigra pars compacta,substantia nigra,needs_review,,1.0,common_parent_of_4_candidates,both
Substantia nigra pars compacta,,compound_modifier,,2,HOMBA:12252,"substantia nigra, compact division",SNC,"substantia nigra, compact part",SNC,HOMBA:12251,1044,1044,0.669462,bm25+fuzzy+hierarchy_parent,Substantia nigra pars compacta,"substantia nigra, compact division",needs_review,,1.0,common_parent_of_3_candidates,both
