structure_name,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Subiculum,subregion,hippocampal subregion,2,HOMBA:AA30089,major division of subiculum,SBmj,,,HOMBA:10302,299,298,0.789559,bm25+fuzzy+hierarchy_parent,Subiculum,major division of subiculum,needs_review,,1.0,common_parent_of_3_candidates,both
Subiculum,subregion,hippocampal subregion,3,HOMBA:266441407,uncal division of subiculum,SBu,uncal subiculum,S-U,HOMBA:10302,298,298,0.7625,bm25+fuzzy,Subiculum,uncal subiculum,needs_review,,1.0,,both
Presubiculum,subregion,hippocampal subregion,1,HOMBA:10315,presubiculum (presubicular cortex),PrS,presubicular cortex (presubiculum),PrS,HOMBA:10314,293,276,1.0,bm25+exact+fuzzy+hierarchy_parent,Presubiculum,Presubiculum,high_confidence,,1.0,common_parent_of_2_candidates,both
Presubiculum,subregion,hippocampal subregion,2,HOMBA:11350,caudal (dorsal) presubiculum (postsubiculum),PrSc,caudal presubiculum (postsubiculum),PrSc,HOMBA:10315,295,294,0.676118,bm25+fuzzy,Presubiculum,caudal   presubiculum,needs_review,,1.0,,both
Presubiculum,subregion,hippocampal subregion,3,HOMBA:11341,rostral (ventral) presubiculum,PrSr,rostral presubiculum,PrSr,HOMBA:10315,294,294,0.65575,bm25+fuzzy,Presubiculum,rostral   presubiculum,needs_review,,1.0,,both
Entorhinal area,synonym,alternative name for entorhinal cortex,1,HOMBA:10317,entorhinal cortex,ERC,entorhinal cortex,EC,HOMBA:10314,276,276,1.0,bm25+exact+fuzzy+hierarchy_parent,Entorhinal area,Entorhinal area,high_confidence,,1.0,common_parent_of_3_candidates,both
Entorhinal area,synonym,alternative name for entorhinal cortex,2,HOMBA:10318,lateral (rostral) entorhinal cortex,LEC,lateral (anterior) entorhinal cortex,LEC,HOMBA:10317,277,277,0.7009,bm25+fuzzy+hierarchy_parent,entorhinal cortex,lateral   entorhinal cortex,needs_review,,1.0,common_parent_of_4_candidates,both
Entorhinal area,synonym,alternative name for entorhinal cortex,3,HOMBA:10319,medial (caudal) entorhinal cortex,MEC,medial (posterior) entorhinal cortex,MEC,HOMBA:10317,284,277,0.7009,bm25+fuzzy+hierarchy_parent,Entorhinal area,medial entorhinal area,needs_review,,1.0,common_parent_of_3_candidates,both
Primary motor area,synonym,alternative name for M1,1,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",M1,"primary motor cortex (area M1, area 4)",M1C,HOMBA:AA30009,59,59,1.0,bm25+exact+fuzzy,Primary motor area,Primary motor area,high_confidence,,1.0,,both
Primary motor area,synonym,alternative name for M1,2,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),MoC,,,HOMBA:10161,58,9,0.8342,bm25+fuzzy+hierarchy_parent,Primary motor area,frontal motor cortex (posterior frontal cortex),needs_review,,1.0,common_parent_of_2_candidates,both
Primary motor area,synonym,alternative name for M1,3,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",Au1,primary auditory cortex (core),A1C,HOMBA:13322,126,126,0.506502,bm25+fuzzy+hierarchy_parent,primary motor cortex,primary auditory cortex,low_confidence,,1.0,common_parent_of_2_candidates,both
Orbitofrontal cortex,functional_name,OFC - should match orbitofrontal region,1,HOMBA:10194,orbital frontal cortex,OFC,orbital frontal cortex,OFC,HOMBA:10161,37,9,1.0,bm25+exact+fuzzy+hierarchy_parent,Orbitofrontal cortex,Orbitofrontal cortex,high_confidence,,1.0,common_parent_of_4_candidates,both
Orbitofrontal cortex,functional_name,OFC - should match orbitofrontal region,2,HOMBA:10161,frontal cortex,FCx,frontal neocortex,FCx,HOMBA:AA30001,8,8,0.8342,bm25+fuzzy+hierarchy_parent,Orbitofrontal cortex,frontal cortex,needs_review,,1.0,common_parent_of_4_candidates,both
Orbitofrontal cortex,functional_name,OFC - should match orbitofrontal region,3,HOMBA:AA30005,orbitofrontal insular cortex,OFI,,,HOMBA:10161,54,9,0.741514,bm25+fuzzy+hierarchy_parent,Orbitofrontal cortex,orbitofrontal insular cortex,needs_review,,1.0,common_parent_of_3_candidates,both
Lateral orbitofrontal cortex,functional_name,lateral OFC,1,HOMBA:10205,"lateral orbital frontal cortex (OFCl, area 12/47)",A47,lateral orbital frontal cortex (area 12/47),OFCl,HOMBA:10194,48,38,1.0,bm25+exact+fuzzy,Lateral orbitofrontal cortex,Lateral orbitofrontal cortex,high_confidence,lateral,1.0,,both
Lateral orbitofrontal cortex,functional_name,lateral OFC,2,HOMBA:AA30008,lateral division of orbitofrontal insular cortex,OFIl,,,HOMBA:AA30005,57,55,0.835039,bm25+fuzzy,Lateral orbitofrontal cortex,lateral division of orbitofrontal insular cortex,needs_review,lateral,1.0,,both
Lateral orbitofrontal cortex,functional_name,lateral OFC,3,HOMBA:10194,orbital frontal cortex,OFC,orbital frontal cortex,OFC,HOMBA:10161,37,9,0.753867,bm25+fuzzy,Lateral orbitofrontal cortex,orbitofrontal cortex,needs_review,lateral,0.0,,both
Medial orbitofrontal cortex,functional_name,medial OFC,1,HOMBA:10195,medial orbital frontal cortex (area 14),A14,medial orbital frontal cortex (area 14),OFCm,HOMBA:10194,38,38,1.0,bm25+exact+fuzzy,Medial orbitofrontal cortex,Medial orbitofrontal cortex,high_confidence,medial,1.0,,both
Medial orbitofrontal cortex,functional_name,medial OFC,2,HOMBA:AA30006,medial division of orbitofrontal insular cortex,OFIm,,,HOMBA:AA30005,55,55,0.832208,bm25+fuzzy,Medial orbitofrontal cortex,medial division of orbitofrontal insular cortex,needs_review,medial,1.0,,both
Medial orbitofrontal cortex,functional_name,medial OFC,3,HOMBA:10194,orbital frontal cortex,OFC,orbital frontal cortex,OFC,HOMBA:10161,37,9,0.753867,bm25+fuzzy,Medial orbitofrontal cortex,orbitofrontal cortex,needs_review,medial,0.0,,both
Septal nuclei,plural,septal area,1,HOMBA:10350,septal region (septal nuclear complex),SEP,septal nuclei,SEP,HOMBA:AA30214,548,537,1.0,bm25+exact+fuzzy+hierarchy_parent,Septal nuclei,Septal nuclei,high_confidence,,1.0,common_parent_of_2_candidates,both
Septal nuclei,plural,septal area,2,HOMBA:AA30216,rostral septal nuclear complex,SEPr,,,HOMBA:10350,549,549,0.814583,bm25+hierarchy_parent,Septal nuclei,rostral septal nuclear complex,needs_review,,1.0,common_parent_of_2_candidates,both
Septal nuclei,plural,septal area,3,HOMBA:10351,medial septal nucleus,MSN,medial septal nucleus,MSN,HOMBA:AA30216,550,550,0.734583,bm25+fuzzy,septal nucleus,medial septal nucleus,needs_review,,1.0,,both
Septum,common,septal area common name,1,HOMBA:12098,septum pellucidum,Pell,septum pellucidum,Pell,HOMBA:AA30560,2017,2005,0.600758,bm25+fuzzy,Septum,septum pellucidum,needs_review,,1.0,,both
Septum,common,septal area common name,2,HOMBA:10351,medial septal nucleus,MSN,medial septal nucleus,MSN,HOMBA:AA30216,550,550,0.566442,bm25+fuzzy,Septum,medial septum,low_confidence,,1.0,,both
Septum,common,septal area common name,3,HOMBA:10352,lateral septal nuclear complex,LSN,lateral septal nucleus,LSN,HOMBA:AA30216,551,550,0.549173,bm25+fuzzy+hierarchy_parent,Septum,lateral septum,low_confidence,,1.0,common_parent_of_4_candidates,both
Bed nucleus of stria terminalis,full_name,BNST,1,HOMBA:10384,bed nucleus of stria terminalis,BST,bed nucleus of stria terminalis,BNST,HOMBA:AA30243,645,645,1.0,bm25+exact+fuzzy,Bed nucleus of stria terminalis,Bed nucleus of stria terminalis,high_confidence,,1.0,,both
Bed nucleus of stria terminalis,full_name,BNST,2,HOMBA:10591,stria terminalis,st,stria terminalis,st,HOMBA:AA30489,1659,1607,0.728579,bm25+fuzzy,Bed nucleus of stria terminalis,stria terminalis,needs_review,,1.0,,both
Bed nucleus of stria terminalis,full_name,BNST,3,HOMBA:AA30882,commissural branch of stria terminalis,stc,,,HOMBA:10591,1660,1660,0.565615,bm25+fuzzy,Bed nucleus of stria terminalis,commissural branch of stria terminalis,low_confidence,,1.0,,both
BNST,abbreviation,bed nucleus of stria terminalis,1,HOMBA:10384,bed nucleus of stria terminalis,BST,bed nucleus of stria terminalis,BNST,HOMBA:AA30243,645,645,1.0,bm25+exact+fuzzy,BNST,BNST,high_confidence,,1.0,,both
Nucleus of the solitary tract,full_name,NTS,1,HOMBA:12557,solitary nucleus,Sol,solitary nucleus,Sol,HOMBA:12556,1343,1343,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus of the solitary tract,Nucleus of the solitary tract,high_confidence,,1.0,common_parent_of_10_candidates,both
Nucleus of the solitary tract,full_name,NTS,2,HOMBA:12556,afferent nuclei of cranial nerves in medulla oblongata,MoAN,afferent nuclei of cranial nerves in medulla oblongata,MoAN,HOMBA:AA30451,1342,1324,0.97,hierarchy_parent,Nucleus of the solitary tract,afferent nuclei of cranial nerves in medulla oblongata,high_confidence,,1.0,common_parent_of_3_candidates,both
Nucleus of the solitary tract,full_name,NTS,3,HOMBA:12561,"solitary nucleus, gelatinous division",SolG,"solitary nucleus, gelatinous part",SolG,HOMBA:12557,1347,1344,0.858333,bm25+fuzzy,Nucleus of the solitary tract,nucleus of the solitary tract gelatinous part,needs_review,,1.0,,both
NTS,abbreviation,nucleus tractus solitarius,1,HOMBA:12557,solitary nucleus,Sol,solitary nucleus,Sol,HOMBA:12556,1343,1343,1.0,bm25+exact+fuzzy,solitary nucleus,solitary nucleus,high_confidence,,1.0,,both
NTS,abbreviation,nucleus tractus solitarius,2,HOMBA:12571,parasolitary nucleus,PSol,parasolitary nucleus,PSol,HOMBA:12556,1355,1343,0.5934,fuzzy,solitary nucleus,parasolitary nucleus,low_confidence,,1.0,,both
NTS,abbreviation,nucleus tractus solitarius,3,HOMBA:12570,subsolitary nucleus,SSol,subsolitary nucleus,SSol,HOMBA:12556,1354,1343,0.5934,fuzzy,solitary nucleus,subsolitary nucleus,low_confidence,,1.0,,both
NTS,abbreviation,nucleus tractus solitarius,1,HOMBA:12557,solitary nucleus,Sol,solitary nucleus,Sol,HOMBA:12556,1343,1343,1.0,bm25+exact+fuzzy,solitary nucleus,solitary nucleus,high_confidence,,1.0,,both
NTS,abbreviation,nucleus tractus solitarius,2,HOMBA:12571,parasolitary nucleus,PSol,parasolitary nucleus,PSol,HOMBA:12556,1355,1343,0.5934,fuzzy,solitary nucleus,parasolitary nucleus,low_confidence,,1.0,,both
NTS,abbreviation,nucleus tractus solitarius,3,HOMBA:12570,subsolitary nucleus,SSol,subsolitary nucleus,SSol,HOMBA:12556,1354,1343,0.5934,fuzzy,solitary nucleus,subsolitary nucleus,low_confidence,,1.0,,both
Periaqueductal grey,spelling,British English spelling,1,HOMBA:AA30359,periaqueductal gray region,PAGR,,,HOMBA:12195,998,986,0.94,bm25+fuzzy,Periaqueductal grey,periaqueductal grey region,high_confidence,,1.0,,both
Periaqueductal grey,spelling,British English spelling,2,HOMBA:12209,periaqueductal gray substance,PAG,periaqueductal gray substance,PAG,HOMBA:AA30359,999,999,0.845546,bm25+fuzzy+hierarchy_parent,Periaqueductal grey,periaqueductal grey substance,needs_review,,1.0,common_parent_of_5_candidates,both
Periaqueductal grey,spelling,British English spelling,3,HOMBA:12215,"periaqueductal gray substance, pleioglial division",PAGpl,"periaqueductal gray substance, pleioglial division",PAGpl,HOMBA:12209,1004,1000,0.6319,bm25+fuzzy,Periaqueductal grey,periaqueductal grey substance pleioglial division,needs_review,,1.0,,both
Anterior cingulate cortex,compound,ACC,1,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),ACC,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,HOMBA:10277,212,206,1.0,bm25+exact+fuzzy,Anterior cingulate cortex,Anterior cingulate cortex,high_confidence,,1.0,,both
Anterior cingulate cortex,compound,ACC,2,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,0.8342,bm25+fuzzy+hierarchy_parent,Anterior cingulate cortex,cingulate cortex,needs_review,,1.0,common_parent_of_5_candidates,both
Anterior cingulate cortex,compound,ACC,3,HOMBA:12157,"cingulate gyrus, rostral (anterior) part",CgGr,"cingulate gyrus, rostral (anterior) part",CgGr,HOMBA:12113,1931,1912,0.653168,bm25+fuzzy,Anterior cingulate cortex,rostral anterior part cingulate cortex,needs_review,,1.0,,both
ACC,abbreviation,anterior cingulate cortex,1,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),ACC,anterior (rostral) cingulate (medial prefrontal) cortex,MFC,HOMBA:10277,212,206,1.0,bm25+exact+fuzzy+hierarchy_parent,ACC,ACC,high_confidence,,1.0,common_parent_of_2_candidates,both
ACC,abbreviation,anterior cingulate cortex,2,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,acc,,,HOMBA:10559,1573,1572,1.0,bm25+exact+fuzzy,ACC,ACC,high_confidence,,1.0,,both
ACC,abbreviation,anterior cingulate cortex,3,HOMBA:AA30044,"dorsal  ACC (rostral cingulate motor cortex, M3)",M3,,,HOMBA:10278,217,213,0.254081,bm25,ACC,dorsal  ACC,low_confidence,,1.0,,both
Posterior cingulate cortex,compound,PCC,1,HOMBA:10285,posterior cingulate cortex (PCC),PCC,posterior (caudal) cingulate cortex,PCC,HOMBA:10277,224,206,1.0,bm25+exact+fuzzy,Posterior cingulate cortex,Posterior cingulate cortex,high_confidence,posterior,1.0,,both
Posterior cingulate cortex,compound,PCC,2,HOMBA:12158,"cingulate gyrus, caudal (posterior) part",CgGc,"cingulate gyrus, caudal (posterior) part",CgGc,HOMBA:12131,1953,1946,0.889801,bm25+fuzzy,Posterior cingulate cortex,caudal posterior part cingulate cortex,needs_review,posterior,1.0,,both
Posterior cingulate cortex,compound,PCC,3,HOMBA:10277,cingulate cortex,CCx,cingulate neocortex,CCx,HOMBA:AA30001,205,8,0.717821,bm25+fuzzy,Posterior cingulate cortex,cingulate cortex,needs_review,posterior,0.0,,both
PCC,abbreviation,posterior cingulate cortex,1,HOMBA:10285,posterior cingulate cortex (PCC),PCC,posterior (caudal) cingulate cortex,PCC,HOMBA:10277,224,206,1.0,bm25+exact+fuzzy+hierarchy_parent,PCC,PCC,high_confidence,,1.0,common_parent_of_2_candidates,both
PCC,abbreviation,posterior cingulate cortex,2,HOMBA:10287,"dorsal PCC (area 31, area LC1)",A31,dorsal division of PCC (area 31),A31,HOMBA:10285,229,225,0.250983,bm25,PCC,dorsal PCC,low_confidence,,1.0,,both
PCC,abbreviation,posterior cingulate cortex,3,HOMBA:10286,"ventral PCC (area 23, area LC2)",A23,ventral division of PCC (area 23),A23,HOMBA:10285,225,225,0.250983,bm25,PCC,ventral PCC,low_confidence,,1.0,,both
Medial geniculate body,synonym,medial geniculate nucleus alternative name,1,HOMBA:10434,medial geniculate nucleus,MG,medial geniculate nuclei,MG,HOMBA:AA30307,789,789,0.780192,bm25+fuzzy,Medial geniculate body,medial geniculate nuclei,needs_review,medial,1.0,,both
Medial geniculate body,synonym,medial geniculate nucleus alternative name,2,HOMBA:10439,medial division of medial geniculate nucleus,MMG,magnocellular (medial) nucleus,MMG,HOMBA:10434,796,790,0.701398,bm25+fuzzy,Medial geniculate body,medial division of medial geniculate nucleus,needs_review,medial,1.0,,both
Medial geniculate body,synonym,medial geniculate nucleus alternative name,3,HOMBA:10435,dorsal (rostral) division of medial geniculate nucleus,DMG,dorsal medial geniculate nucleus,DMG,HOMBA:10434,790,790,0.698532,bm25+fuzzy,Medial geniculate body,dorsal   division of medial geniculate nucleus,needs_review,medial,1.0,,both
Lateral geniculate body,synonym,LGN alternative,1,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),LG,lateral geniculate nucleus,LG,HOMBA:AA30295,766,766,0.775432,bm25+fuzzy,Lateral geniculate body,lateral geniculate nuclei,needs_review,lateral,1.0,,both
Lateral geniculate body,synonym,LGN alternative,2,HOMBA:13042,pregeniculate nucleus (ventral lateral geniculate nucleus),PG,pregeniculate nucleus,PG,HOMBA:AA30295,782,766,0.693077,bm25+fuzzy,Lateral geniculate body,ventral lateral geniculate nucleus,needs_review,lateral,1.0,,both
Lateral geniculate body,synonym,LGN alternative,3,HOMBA:AA30295,lateral geniculate nuclear complex,LGC,,,HOMBA:10428,765,765,0.688368,bm25+fuzzy,Lateral geniculate body,lateral geniculate nuclear complex,needs_review,lateral,1.0,,both
Dorsal raphe,abbreviation,missing nucleus,1,HOMBA:12223,dorsal raphe nucleus,DR,dorsal raphe nucleus,DR,HOMBA:12222,1018,1018,0.947851,bm25+fuzzy,Dorsal raphe,dorsal raphe nuclei,high_confidence,dorsal,1.0,,both
Dorsal raphe,abbreviation,missing nucleus,2,HOMBA:AA30088,caudal (dorsal) parasubiculum (subdivision b only),PaSc,,,HOMBA:10316,292,289,0.8075,bm25+fuzzy,Dorsal raphe,dorsal,needs_review,dorsal,1.0,,both
Dorsal raphe,abbreviation,missing nucleus,3,HOMBA:11350,caudal (dorsal) presubiculum (postsubiculum),PrSc,caudal presubiculum (postsubiculum),PrSc,HOMBA:10315,295,294,0.8075,bm25+fuzzy,Dorsal raphe,dorsal,needs_review,dorsal,1.0,,both
Median raphe nucleus,compound,alternative raphe nucleus,1,HOMBA:12235,median raphe nucleus,MnR,median raphe nucleus,MnR,HOMBA:12471,1287,1281,1.0,bm25+exact+fuzzy,Median raphe nucleus,Median raphe nucleus,high_confidence,,1.0,,both
Median raphe nucleus,compound,alternative raphe nucleus,2,HOMBA:12471,pontine raphe region,PnRa,raphe pontis nucleus,PnRa,HOMBA:12416,1280,1181,0.97,bm25+fuzzy+hierarchy_parent,Median raphe nucleus,pontine raphe region,high_confidence,,1.0,common_parent_of_4_candidates,both
Median raphe nucleus,compound,alternative raphe nucleus,3,HOMBA:12236,paramedian raphe nucleus,PMnR,paramedian raphe nucleus,PMnR,HOMBA:12471,1288,1281,0.815,bm25+fuzzy,Median raphe nucleus,paramedian raphe nucleus,needs_review,,1.0,,both
Superior colliculus (deep layers),parenthetical,specific layer,1,HOMBA:12292,superior colliculus,SC,superior colliculus,SC,HOMBA:12291,963,963,0.88,bm25+exact+fuzzy,Superior colliculus,Superior colliculus,needs_review,deep;layers;deep layers,0.0,,both
Superior colliculus (deep layers),parenthetical,specific layer,2,HOMBA:12302,deep gray layer of superior colliculus,SCdg,deep gray layer of superior colliculus,SCDg,HOMBA:12301,973,973,0.736695,bm25+fuzzy,Superior colliculus,deep gray layer of superior colliculus,modifier_conflict,deep;layers;deep layers,0.333333,,both
Superior colliculus (deep layers),parenthetical,specific layer,3,HOMBA:12303,deep white layer of superior colliculus,SCdw,deep white layer of superior colliculus,SCDw,HOMBA:12301,974,973,0.730284,bm25+fuzzy,Superior colliculus (deep layers),deep white layer of superior colliculus,modifier_conflict,deep;layers;deep layers,0.333333,,both
Inferior colliculus (central nucleus),parenthetical,specific sub-region,1,HOMBA:12309,central nucleus of inferior colliculus,CIC,central nucleus of inferior colliculus,CIC,HOMBA:12305,980,977,0.973772,bm25+fuzzy,inferior colliculus central nuclei,central nuclei of inferior colliculus,high_confidence,central;nucleus;central nucleus,1.0,,both
Inferior colliculus (central nucleus),parenthetical,specific sub-region,2,HOMBA:12307,dorsal central nucleus of inferior colliculus,CICd,dorsal cortex of inferior colliculus,CICd,HOMBA:12309,981,981,0.903333,bm25+fuzzy,Inferior colliculus,dorsal cortex of inferior colliculus,high_confidence,central;nucleus;central nucleus,1.0,,both
Inferior colliculus (central nucleus),parenthetical,specific sub-region,3,HOMBA:12305,inferior colliculus,IC,inferior colliculus,IC,HOMBA:12291,976,963,0.88,bm25+exact+fuzzy,Inferior colliculus,Inferior colliculus,needs_review,central;nucleus;central nucleus,0.0,,both
Spinal trigeminal nucleus,compound,without subdivision,1,HOMBA:12572,spinal trigeminal nucleus,Sp5,spinal trigeminal nucleus,Sp5,HOMBA:AA30457,1381,1381,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal trigeminal nucleus,Spinal trigeminal nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Spinal trigeminal nucleus,compound,without subdivision,2,HOMBA:12577,dorsomedial spinal trigeminal nucleus,DM5,dorsomedial spinal trigeminal nucleus,DM5,HOMBA:12572,1383,1382,0.8775,bm25+fuzzy,Spinal trigeminal nucleus,dorsomedial spinal trigeminal nucleus,needs_review,,1.0,,both
Spinal trigeminal nucleus,compound,without subdivision,3,HOMBA:12573,"spinal trigeminal nucleus, caudal division",Sp5C,"spinal trigeminal nucleus, caudal part",Sp5C,HOMBA:12572,1382,1382,0.75465,bm25+fuzzy,Spinal trigeminal nucleus,"spinal trigeminal nucleus, caudal part",needs_review,,1.0,,both
Spinal trigeminal nucleus caudalis,modifier,specific subdivision,1,HOMBA:12573,"spinal trigeminal nucleus, caudal division",Sp5C,"spinal trigeminal nucleus, caudal part",Sp5C,HOMBA:12572,1382,1382,1.0,bm25+fuzzy,Spinal trigeminal nucleus caudalis,spinal trigeminal nucleus caudalis part,high_confidence,caudalis,1.0,,both
Spinal trigeminal nucleus caudalis,modifier,specific subdivision,2,HOMBA:12572,spinal trigeminal nucleus,Sp5,spinal trigeminal nucleus,Sp5,HOMBA:AA30457,1381,1381,0.7722,bm25+fuzzy,Spinal trigeminal nucleus caudalis,spinal trigeminal nucleus,needs_review,caudalis,0.0,,both
Spinal trigeminal nucleus caudalis,modifier,specific subdivision,3,HOMBA:11531,caudal medial nucleus,MeC,caudal subdivision of medial nucleus,MeC,HOMBA:10376,592,587,0.631135,bm25+fuzzy,Spinal trigeminal nucleus caudalis,caudalis medial nucleus,needs_review,caudalis,1.0,,both
Dorsomedial hypothalamic nucleus,compound,DMH,1,HOMBA:10485,dorsomedial hypothalamic nucleus,DMH,dorsomedial hypothalamic nucleus,DMH,HOMBA:10483,902,900,1.0,bm25+exact+fuzzy+hierarchy_parent,Dorsomedial hypothalamic nucleus,Dorsomedial hypothalamic nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Dorsomedial hypothalamic nucleus,compound,DMH,2,HOMBA:10487,diffuse division of dorsomedial hypothalamic nucleus,DMHdi,diffuse part of dorsomedial hypothalamic nucleus,DMHd,HOMBA:10485,904,903,0.875,bm25+fuzzy,Dorsomedial hypothalamic nucleus,diffuse part of dorsomedial hypothalamic nucleus,needs_review,,1.0,,both
Dorsomedial hypothalamic nucleus,compound,DMH,3,HOMBA:10486,compact division of dorsomedial hypothalamic nucleus,DMHco,compact part of dorsomedial hypothalamic nucleus,DMHc,HOMBA:10485,903,903,0.7525,bm25+fuzzy,Dorsomedial hypothalamic nucleus,compact part of dorsomedial hypothalamic nucleus,needs_review,,1.0,,both
Lateral hypothalamic area,compound,LHA,1,HOMBA:10494,"lateral hypothalamic area, tuberal part",LHtu,"lateral hypothalamic area, tuberal part",LHAtub,HOMBA:10483,913,900,0.967588,bm25+fuzzy,Lateral hypothalamic area,"lateral hypothalamic area, tuberal part",high_confidence,lateral,1.0,,both
Lateral hypothalamic area,compound,LHA,2,HOMBA:AA30350,"lateral  hypothalamic area, mammillary part",LHma,,,HOMBA:10495,937,923,0.931484,bm25+fuzzy,Lateral hypothalamic area,"lateral  hypothalamic area, mammillary part",high_confidence,lateral,1.0,,both
Lateral hypothalamic area,compound,LHA,3,HOMBA:AA30341,"lateral hypothalamic area, supraoptic part",LHso,,,HOMBA:10473,896,879,0.931484,bm25+fuzzy,Lateral hypothalamic area,"lateral hypothalamic area, supraoptic part",high_confidence,lateral,1.0,,both
Medial hypothalamus,modifier,,1,HOMBA:10467,hypothalamus,HTH,hypothalamus,HTH,HOMBA:10389,865,678,0.691842,bm25+fuzzy,Medial hypothalamus,hypothalamus,needs_review,medial,0.0,,both
Medial hypothalamus,modifier,,2,HOMBA:12402,fastigial (medial) nucleus,FAS,fastigial (medial) nucleus,Fas,HOMBA:10660,1166,1160,0.669342,bm25+fuzzy,Medial hypothalamus,medial,needs_review,medial,1.0,,both
