structure_name,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Amygdala,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdala,Amygdala,high_confidence,,1.0,,both
Amygdala,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.903017,bm25+fuzzy+hierarchy_parent,amygdaloid complex,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Amygdala,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.8125,bm25+fuzzy+hierarchy_parent,amygdaloid complex,extended amygdaloid complex,needs_review,,1.0,common_parent_of_2_candidates,both
Cerebellum,1,HOMBA:10656,cerebellum,CB,cerebellum,CB,HOMBA:10655,1102,1102,1.0,bm25+exact+fuzzy,Cerebellum,Cerebellum,high_confidence,,1.0,,both
Cerebellum,2,HOMBA:12384,paravermis of cerebellar hemisphere,CbHpv,paravermis of cerebellum,CBPV,HOMBA:10659,2047,2047,0.625,bm25+fuzzy,Cerebellum,paravermis of cerebellum,needs_review,,1.0,,both
Cerebellum,3,HOMBA:AA30490,arbor vitae of cerebellum,avc,,,HOMBA:AA30489,1669,1607,0.570833,bm25+fuzzy,Cerebellum,arbor vitae of cerebellum,low_confidence,,1.0,,both
Hypothalamus,1,HOMBA:10467,hypothalamus,HTH,hypothalamus,HTH,HOMBA:10389,865,678,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypothalamus,Hypothalamus,high_confidence,,1.0,common_parent_of_2_candidates,both
Hypothalamus,2,HOMBA:AA30338,regions of hypothalamus,HTHR,,,HOMBA:10467,866,866,0.828804,bm25+fuzzy,Hypothalamus,regions of hypothalamus,needs_review,,1.0,,both
Hypothalamus,3,HOMBA:10492,arcuate nucleus of hypothalamus,ArH,arcuate nucleus of hypothalamus,Arc,HOMBA:10483,911,900,0.496566,bm25+fuzzy,Hypothalamus,arcuate nuclei of hypothalamus,low_confidence,,1.0,,both
Thalamus,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,1.0,bm25+exact+fuzzy,Thalamus,Thalamus,high_confidence,,1.0,,both
Thalamus,2,HOMBA:AA30265,regions of thalamus,THMR,,,HOMBA:10390,679,679,0.7554,bm25+fuzzy+hierarchy_parent,Thalamus,regions of thalamus,needs_review,,1.0,common_parent_of_3_candidates,both
Thalamus,3,HOMBA:10391,dorsal thalamus,DTH,dorsal thalamus,DTH,HOMBA:AA30265,680,680,0.61275,bm25+fuzzy+hierarchy_parent,Thalamus,dorsal thalamus,needs_review,,1.0,common_parent_of_3_candidates,both
Putamen,1,HOMBA:10338,putamen (lateroventral division of the CP),Pu,putamen,Pu,HOMBA:AA30192,467,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Putamen,Putamen,high_confidence,,1.0,common_parent_of_4_candidates,both
Putamen,2,HOMBA:11538,caudal putamen,PuC,caudal putamen,PuC,HOMBA:10338,477,468,0.7009,bm25+fuzzy,lenticular nucleus,caudal lenticular nucleus,needs_review,,1.0,,both
Putamen,3,HOMBA:AA30859,middle putamen,PuM,,,HOMBA:10338,471,468,0.7009,bm25+fuzzy,lenticular nucleus,middle lenticular nucleus,needs_review,,1.0,,both
Caudate nucleus,1,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),Ca,caudate nucleus,Ca,HOMBA:AA30192,456,456,1.0,bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Caudate nucleus,2,HOMBA:10336,body of caudate nucleus,CaB,body of caudate,CaB,HOMBA:10334,460,457,0.843297,bm25+fuzzy,Caudate nucleus,body of caudate nucleus,needs_review,,1.0,,both
Caudate nucleus,3,HOMBA:10335,head of caudate nucleus,CaH,head of caudate,CaH,HOMBA:10334,457,457,0.843297,bm25+fuzzy,Caudate nucleus,head of caudate nucleus,needs_review,,1.0,,both
Globus pallidus,1,HOMBA:10342,globus pallidus (paleostriatum),GP,globus pallidus,GP,HOMBA:AA30190,512,453,1.0,bm25+exact+fuzzy+hierarchy_parent,Globus pallidus,Globus pallidus,high_confidence,,1.0,common_parent_of_3_candidates,both
Globus pallidus,2,HOMBA:10344,internal division of globus pallidus,GPi,internal segment of globus pallidus,GPi,HOMBA:10342,518,513,0.843297,bm25+fuzzy,Globus pallidus,globus pallidus interna,needs_review,,1.0,,both
Globus pallidus,3,HOMBA:10343,external division of globus pallidus,GPe,external segment of globus pallidus,GPe,HOMBA:10342,513,513,0.725236,bm25+fuzzy,Globus pallidus,globus pallidus externa,needs_review,,1.0,,both
Nucleus accumbens,1,HOMBA:10339,nucleus accumbens,NAC,nucleus accumbens,NAC,HOMBA:AA30195,485,485,1.0,bm25+exact+fuzzy+hierarchy_parent,Nucleus accumbens,Nucleus accumbens,high_confidence,,1.0,common_parent_of_2_candidates,both
Nucleus accumbens,2,HOMBA:10340,core of nucleus accumbens,NACc,core of nucleus accumbens,NACc,HOMBA:10339,486,486,0.736733,bm25+fuzzy,Nucleus accumbens,core of nucleus accumbens,needs_review,,1.0,,both
Nucleus accumbens,3,HOMBA:10341,shell of nucleus accumbens,NACs,shell of nucleus accumbens,NACs,HOMBA:10339,489,486,0.726314,bm25+fuzzy,Nucleus accumbens,shell of nucleus accumbens,needs_review,,1.0,,both
Fornix,1,HOMBA:10576,fornix,fx,fornix,fx,HOMBA:AA30489,1619,1607,1.0,bm25+exact+fuzzy+hierarchy_parent,Fornix,Fornix,high_confidence,,1.0,common_parent_of_4_candidates,both
Fornix,2,HOMBA:10578,body of the fornix,fxbo,body of the fornix,fx-b,HOMBA:10576,1624,1620,0.589095,bm25+fuzzy,Fornix,body of the fornix,low_confidence,,1.0,,both
Fornix,3,HOMBA:10579,crus of the fornix,fxcr,crus of the fornix,fx-cr,HOMBA:10576,1625,1620,0.589095,bm25+fuzzy,Fornix,crus of the fornix,low_confidence,,1.0,,both
Corpus callosum,1,HOMBA:10561,corpus callosum,cc,corpus callosum,cc,HOMBA:AA30483,1575,1571,1.0,bm25+exact+fuzzy+hierarchy_parent,Corpus callosum,Corpus callosum,high_confidence,,1.0,common_parent_of_6_candidates,both
Corpus callosum,2,HOMBA:10564,body of corpus callosum,ccb,body of corpus callosum,ccb,HOMBA:10561,1579,1576,0.843297,bm25+fuzzy+hierarchy_parent,Corpus callosum,body of corpus callosum,needs_review,,1.0,common_parent_of_3_candidates,both
Corpus callosum,3,HOMBA:10563,genu of corpus callosum,ccg,genu of corpus callosum,ccg,HOMBA:10561,1577,1576,0.843297,bm25+fuzzy,Corpus callosum,genu of corpus callosum,needs_review,,1.0,,both
Optic chiasm,1,HOMBA:10644,optic chiasm,ox,optic chiasm,ox,HOMBA:AA30483,1598,1571,1.0,bm25+exact+fuzzy,Optic chiasm,Optic chiasm,high_confidence,,1.0,,both
Optic chiasm,2,HOMBA:10589,optic tract,ot,optic tract,ot,HOMBA:AA30489,1654,1607,0.413086,bm25+fuzzy,Optic chiasm,optic tract,low_confidence,,1.0,,both
Optic chiasm,3,HOMBA:15544,optic nerve,on,optic nerve,on,HOMBA:AA30489,1653,1607,0.249627,bm25,Optic chiasm,optic nerve,low_confidence,,1.0,,both
Optic tract,1,HOMBA:10589,optic tract,ot,optic tract,ot,HOMBA:AA30489,1654,1607,1.0,bm25+exact+fuzzy,Optic tract,Optic tract,high_confidence,,1.0,,both
Optic tract,2,HOMBA:12185,nucleus of the optic tract  (lentiform nucleus),NOP,nucleus of the optic tract  (lentiform nucleus),NOP,HOMBA:12182,956,954,0.590499,bm25+fuzzy,Optic tract,nucleus of the optic tract,low_confidence,,1.0,,both
Optic tract,3,HOMBA:12054,capsular part of optic radiation (geniculocalcarine tract),oric,optic radiation (geniculocalcarine tract),or-rl,HOMBA:12053,1636,1636,0.545829,bm25+fuzzy,Optic tract,optic radiation (geniculocalcarine tract),low_confidence,,1.0,,both
Olfactory bulb,1,HOMBA:10307,olfactory bulb,OB,olfactory bulb,OB,HOMBA:10306,359,359,1.0,bm25+exact+fuzzy,Olfactory bulb,Olfactory bulb,high_confidence,,1.0,,both
Olfactory bulb,2,HOMBA:AA30168,lamination of olfactory bulb,OBL,,,HOMBA:AA30125,416,374,0.730224,bm25+fuzzy+hierarchy_parent,Olfactory bulb,lamination of olfactory bulb,needs_review,,1.0,common_parent_of_6_candidates,both
Olfactory bulb,3,HOMBA:AA30118,accessory olfactory bulb,AOB,,,HOMBA:10306,360,359,0.680833,bm25+fuzzy,Olfactory bulb,accessory olfactory bulb,needs_review,,1.0,,both
Pituitary gland,1,HOMBA:10505,pituitary body/gland (hypophysis),Pit,pituitary body,Pit,HOMBA:AA30338,944,867,1.0,bm25+exact+fuzzy+hierarchy_parent,Pituitary gland,Pituitary gland,high_confidence,,1.0,common_parent_of_2_candidates,both
Pituitary gland,2,HOMBA:AA30782,anterior lobe of pituitary body (adenohypophysis),PitA,,,HOMBA:10505,945,945,0.58488,bm25+fuzzy,Pituitary gland,anterior lobe of pituitary gland,low_confidence,,1.0,,both
Pituitary gland,3,HOMBA:AA30783,posterior lobe of pituitary body (neurohypophysis),PitP,,,HOMBA:10505,946,945,0.578772,bm25+fuzzy,Pituitary gland,posterior lobe of pituitary gland,low_confidence,,1.0,,both
Pons,1,HOMBA:10661,pons,Pn,pons,Pn,HOMBA:10655,1170,1102,1.0,bm25+exact+fuzzy,Pons,Pons,high_confidence,,1.0,,both
Pons,2,HOMBA:AA30470,developing transient structures of lower brainstem (pons and medulla),LBSDe,,,HOMBA:AA30462,1483,1454,0.526981,bm25+fuzzy,Pons,pons and medulla,low_confidence,,1.0,,both
Pons,3,HOMBA:12405,basilar part of pons,PnBa,basilar part of pons,PnBa,HOMBA:10661,1171,1171,0.501981,bm25+fuzzy,Pons,basilar part of pons,low_confidence,,1.0,,both
Medulla oblongata,1,HOMBA:10662,myelencephalon (medulla oblongata),Mo,myelencephalon (medulla oblongata),Mo,HOMBA:AA30377,1318,1101,1.0,bm25+exact+fuzzy+hierarchy_parent,Medulla oblongata,Medulla oblongata,high_confidence,,1.0,common_parent_of_2_candidates,both
Medulla oblongata,2,HOMBA:12538,tegmentum of medulla oblongata,MoTg,tegmentum of medulla oblongata,MoTg,HOMBA:10662,1322,1319,0.856667,bm25+fuzzy+hierarchy_parent,medulla oblongata oblongata,tegmentum of medulla oblongata oblongata,needs_review,,1.0,common_parent_of_6_candidates,both
Medulla oblongata,3,HOMBA:AA30470,developing transient structures of lower brainstem (pons and medulla),LBSDe,,,HOMBA:AA30462,1483,1454,0.844551,bm25+fuzzy,Medulla oblongata,pons and medulla oblongata,needs_review,,1.0,,both
Lateral geniculate nucleus,1,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),LG,lateral geniculate nucleus,LG,HOMBA:AA30295,766,766,1.0,bm25+exact+fuzzy,Lateral geniculate nucleus,Lateral geniculate nucleus,high_confidence,lateral,1.0,,both
Lateral geniculate nucleus,2,HOMBA:13042,pregeniculate nucleus (ventral lateral geniculate nucleus),PG,pregeniculate nucleus,PG,HOMBA:AA30295,782,766,0.9975,bm25+fuzzy,Lateral geniculate nucleus,ventral lateral geniculate nucleus,high_confidence,lateral,1.0,,both
Lateral geniculate nucleus,3,HOMBA:10367,lateral nucleus of amygdala,La,lateral nucleus,La,HOMBA:10366,600,600,0.813115,bm25+fuzzy,Lateral geniculate nucleus,lateral nucleus,needs_review,lateral,1.0,,both
Medial geniculate nucleus,1,HOMBA:10434,medial geniculate nucleus,MG,medial geniculate nuclei,MG,HOMBA:AA30307,789,789,1.0,bm25+exact+fuzzy,Medial geniculate nucleus,Medial geniculate nucleus,high_confidence,medial,1.0,,both
Medial geniculate nucleus,2,HOMBA:10435,dorsal (rostral) division of medial geniculate nucleus,DMG,dorsal medial geniculate nucleus,DMG,HOMBA:10434,790,790,0.9975,bm25+fuzzy,Medial geniculate nucleus,dorsal medial geniculate nucleus,high_confidence,medial,1.0,,both
Medial geniculate nucleus,3,HOMBA:10438,ventral (caudal) division of medial geniculate nucleus,VMG,ventral medial geniculate nucleus,VMG,HOMBA:10434,793,790,0.9975,bm25+fuzzy,Medial geniculate nucleus,ventral medial geniculate nucleus,high_confidence,medial,1.0,,both
Ventral tegmental area,1,HOMBA:12261,ventral tegmental area,VTA,ventral tegmental area,VTA,HOMBA:146034938,1053,1053,1.0,bm25+exact+fuzzy,Ventral tegmental area,Ventral tegmental area,high_confidence,ventral,1.0,,both
Ventral tegmental area,2,HOMBA:12802,ventral tegmental tract in hindbrain,vtg,ventral tegmental tract,vtg,HOMBA:266441725,1814,1813,0.876515,bm25+fuzzy,Ventral tegmental area,ventral tegmental tract,needs_review,ventral,1.0,,both
Ventral tegmental area,3,HOMBA:12266,ventral tegmental nucleus (of Gudden),VTg,ventral tegmental nucleus,VTg,HOMBA:12471,1282,1281,0.844201,bm25+fuzzy,Ventral tegmental area,ventral tegmental nuclei,needs_review,ventral,1.0,,both
Periaqueductal gray,1,HOMBA:AA30359,periaqueductal gray region,PAGR,,,HOMBA:12195,998,986,0.94,bm25+fuzzy,Periaqueductal gray,periaqueductal gray region,high_confidence,,1.0,,both
Periaqueductal gray,2,HOMBA:12209,periaqueductal gray substance,PAG,periaqueductal gray substance,PAG,HOMBA:AA30359,999,999,0.845546,bm25+fuzzy+hierarchy_parent,Periaqueductal gray,periaqueductal gray substance,needs_review,,1.0,common_parent_of_5_candidates,both
Periaqueductal gray,3,HOMBA:12215,"periaqueductal gray substance, pleioglial division",PAGpl,"periaqueductal gray substance, pleioglial division",PAGpl,HOMBA:12209,1004,1000,0.63328,bm25+fuzzy,periaqueductal grey,periaqueductal grey substance pleioglial division,needs_review,,1.0,,both
Claustrum,1,HOMBA:10346,claustrum,Cla,claustrum,Cla,HOMBA:AA30263,669,669,1.0,bm25+exact+fuzzy+hierarchy_parent,Claustrum,Claustrum,high_confidence,,1.0,common_parent_of_4_candidates,both
Claustrum,2,HOMBA:10347,dorsal claustrum,CLd,Dorsal claustrum,CLd,HOMBA:10346,670,670,0.631563,bm25+fuzzy,Claustrum,dorsal claustrum,needs_review,,1.0,,both
