dataset,query,role,review_reference_top1_id,base_id,base_name,base_score,base_flag,impr_id,impr_name,impr_score,impr_flag
corpus,Subcallosal cortex,llm_accept_top1,HOMBA:10281,HOMBA:10281,subgenual (subcallosal) cingulate cortex (area 25),0.4919,low_confidence,HOMBA:10281,subgenual (subcallosal) cingulate cortex (area 25),0.4919,low_confidence
corpus,Parahippocampal area PeEc,llm_accept_top1,HOMBA:12162,HOMBA:12162,parahippocampal gyrus,0.49,low_confidence,HOMBA:12162,parahippocampal gyrus,0.4901,low_confidence
corpus,Frontal opercular cortex,llm_accept_top1,HOMBA:12119,HOMBA:12119,"inferior frontal gyrus, opercular part",0.4926,low_confidence,HOMBA:12119,"inferior frontal gyrus, opercular part",0.4926,low_confidence
corpus,Anterior cingulate and paracingulate gyri,llm_accept_top1,HOMBA:10278,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),0.5248,low_confidence,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),0.5249,low_confidence
corpus,Meyer's loop (geniculocalcarine tract),llm_accept_top1,HOMBA:266441617,HOMBA:266441617,Meyer's loop of optic radiation,0.538,low_confidence,HOMBA:266441617,Meyer's loop of optic radiation,0.538,low_confidence
corpus,Premotor eye field,llm_accept_top1,HOMBA:AA30010,HOMBA:AA30010,frontal eye field of premotor cortex,0.5438,low_confidence,HOMBA:AA30010,frontal eye field of premotor cortex,0.5438,low_confidence
corpus,Calcarine fissure and surrounding cortex,llm_accept_top1,HOMBA:10612,HOMBA:10612,calcarine sulcus (fissure),0.5722,low_confidence,HOMBA:10612,calcarine sulcus (fissure),0.5722,low_confidence
species,Basolateral Ventral Amygdaloid Nucleus,llm_accept_top1,HOMBA:10368,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.5926,low_confidence,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.5926,low_confidence
species,Basolateral Dorsal Amygdaloid Nucleus,llm_accept_top1,HOMBA:10368,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.594,low_confidence,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.594,low_confidence
species,Medial cerebellar peduncle,llm_accept_top1,HOMBA:12768,HOMBA:12768,middle cerebellar peduncle (brachium pontis),0.6071,needs_review,HOMBA:12768,middle cerebellar peduncle (brachium pontis),0.6071,needs_review
species,"Amygdaloid area, unspecified",llm_accept_top1,HOMBA:AA30222,HOMBA:AA30222,regions of amygdaloid complex,0.5975,low_confidence,HOMBA:AA30222,regions of amygdaloid complex,0.5975,low_confidence
species,"Facial nerve, unspecified",llm_accept_top1,HOMBA:12862,HOMBA:12862,root of facial nerve,0.6048,needs_review,HOMBA:12862,root of facial nerve,0.6049,needs_review
species,Ventrolateral thalamic nucleus (posterodorsal part),llm_accept_top1,HOMBA:10420,HOMBA:10420,ventral lateral nucleus of thalamus,0.6139,needs_review,HOMBA:10420,ventral lateral nucleus of thalamus,0.88,needs_review
species,Ventrolateral thalamic nucleus (posteroventral part),llm_accept_top1,HOMBA:10420,HOMBA:10420,ventral lateral nucleus of thalamus,0.6139,needs_review,HOMBA:10420,ventral lateral nucleus of thalamus,0.88,needs_review
species,Justaparaventricular Lateral Hypothalamus,llm_accept_top1,HOMBA:13337,HOMBA:13337,accessory secretory cells of lateral hypothalamus,0.6102,needs_review,HOMBA:13337,accessory secretory cells of lateral hypothalamus,0.6102,needs_review
species,Centromedial-parafascicular Thalamus,llm_accept_top1,HOMBA:10448,HOMBA:10448,caudal intralaminar nuclei of thalamus,0.6083,needs_review,HOMBA:10448,caudal intralaminar nuclei of thalamus,0.6083,needs_review
species,Central Gray Nucleus,llm_accept_top1,HOMBA:146034964,HOMBA:146034964,central gray region of pons,0.6116,needs_review,HOMBA:146034964,central gray region of pons,0.6116,needs_review
species,"Frontal orbital cortex, posterior",llm_accept_top1,HOMBA:10194,HOMBA:10194,orbital frontal cortex,0.6246,needs_review,HOMBA:10194,orbital frontal cortex,0.6246,needs_review
species,Peduncular Lateral Hypothalamus,llm_accept_top1,HOMBA:13337,HOMBA:13337,accessory secretory cells of lateral hypothalamus,0.6271,needs_review,HOMBA:13337,accessory secretory cells of lateral hypothalamus,0.627,needs_review
species,Basolateral amygdaloid nucleus (dorsal),llm_accept_top1,HOMBA:10368,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6179,needs_review,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6179,needs_review
species,Basolateral amygdaloid nucleus (intermediate),llm_accept_top1,HOMBA:10368,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6179,needs_review,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6179,needs_review
species,Basolateral amygdaloid nucleus (ventral),llm_accept_top1,HOMBA:10368,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6179,needs_review,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6179,needs_review
species,"Striate cortex, dorsolateral, inferior",llm_accept_top1,HOMBA:10269,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",0.635,needs_review,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",0.635,needs_review
species,"Striate cortex, dorsolateral, superior",llm_accept_top1,HOMBA:10269,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",0.635,needs_review,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",0.635,needs_review
species,Zona Incerta and Lenticular Fascicles,llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.6377,needs_review,HOMBA:10463,zona incerta,0.6377,needs_review
species,"Zona incerta, A11 dopamine cells",llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.6491,needs_review,HOMBA:10463,zona incerta,0.6491,needs_review
species,"Zona incerta, A13 dopamine cells",llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.6491,needs_review,HOMBA:10463,zona incerta,0.6491,needs_review
species,Alveus of the hippocampus,llm_accept_top1,HOMBA:AA30093,HOMBA:AA30093,hippocampus,0.6511,needs_review,HOMBA:AA30093,hippocampus,0.6511,needs_review
species,Paraventricular Hypothalamus,llm_accept_top1,HOMBA:10476,HOMBA:10476,paraventricular nucleus of hypothalamus,0.6362,needs_review,HOMBA:10476,paraventricular nucleus of hypothalamus,0.6362,needs_review
species,Corticofugal tract and corona radiata,llm_accept_top1,HOMBA:12030,HOMBA:12030,corona radiata,0.6558,needs_review,HOMBA:12030,corona radiata,0.6558,needs_review
species,"Zona incerta, ventral part",llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.659,needs_review,HOMBA:10463,zona incerta,0.659,needs_review
species,Retromammillary Hypothalamus,llm_accept_top1,HOMBA:10467,HOMBA:10467,hypothalamus,0.6505,needs_review,HOMBA:10467,hypothalamus,0.6505,needs_review
species,Vestibular nerve,llm_accept_top1,HOMBA:12868,HOMBA:12868,root of vestibulocochlear nerve,0.6552,needs_review,HOMBA:12868,root of vestibulocochlear nerve,0.6553,needs_review
species,"Zona incerta, caudal part",llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.6678,needs_review,HOMBA:10463,zona incerta,0.6678,needs_review
species,"Zona incerta, dorsal part",llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.6678,needs_review,HOMBA:10463,zona incerta,0.6678,needs_review
species,Temporal association cortex,llm_accept_top1,HOMBA:10235,HOMBA:10235,temporal cortex,0.6699,needs_review,HOMBA:10235,temporal cortex,0.6699,needs_review
species,Ventromedial Posterior+basal Thalamus,llm_accept_top1,HOMBA:10423,HOMBA:10423,ventral posterior nuclear complex of thalamus,0.6787,needs_review,HOMBA:10423,ventral posterior nuclear complex of thalamus,0.7211,needs_review
species,Cochlear nerve,llm_accept_top1,HOMBA:12868,HOMBA:12868,root of vestibulocochlear nerve,0.6835,needs_review,HOMBA:12868,root of vestibulocochlear nerve,0.6835,needs_review
species,Deeper layers of the superior colliculus,llm_accept_top1,HOMBA:12292,HOMBA:12292,superior colliculus,0.6842,needs_review,HOMBA:12292,superior colliculus,0.6843,needs_review
species,Lamina terminalis and vascular organ,llm_accept_top1,HOMBA:12105,HOMBA:12105,lamina terminalis,0.6903,needs_review,HOMBA:12105,lamina terminalis,0.6903,needs_review
species,"Posterior thalamic nuclear group, triangular part",llm_accept_top1,HOMBA:10440,HOMBA:10440,posterior nucleus of thalamus,0.6889,needs_review,HOMBA:10440,posterior nucleus of thalamus,0.6889,needs_review
species,Parietal opercular cortex,llm_accept_top1,HOMBA:10208,HOMBA:10208,parietal cortex,0.698,needs_review,HOMBA:10208,parietal cortex,0.698,needs_review
species,Intra-amygdaloid division of the bed nucleus of the stria terminalis,llm_accept_top1,HOMBA:10384,HOMBA:10384,bed nucleus of stria terminalis,0.6893,needs_review,HOMBA:10384,bed nucleus of stria terminalis,0.6893,needs_review
species,Zona incerta and H fields,llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.7155,needs_review,HOMBA:10463,zona incerta,0.7156,needs_review
species,"Parietal association cortex, medial area",llm_accept_top1,HOMBA:10215,HOMBA:10215,superior medial parietal cortex,0.7062,needs_review,HOMBA:10215,superior medial parietal cortex,0.7062,needs_review
species,"Anterior commissure, anterior limb",llm_accept_top1,HOMBA:10388,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.7094,needs_review,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.7094,needs_review
species,"Parietal association cortex, lateral area",llm_accept_top1,HOMBA:10225,HOMBA:10225,inferior lateral parietal cortex,0.7079,needs_review,HOMBA:10225,inferior lateral parietal cortex,0.7079,needs_review
species,Anterior pituitary,llm_accept_top1,HOMBA:10505,HOMBA:10505,pituitary body/gland (hypophysis),0.7081,needs_review,HOMBA:AA30782,anterior lobe of pituitary body (adenohypophysis),0.6281,needs_review
species,Pontine Reticulum Caudal,llm_accept_top1,HOMBA:12493,HOMBA:12493,"pontine reticular nucleus, caudal division",0.7128,needs_review,HOMBA:12493,"pontine reticular nucleus, caudal division",0.7128,needs_review
species,Molecular cell layer of the cerebellum,llm_accept_top1,HOMBA:AA30427,HOMBA:AA30427,molecular layer of cerebellar cortex,0.724,needs_review,HOMBA:AA30427,molecular layer of cerebellar cortex,0.724,needs_review
species,Pontine Reticulum Oral,llm_accept_top1,HOMBA:12494,HOMBA:12494,"pontine reticular nucleus, rostral division",0.7272,needs_review,HOMBA:12494,"pontine reticular nucleus, rostral division",0.7272,needs_review
species,Intraamygdaloid Stria Terminalis,llm_accept_top1,HOMBA:10591,HOMBA:10591,stria terminalis,0.7466,needs_review,HOMBA:10591,stria terminalis,0.7466,needs_review
species,"Zona incerta, rostral part",llm_accept_top1,HOMBA:10463,HOMBA:10463,zona incerta,0.7489,needs_review,HOMBA:10463,zona incerta,0.7489,needs_review
species,Basolateral Intermediate Amygdaloid Nucleus,llm_accept_top1,HOMBA:10366,HOMBA:10366,basolateral nuclear group of amygdala,0.7408,needs_review,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,0.6608,needs_review
species,Paralaminar amygdaloid nucleus,llm_accept_top1,HOMBA:10370,HOMBA:10370,paralaminar nucleus of amygdala,0.7368,needs_review,HOMBA:10370,paralaminar nucleus of amygdala,0.7368,needs_review
species,"Medial geniculate body, medial division",llm_accept_top1,HOMBA:10439,HOMBA:10439,medial division of medial geniculate nucleus,0.7527,needs_review,HOMBA:10439,medial division of medial geniculate nucleus,0.7527,needs_review
species,Peduncular lateral hypothalamic nucleus,llm_accept_top1,HOMBA:13070,HOMBA:13070,magnocellular nucleus of lateral hypothalamic area,0.744,needs_review,HOMBA:13070,magnocellular nucleus of lateral hypothalamic area,0.744,needs_review
species,Posterior pituitary,llm_accept_top1,HOMBA:AA30783,HOMBA:AA30783,posterior lobe of pituitary body (neurohypophysis),0.7521,needs_review,HOMBA:AA30783,posterior lobe of pituitary body (neurohypophysis),0.7522,needs_review
species,Ventral Lateral Posterodorsal Thalamus,llm_accept_top1,HOMBA:10420,HOMBA:10420,ventral lateral nucleus of thalamus,0.7558,needs_review,HOMBA:10420,ventral lateral nucleus of thalamus,0.7558,needs_review
species,Ventral Lateral Posteroventral Thalamus,llm_accept_top1,HOMBA:10420,HOMBA:10420,ventral lateral nucleus of thalamus,0.7648,needs_review,HOMBA:10420,ventral lateral nucleus of thalamus,0.7648,needs_review
species,"Medial geniculate body, ventral division",llm_accept_top1,HOMBA:10438,HOMBA:10438,ventral (caudal) division of medial geniculate nucleus,0.7721,needs_review,HOMBA:10438,ventral (caudal) division of medial geniculate nucleus,0.7721,needs_review
species,Superior cerebellar peduncle and prerubral field,llm_accept_top1,HOMBA:12354,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),0.7759,needs_review,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),0.7759,needs_review
species,"Anterior commissure, posterior limb",llm_accept_top1,HOMBA:10388,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.7693,needs_review,HOMBA:10388,interstitial nucleus of posterior limb of anterior commissure (fundus of striatum),0.7693,needs_review
species,"Parietal association cortex, posterior area",llm_accept_top1,HOMBA:10214,HOMBA:10214,posterior parietal cortex,0.7726,needs_review,HOMBA:10214,posterior parietal cortex,0.7726,needs_review
species,"Frontal orbital cortex, anterior",llm_accept_top1,HOMBA:10161,HOMBA:10161,frontal cortex,0.7983,needs_review,HOMBA:10194,orbital frontal cortex,0.7184,needs_review
species,Cuneate Gracile Nuclei,llm_accept_top1,HOMBA:12587,HOMBA:12587,sensory relay nuclei in medulla oblongata,0.8052,needs_review,HOMBA:12592,gracile nucleus,0.7252,needs_review
species,Retrosplenial granular area,llm_accept_top1,HOMBA:10325,HOMBA:10325,"granular retrosplenial cortex (area 29, RSg)",0.8155,needs_review,HOMBA:10325,"granular retrosplenial cortex (area 29, RSg)",0.8155,needs_review
species,"Basal forebrain region, unspecified",llm_accept_top1,HOMBA:10349,HOMBA:10349,basal forebrain,0.7838,needs_review,HOMBA:10349,basal forebrain,0.7745,needs_review
species,"Medial geniculate body, marginal zone",llm_accept_top1,HOMBA:266441523,HOMBA:266441523,marginal zone of medial geniculate nucleus,0.8085,needs_review,HOMBA:266441523,marginal zone of medial geniculate nucleus,0.8085,needs_review
species,Medial geniculate complex (marginal zone),llm_accept_top1,HOMBA:266441523,HOMBA:266441523,marginal zone of medial geniculate nucleus,0.8091,needs_review,HOMBA:266441523,marginal zone of medial geniculate nucleus,0.8091,needs_review
species,"Medial geniculate body, suprageniculate nucleus",llm_accept_top1,HOMBA:10434,HOMBA:10434,medial geniculate nucleus,0.8202,needs_review,HOMBA:10434,medial geniculate nucleus,0.8202,needs_review
species,Posterior Interstitial Nucleus,llm_accept_top1,HOMBA:12194,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.806,needs_review,HOMBA:12194,interstitial nucleus of posterior commissure (nucleus of posterior commissure),0.806,needs_review
species,"Precentral gyrus, medial/supplementary motor area",llm_accept_top1,HOMBA:AA30012,HOMBA:AA30012,medial division of area 6 (supplementary motor area),0.8278,needs_review,HOMBA:AA30012,medial division of area 6 (supplementary motor area),0.8278,needs_review
species,"External medullary lamina, unspecified",llm_accept_top1,HOMBA:12038,HOMBA:12038,external medullary lamina of thalamus,0.8336,needs_review,HOMBA:12038,external medullary lamina of thalamus,0.8336,needs_review
species,Spinal Trigeminal Nucleus Oral,llm_accept_top1,HOMBA:12447,HOMBA:12447,"spinal nucleus of trigeminal nerve, rostral subnucleus",0.8523,needs_review,HOMBA:12447,"spinal nucleus of trigeminal nerve, rostral subnucleus",0.8523,needs_review
species,Copula of the Pyramis,llm_accept_top1,HOMBA:AA30418,HOMBA:AA30418,"lobule VIIIB (biventral lobule, part 2, copula pyramis)",0.7911,needs_review,HOMBA:AA30418,"lobule VIIIB (biventral lobule, part 2, copula pyramis)",0.7911,needs_review
species,Ventromedial occipital cortex,llm_accept_top1,HOMBA:10270,HOMBA:10270,extrastriate occipital cortex,0.8636,needs_review,HOMBA:AA30826,ventromedial extrastriate occipital cortex,0.7836,needs_review
species,Lateral Dorsal Thalamus,llm_accept_top1,HOMBA:10396,HOMBA:10396,lateral dorsal nucleus of thalamus,0.8669,needs_review,HOMBA:10391,dorsal thalamus,0.9033,modifier_conflict
species,Pyramidal Tract Decussation,llm_accept_top1,HOMBA:12772,HOMBA:12772,pyramidal decussation,0.8958,needs_review,HOMBA:12772,pyramidal decussation,0.8954,needs_review
species,Lateral Dorsal Tegmentum,llm_accept_top1,HOMBA:AA30457,HOMBA:AA30457,lateral cell group of medulla tegmentum,0.5697,modifier_conflict,HOMBA:AA30451,dorsal cell group of medulla tegmentum,0.5593,modifier_conflict
species,Ventroposterior Medial and Lateral Thalamus,llm_accept_top1,HOMBA:10420,HOMBA:10420,ventral lateral nucleus of thalamus,0.588,modifier_conflict,HOMBA:10408,lateral posterior nucleus of thalamus,0.6275,modifier_conflict
species,Posterior thalamic nuclear group (triangular part),llm_accept_top1,HOMBA:10440,HOMBA:10440,posterior nucleus of thalamus,0.6289,modifier_conflict,HOMBA:10440,posterior nucleus of thalamus,0.6289,modifier_conflict
species,Ventromedial thalamic nucleus (posterior and basal),llm_accept_top1,HOMBA:10423,HOMBA:10440,posterior nucleus of thalamus,0.7021,modifier_conflict,HOMBA:10427,ventral medial nucleus of thalamus,0.88,needs_review
species,Lateral Dorsal Amygdaloid Nucleus,llm_accept_top1,HOMBA:10367,HOMBA:10367,lateral nucleus of amygdala,0.7036,modifier_conflict,HOMBA:146034710,dorsal division of anterior amygdaloid area,0.5707,modifier_conflict
species,"Dorsal cochlear nucleus, fusiform and granule layer",llm_accept_top1,HOMBA:12438,HOMBA:12438,dorsal cochlear nucleus,0.732,modifier_conflict,HOMBA:12438,dorsal cochlear nucleus,0.732,modifier_conflict
species,Ventral Lateral Anterior Thalamus,llm_accept_top1,HOMBA:10417,HOMBA:10417,ventral anterior nucleus of thalamus,0.7334,modifier_conflict,HOMBA:10417,ventral anterior nucleus of thalamus,0.7334,modifier_conflict
species,"Ventral posterior nucleus of the thalamus, parvicellular part",llm_accept_top1,HOMBA:AA30312,HOMBA:AA30312,parvicellular nucleus of posterior thalamus,0.7633,modifier_conflict,HOMBA:AA30312,parvicellular nucleus of posterior thalamus,0.7634,modifier_conflict
species,External globus pallidus (lateral part),llm_accept_top1,HOMBA:10343,HOMBA:10343,external division of globus pallidus,0.8262,modifier_conflict,HOMBA:10343,external division of globus pallidus,0.8262,modifier_conflict
species,External globus pallidus (medial part),llm_accept_top1,HOMBA:10343,HOMBA:10343,external division of globus pallidus,0.8262,modifier_conflict,HOMBA:10343,external division of globus pallidus,0.8262,modifier_conflict
species,Ventral Lateral X Thalamus,llm_accept_top1,HOMBA:10420,HOMBA:10420,ventral lateral nucleus of thalamus,0.4439,low_confidence,HOMBA:10420,ventral lateral nucleus of thalamus,0.4438,low_confidence
species,Fields of Forel,llm_accept_top1,HOMBA:10462,HOMBA:10462,nucleus of the field of Forel,0.454,low_confidence,HOMBA:10462,nucleus of the field of Forel,0.454,low_confidence
species,Subcallosal cortex,llm_accept_top1,HOMBA:10281,HOMBA:10281,subgenual (subcallosal) cingulate cortex (area 25),0.4919,low_confidence,HOMBA:10281,subgenual (subcallosal) cingulate cortex (area 25),0.4919,low_confidence
species,Ventrolateral Tegmentum,llm_accept_top1,HOMBA:12416,HOMBA:12416,pontine tegmentum,0.5082,low_confidence,HOMBA:12416,pontine tegmentum,0.5082,low_confidence
species,Centromedian and parafascicular thalamic complex,llm_accept_top1,HOMBA:10450,HOMBA:10450,parafascicular nucleus of thalamus,0.5068,low_confidence,HOMBA:10450,parafascicular nucleus of thalamus,0.5069,low_confidence
species,Ventrolateral orbital area,llm_accept_top1,HOMBA:AA30533,HOMBA:AA30533,orbital gyri,0.5172,low_confidence,HOMBA:AA30533,orbital gyri,0.5571,low_confidence
species,Trapezoid Bundle Region,llm_accept_top1,HOMBA:12796,HOMBA:12796,trapezoid body,0.5288,low_confidence,HOMBA:12796,trapezoid body,0.5289,low_confidence
species,Superior periolivary region,llm_accept_top1,HOMBA:12462,HOMBA:12462,superior olivary complex,0.5311,low_confidence,HOMBA:12462,superior olivary complex,0.5311,low_confidence
species,Prelimbic area,llm_accept_top1,HOMBA:10280,HOMBA:10280,"pregenual cingulate  cortex (area 32, prelimbic cortex)",0.528,low_confidence,HOMBA:10280,"pregenual cingulate  cortex (area 32, prelimbic cortex)",0.528,low_confidence
species,Infralimbic area,llm_accept_top1,HOMBA:AA30037,HOMBA:AA30037,rostrodorsal division of A25 (infralimbic cortex),0.5474,low_confidence,HOMBA:AA30037,rostrodorsal division of A25 (infralimbic cortex),0.5474,low_confidence
species,Peri-basal region,llm_accept_top1,HOMBA:10349,HOMBA:10349,basal forebrain,0.5525,low_confidence,HOMBA:10349,basal forebrain,0.5525,low_confidence
species,Paraventricular Posterior Thalamus,llm_accept_top1,HOMBA:10457,HOMBA:10457,paraventricular nucleus of thalamus,0.5627,low_confidence,HOMBA:10457,paraventricular nucleus of thalamus,0.5627,low_confidence
species,Paraventricular Anterior Thalamus,llm_accept_top1,HOMBA:10457,HOMBA:10457,paraventricular nucleus of thalamus,0.5714,low_confidence,HOMBA:10457,paraventricular nucleus of thalamus,0.5714,low_confidence
species,"Secondary visual area, lateral part",llm_accept_top1,HOMBA:AA30827,HOMBA:AA30827,"ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",0.5737,low_confidence,HOMBA:AA30827,"ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",0.5737,low_confidence
species,"Secondary visual area, medial part",llm_accept_top1,HOMBA:AA30823,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.575,low_confidence,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.575,low_confidence
corpus,Lateral intraparietal area (dorsal),llm_reject_top1,,HOMBA:12227,"dorsal raphe nucleus, lateral division",0.6014,needs_review,HOMBA:267498979,lateral subdivision of area 7,0.5793,modifier_conflict
corpus,Prefrontal area 46,llm_out_of_scope_for_rcs,,HOMBA:10184,"rostroventral division of DFC (area 46, DFCv)",0.6292,needs_review,HOMBA:10184,"rostroventral division of DFC (area 46, DFCv)",0.6292,needs_review
corpus,Posterior opercular area POS2,llm_reject_top1,,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,0.6392,needs_review,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,0.5,low_confidence
corpus,Ventral intraparietal area,llm_reject_top1,,HOMBA:12261,ventral tegmental area,0.6667,needs_review,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,0.5,low_confidence
