graph_order,unified_ontology_id,unified_ontology_acronym,unified_ontology_name,unified_ontology_label_value,DHBA_name,DHBA_acronym,DHBA_id,r,g,b,hierarchy and full names_y,Unnamed: 2_y,Unnamed: 3_y,Unnamed: 4_y,Unnamed: 5_y,Unnamed: 6_y,Unnamed: 7_y,Unnamed: 8_y,Unnamed: 9_y,Unnamed: 10_y,Unnamed: 11_y,Unnamed: 12_y,Unnamed: 13_y,Unnamed: 14_y,Unnamed: 15_y,parent_identifier,parent
27,HOMBA:10870,A46v,ventral subdivision of area 46,527,ventral subdivision of area 46,A46v,10870.0,0,130,200,,,,,,,,,,,,,ventral subdivision of area 46,,,HOMBA:10184,25.0
28,HOMBA:10185,VFC,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),528,ventrolateral prefrontal cortex,VFC,10185.0,0,130,200,,,,,,,,,,,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),,,,,HOMBA:10172,9.0
29,HOMBA:10186,A44,caudal division of VFC (area 44),529,caudal portion of VFC (area 44),A44,10186.0,179,81,194,,,,,,,,,,,,caudal division of VFC (area 44),,,,HOMBA:10185,28.0
30,HOMBA:266441105,A44d,dorsal subdivision of area 44,530,dorsal subdivision of area 44,A44d,266441105.0,255,225,25,,,,,,,,,,,,,dorsal subdivision of area 44,,,HOMBA:10186,29.0
31,HOMBA:266441133,A44v,ventral subdivision of area 44,531,ventral subdivision of area 44,A44v,266441133.0,167,79,79,,,,,,,,,,,,,ventral subdivision of area 44,,,HOMBA:10186,29.0
32,HOMBA:266441161,A44op,opercular subdivision of area 44,532,opercular subdivision of area 44,A44op,266441161.0,240,95,70,,,,,,,,,,,,,opercular subdivision of area 44,,,HOMBA:10186,29.0
33,HOMBA:10187,A45,rostral division of VFC (area 45),533,rostral portion of VFC (area 45),A45,10187.0,70,240,240,,,,,,,,,,,,rostral division of VFC (area 45),,,,HOMBA:10185,28.0
34,HOMBA:10188,A45r,rostral subdivision of A45,534,rostral subdivision of A45,A45r,10188.0,255,215,180,,,,,,,,,,,,,rostral subdivision of A45,,,HOMBA:10187,33.0
35,HOMBA:10189,A45c,caudal subdivision of A45,535,caudal subdivision of A45,A45c,10189.0,212,175,133,,,,,,,,,,,,,caudal subdivision of A45,,,HOMBA:10187,33.0
36,HOMBA:266441189,A45op,opercular subdivision of A45,536,opercular subdivision of A45,A45op,266441189.0,255,250,200,,,,,,,,,,,,,opercular subdivision of A45,,,HOMBA:10187,33.0
37,HOMBA:10194,OFC,orbital frontal cortex,537,orbital frontal cortex,OFC,10194.0,128,0,0,,,,,,,,,,orbital frontal cortex,,,,,,HOMBA:10161,8.0
38,HOMBA:10195,A14,medial orbital frontal cortex (area 14),538,medial orbital frontal cortex (area 14),OFCm,10195.0,220,190,255,,,,,,,,,,,medial orbital frontal cortex (area 14),,,,,HOMBA:10194,37.0
39,HOMBA:10196,A14r,rostral subdivision of area 14,539,rostral subdivision of area 14,A14r,10196.0,0,128,128,,,,,,,,,,,,rostral subdivision of area 14,,,,HOMBA:10195,38.0
40,HOMBA:10197,A14c,caudal subdivision of area 14,540,caudal subdivision of area 14,A14c,10197.0,60,180,75,,,,,,,,,,,,caudal subdivision of area 14,,,,HOMBA:10195,38.0
41,HOMBA:10198,OFCi,"intermediate orbital frontal cortex (OFCi, area 11/13)",541,intermediate orbital frontal cortex,OFCi,10198.0,145,30,180,,,,,,,,,,,"intermediate orbital frontal cortex (OFCi, area 11/13)",,,,,HOMBA:10194,37.0
42,HOMBA:10199,A11,rostral intermediate orbital frontal cortex (area 11),542,rostral division of OFCi (area 11),A11,10199.0,255,225,25,,,,,,,,,,,,rostral intermediate orbital frontal cortex (area 11),,,,HOMBA:10198,41.0
43,HOMBA:10200,A11m,medial subdivision of area 11,543,medial subdivision of area 11,A11m,10200.0,255,225,25,,,,,,,,,,,,,medial subdivision of area 11,,,HOMBA:10199,42.0
44,HOMBA:10201,A11l,lateral subdivision of area 11,544,lateral subdivision of area 11,A11l,10201.0,0,128,128,,,,,,,,,,,,,lateral subdivision of area 11,,,HOMBA:10199,42.0
45,HOMBA:10202,A13,caudal intermediate orbital frontal cortex (area 13),545,caudal division of OFCi (area 13),A13,10202.0,60,180,75,,,,,,,,,,,,caudal intermediate orbital frontal cortex (area 13),,,,HOMBA:10198,41.0
46,HOMBA:10203,A13m,medial subdivision of area 13,546,medial subdivision of area 13,A13m,10203.0,160,175,234,,,,,,,,,,,,,medial subdivision of area 13,,,HOMBA:10202,45.0
47,HOMBA:10204,A13l,lateral subdivision of area 13,547,lateral subdivision of area 13,A13l,10204.0,170,255,195,,,,,,,,,,,,,lateral subdivision of area 13,,,HOMBA:10202,45.0
48,HOMBA:10205,A47,"lateral orbital frontal cortex (OFCl, area 12/47)",548,lateral orbital frontal cortex (area 12/47),OFCl,10205.0,255,225,25,,,,,,,,,,,"lateral orbital frontal cortex (OFCl, area 12/47)",,,,,HOMBA:10194,37.0
49,HOMBA:AA30002,A47r,rostral subdivision of area 12/47,549,,,,198,188,121,,,,,,,,,,,,rostral subdivision of area 12/47,,,,HOMBA:10205,48.0
50,HOMBA:AA30003,A47c,caudal subdivision of area 12/47,550,,,,145,30,180,,,,,,,,,,,,caudal subdivision of area 12/47,,,,HOMBA:10205,48.0
51,HOMBA:10206,A47m,medial part of area 12/47,551,medial subdivision of area 12/47,A12/47m,10206.0,145,30,180,,,,,,,,,,,,,medial part of area 12/47,,,HOMBA:AA30003,50.0
52,HOMBA:10207,A47l,lateral part of area 12/47,552,lateral subdivision of area 12/47,A12/47l,10207.0,203,53,155,,,,,,,,,,,,,lateral part of area 12/47,,,HOMBA:AA30003,50.0
53,HOMBA:AA30004,GuO,orbital gustatory cortex ,553,,,,170,255,195,,,,,,,,,,,orbital gustatory cortex ,,,,,HOMBA:10194,37.0
54,HOMBA:AA30005,OFI,orbitofrontal insular cortex,554,,,,255,215,180,,,,,,,,,,orbitofrontal insular cortex,,,,,,HOMBA:10161,8.0
55,HOMBA:AA30006,OFIm,medial division of orbitofrontal insular cortex,555,,,,210,245,60,,,,,,,,,,,medial division of orbitofrontal insular cortex,,,,,HOMBA:AA30005,54.0
56,HOMBA:AA30007,OFIi,intermediate division of orbitofrontal insular cortex,556,,,,230,25,75,,,,,,,,,,,intermediate division of orbitofrontal insular cortex,,,,,HOMBA:AA30005,54.0
57,HOMBA:AA30008,OFIl,lateral division of orbitofrontal insular cortex,557,,,,128,0,0,,,,,,,,,,,lateral division of orbitofrontal insular cortex,,,,,HOMBA:AA30005,54.0
58,HOMBA:AA30009,MoC,frontal motor cortex (posterior frontal cortex),558,,,,128,128,0,,,,,,,,,,frontal motor cortex (posterior frontal cortex),,,,,,HOMBA:10161,8.0
59,HOMBA:10163,M1,"primary motor cortex (first motor cortex, area 4, area FA)",559,"primary motor cortex (area M1, area 4)",M1C,10163.0,170,255,195,,,,,,,,,,,"primary motor cortex (first motor cortex, area 4, area FA)",,,,,HOMBA:AA30009,58.0
60,HOMBA:10167,M1ll,lower limb region of M1,2354,lower limb region of M1,M1lm,10167.0,255,225,25,,,,,,,,,,,,lower limb region of M1,,,,HOMBA:10163,59.0
61,HOMBA:10166,M1tr,trunk region of M1,2355,trunk region of M1,M1tr,10166.0,128,128,128,,,,,,,,,,,,trunk region of M1,,,,HOMBA:10163,59.0
62,HOMBA:10165,M1ul,upper limb regions of M1,2356,upper limb region of M1,M1ul,10165.0,145,30,180,,,,,,,,,,,,upper limb regions of M1,,,,HOMBA:10163,59.0
63,HOMBA:AA30809,M1fm,face-mouth region of M1,2357,,,,0,128,128,,,,,,,,,,,,face-mouth region of M1,,,,HOMBA:10163,59.0
64,HOMBA:AA30810,M1tp,tongue-pharynx region of M1,2358,,,,128,0,0,,,,,,,,,,,,tongue-pharynx region of M1,,,,HOMBA:10163,59.0
65,HOMBA:10168,A6,"premotor cortex (area 6, area FB, secondary motor cortex)",560,premotor cortex (area 6),PMC,10168.0,245,130,48,,,,,,,,,,,"premotor cortex (area 6, area FB, secondary motor cortex)",,,,,HOMBA:AA30009,58.0
66,HOMBA:10169,A6ld,laterodorsal division of area 6,561,laterodorsal subdivision of area 6,A6ld,10169.0,60,152,180,,,,,,,,,,,,laterodorsal division of area 6,,,,HOMBA:10168,65.0
67,HOMBA:AA30010,FEF,frontal eye field of promotor cortex,562,,,,255,225,25,,,,,,,,,,,,,frontal eye field of promotor cortex,,,HOMBA:10169,66.0
68,HOMBA:AA30011,A55b,area 55b of promotor cortex,563,,,,170,255,195,,,,,,,,,,,,,area 55b of promotor cortex,,,HOMBA:10169,66.0
69,HOMBA:10170,A6lv,lateroventral division of area 6,564,lateroventral subdivision of area 6,A6lv,10170.0,70,240,240,,,,,,,,,,,,lateroventral division of area 6,,,,HOMBA:10168,65.0
70,HOMBA:AA30012,SMA,medial division of area 6 (supplementary motor area),565,,,,240,50,230,,,,,,,,,,,,medial division of area 6 (supplementary motor area),,,,HOMBA:10168,65.0
71,HOMBA:266441217,A6mv,medioventral division of area 6,566,area 6/32,A6/32,266441217.0,255,225,25,,,,,,,,,,,,medioventral division of area 6,,,,HOMBA:10168,65.0
72,HOMBA:10208,PCx,parietal cortex,567,parietal neocortex,PCx,10208.0,60,180,75,,,,,,,,,parietal cortex,,,,,,,HOMBA:AA30001,7.0
73,HOMBA:10209,S1,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",568,"primary somatosensory cortex (area S1, areas 3,1,2)",S1C,10209.0,0,130,200,,,,,,,,,,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",,,,,,HOMBA:10208,72.0
74,HOMBA:AA30811,S1sa,subareas of primary somatosensory cortex,2359,,,,170,255,195,,,,,,,,,,,subareas of primary somatosensory cortex,,,,,HOMBA:10209,73.0
75,HOMBA:AA30013,S1A3,area 3 of primary somatosensory cortex,569,,,,210,245,60,,,,,,,,,,,,area 3 of primary somatosensory cortex,,,,HOMBA:AA30811,74.0
76,HOMBA:AA30812,S1A3a,rostral region of area 3,2360,,,,245,130,48,,,,,,,,,,,,,rostral region of area 3,,,HOMBA:AA30013,75.0
77,HOMBA:AA30813,S1A3b,caudal region of area 3,2361,,,,145,30,180,,,,,,,,,,,,,caudal region of area 3,,,HOMBA:AA30013,75.0
78,HOMBA:AA30014,S1A1,area 1 of primary somatosensory cortex,570,,,,145,30,180,,,,,,,,,,,,area 1 of primary somatosensory cortex,,,,HOMBA:AA30811,74.0
79,HOMBA:AA30015,S1A2,area 2 of primary somatosensory cortex,571,,,,0,0,128,,,,,,,,,,,,area 2 of primary somatosensory cortex,,,,HOMBA:AA30811,74.0
80,HOMBA:AA30814,S1sm,somatotopy of primary somatosensory cortex,2362,,,,60,180,75,,,,,,,,,,,somatotopy of primary somatosensory cortex,,,,,HOMBA:10209,73.0
81,HOMBA:10213,S1ll,lower limb region of S1,2363,lower limb region of S1,S1lm,10213.0,128,128,128,,,,,,,,,,,,lower limb region of S1,,,,HOMBA:AA30814,80.0
82,HOMBA:10212,S1tr,trunk region of S1 ,2364,trunk region of S1,S1tr,10212.0,170,255,195,,,,,,,,,,,,trunk region of S1 ,,,,HOMBA:AA30814,80.0
83,HOMBA:10211,S1ul,upper limb regions of S1,2365,upper limb region of S1,S1ul,10211.0,255,225,25,,,,,,,,,,,,upper limb regions of S1,,,,HOMBA:AA30814,80.0
84,HOMBA:AA30815,S1fm,face-mouth region of S1 ,2366,,,,128,128,128,,,,,,,,,,,,face-mouth region of S1 ,,,,HOMBA:AA30814,80.0
85,HOMBA:AA30880,S1bf,barrel field of S1fm (rodents),2513,,,,60,180,75,,,,,,,,,,,,,barrel field of S1fm (rodents),,,HOMBA:AA30815,84.0
86,HOMBA:AA30816,S1tf,tongue-pharynx region of S1,2367,,,,145,30,180,,,,,,,,,,,,tongue-pharynx region of S1,,,,HOMBA:AA30814,80.0
87,HOMBA:13010,A43,subcentral cortex (area 43; secondary somatosensory cortex),572,"subcentral cortex (gustatory cortex, area 43)",ScC,13010.0,198,110,110,,,,,,,,,,subcentral cortex (area 43; secondary somatosensory cortex),,,,,,HOMBA:10208,72.0
88,HOMBA:AA30016,A43r,rostral division of subcentral cortex (area 43),573,,,,245,130,48,,,,,,,,,,,rostral division of subcentral cortex (area 43),,,,,HOMBA:13010,87.0
89,HOMBA:AA30017,A43c,caudal division of subcentral cortex (area 43),574,,,,170,255,195,,,,,,,,,,,caudal division of subcentral cortex (area 43),,,,,HOMBA:13010,87.0
90,HOMBA:10214,PPC,posterior parietal cortex,575,posterior parietal cortex,PoPC,10214.0,170,110,40,,,,,,,,,,posterior parietal cortex,,,,,,HOMBA:10208,72.0
91,HOMBA:10215,SPC,superior medial parietal cortex,576,posterodorsal (superior) parietal cortex,SPC,10215.0,60,180,75,,,,,,,,,,,superior medial parietal cortex,,,,,HOMBA:10214,90.0
92,HOMBA:10216,A5,"rostral division of SPC (area 5, area PE)",577,rostral division of SPC (area 5),A5,10216.0,170,110,40,,,,,,,,,,,,"rostral division of SPC (area 5, area PE)",,,,HOMBA:10215,91.0
93,HOMBA:10217,A5ci,cingulate subdivision of area 5,578,cingulate subdivision of area 5,A5ci,10217.0,145,30,180,,,,,,,,,,,,,cingulate subdivision of area 5,,,HOMBA:10216,92.0
94,HOMBA:10218,A5l,lateral subdivision of area 5,579,lateral subdivision of area 5,A5l,10218.0,128,128,0,,,,,,,,,,,,,lateral subdivision of area 5,,,HOMBA:10216,92.0
95,HOMBA:10219,A5m,medial subdivision of area 5,580,medial subdivision of area 5,A5m,10219.0,250,190,212,,,,,,,,,,,,,medial subdivision of area 5,,,HOMBA:10216,92.0
96,HOMBA:10220,A7,"caudal division of SPC (area 7, area PEc)",581,caudal division of SPC (area 7),A7,10220.0,250,190,212,,,,,,,,,,,,"caudal division of SPC (area 7, area PEc)",,,,HOMBA:10215,91.0
97,HOMBA:10221,A7r,rostral subdivision of area 7,582,rostral subdivision of area 7,A7r,10221.0,165,200,230,,,,,,,,,,,,,rostral subdivision of area 7,,,HOMBA:10220,96.0
98,HOMBA:10222,A7m,medial subdivision of area 7,583,medial subdivision of area 7,A7m,10222.0,245,130,48,,,,,,,,,,,,,medial subdivision of area 7,,,HOMBA:10220,96.0
99,HOMBA:10223,A7c,caudal subdivision of area 7,584,caudal subdivision of area 7,A7c,10223.0,64,176,172,,,,,,,,,,,,,caudal subdivision of area 7,,,HOMBA:10220,96.0
100,HOMBA:10224,A7pc,postcentral subdivision of area 7,585,postcentral subdivision of area 7,A7pc,10224.0,60,180,75,,,,,,,,,,,,,postcentral subdivision of area 7,,,HOMBA:10220,96.0
101,HOMBA:267498979,A7l,lateral subdivision of area 7,586,intraparietal subdivision of area 7 (A7ip),A7ip,267498979.0,245,130,48,,,,,,,,,,,,,lateral subdivision of area 7,,,HOMBA:10220,96.0
102,HOMBA:267498983,A7lr,rostral part of A7l ,587,"area 7ip, rostral part (A7ipr)",A7ipr,267498983.0,170,110,40,,,,,,,,,,,,,,rostral part of A7l ,,HOMBA:267498979,101.0
103,HOMBA:267499011,A7lc,caudal part of A7l ,588,"area 7ip, caudal part (A7ipc)",A7ipc,267499011.0,128,128,128,,,,,,,,,,,,,,caudal part of A7l ,,HOMBA:267498979,101.0
104,HOMBA:10225,IPC,inferior lateral parietal cortex,589,posteroventral (inferior) parietal cortex,IPC,10225.0,0,128,128,,,,,,,,,,,inferior lateral parietal cortex,,,,,HOMBA:10214,90.0
105,HOMBA:10226,A40,"rostral division of IPC (IPCr, area 40, area PF)",590,rostral division of IPC (area 40),A40,10226.0,234,234,201,,,,,,,,,,,,"rostral division of IPC (IPCr, area 40, area PF)",,,,HOMBA:10225,104.0
106,HOMBA:10227,A40rd,rostrodorsal subdivision of area 40,591,rostrodorsal subdivision of area 40,A40rd,10227.0,255,215,180,,,,,,,,,,,,,rostrodorsal subdivision of area 40,,,HOMBA:10226,105.0
107,HOMBA:10228,A40rv,rostroventral subdivision of area 40,592,rostroventral subdivision of area 40,A40rv,10228.0,245,130,48,,,,,,,,,,,,,rostroventral subdivision of area 40,,,HOMBA:10226,105.0
108,HOMBA:10231,A40in,inferior subdivision of area 40,593,inferior subdivision of area 40,A40in,10231.0,170,255,195,,,,,,,,,,,,,inferior subdivision of area 40,,,HOMBA:10226,105.0
109,HOMBA:146034630,IPCi,"intermediate division of IPC (IPCi, area 40/39, area PFG)",594,intermediate division of IPC (area 40/39),A40/39,146034630.0,255,225,25,,,,,,,,,,,,"intermediate division of IPC (IPCi, area 40/39, area PFG)",,,,HOMBA:10225,104.0
110,HOMBA:146034634,IPCir,rostral subdivision of area 40/39,595,rostral subdivision of area 40/39,A40/39r,146034634.0,240,50,230,,,,,,,,,,,,,rostral subdivision of area 40/39,,,HOMBA:146034630,109.0
111,HOMBA:146034662,IPCic,caudal subdivision of area 40/39,596,caudal subdivision of area 40/39,A40/39c,146034662.0,0,128,128,,,,,,,,,,,,,caudal subdivision of area 40/39,,,HOMBA:146034630,109.0
112,HOMBA:10232,A39,"caudal division of IPC (IPCc, area 39, area PG)",597,caudal division of IPC (area 39),A39,10232.0,210,245,60,,,,,,,,,,,,"caudal division of IPC (IPCc, area 39, area PG)",,,,HOMBA:10225,104.0
113,HOMBA:10233,A39r,rostral subdivision of area 39,598,rostral subdivision of area 39,A39r,10233.0,128,128,0,,,,,,,,,,,,,rostral subdivision of area 39,,,HOMBA:10232,112.0
114,HOMBA:10234,A39c,caudal subdivision of area 39,599,caudal subdivision of area 39,A39c,10234.0,0,130,200,,,,,,,,,,,,,caudal subdivision of area 39,,,HOMBA:10232,112.0
115,HOMBA:AA30018,PLPC,posterior limiting parietal cortex,600,,,,250,190,212,,,,,,,,,,,posterior limiting parietal cortex,,,,,HOMBA:10214,90.0
116,HOMBA:AA30019,Opt,occipitoparietal area,601,,,,149,212,225,,,,,,,,,,,,occipitoparietal area,,,,HOMBA:AA30018,115.0
117,HOMBA:AA30020,V6,sixth visual area,602,,,,170,110,40,,,,,,,,,,,,sixth visual area,,,,HOMBA:AA30018,115.0
118,HOMBA:267499151,V6A,"sixth visual area V6 , part A ",603,area V6 of peristriate cortex (parieto-occipital area),V6A/PO,267499151.0,220,190,255,,,,,,,,,,,,,"sixth visual area V6 , part A ",,,HOMBA:AA30020,117.0
119,HOMBA:AA30819,V6Ad,dorsal part of area V6A,2368,,,,128,128,0,,,,,,,,,,,,,,dorsal part of area V6A,,HOMBA:267499151,118.0
120,HOMBA:AA30820,V6Av,ventral part of area V6A,2369,,,,0,128,128,,,,,,,,,,,,,,ventral part of area V6A,,HOMBA:267499151,118.0
121,HOMBA:AA30821,V6B,"sixth visual area V6, part B (area V6)",2370,,,,230,25,75,,,,,,,,,,,,,"sixth visual area V6, part B (area V6)",,,HOMBA:AA30020,117.0
122,HOMBA:267499179,V7,seventh visual area V7,605,area V7 of peristriate cortex ,V7,267499179.0,220,190,255,,,,,,,,,,,,seventh visual area V7,,,,HOMBA:AA30018,115.0
123,HOMBA:13323,RI,retroinsular cortex,606,retroinsular cortex,RI,13323.0,128,0,0,,,,,,,,,,,,retroinsular cortex,,,,HOMBA:AA30018,115.0
124,HOMBA:10235,TCx,temporal cortex,607,temporal neocortex,TCx,10235.0,0,0,128,,,,,,,,,temporal cortex,,,,,,,HOMBA:AA30001,7.0
125,HOMBA:13322,DLTC,dorsolateral temporal cortex,608,dorsolateral temporal neocortex,DLTC,13322.0,210,245,60,,,,,,,,,,dorsolateral temporal cortex,,,,,,HOMBA:10235,124.0
126,HOMBA:10236,Au1,"primary auditory cortex (first auditiory cortex, auditory core region)",609,primary auditory cortex (core),A1C,10236.0,79,205,216,,,,,,,,,,,"primary auditory cortex (first auditiory cortex, auditory core region)",,,,,HOMBA:13322,125.0
127,HOMBA:10237,A41,"main portion of primary auditory cortex (area TC, area 41)",610,"main portion of A1C (area TC, area 41)",A41,10237.0,60,180,75,,,,,,,,,,,,"main portion of primary auditory cortex (area TC, area 41)",,,,HOMBA:10236,126.0
128,HOMBA:10238,Au1r,rostral extension of primary auditory cortex ,611,rostral portion of A1C,A1Cr,10238.0,0,0,128,,,,,,,,,,,,rostral extension of primary auditory cortex ,,,,HOMBA:10236,126.0
129,HOMBA:10239,A42,"secondary auditory cortex (auditory belt region, area 42, area TB)",612,"secondary auditory cortex (belt, area 42)",A42,10239.0,128,128,0,,,,,,,,,,,"secondary auditory cortex (auditory belt region, area 42, area TB)",,,,,HOMBA:13322,125.0
130,HOMBA:10240,A22,superolateral temporal cortex (area 22),613,superolateral temporal cortex,SLTC,10240.0,240,50,230,,,,,,,,,,,superolateral temporal cortex (area 22),,,,,HOMBA:13322,125.0
131,HOMBA:10241,A22r,rostral division of area 22,614,anterior (rostral) superior temporal cortex (area 22r),ASTC,10241.0,210,245,60,,,,,,,,,,,,rostral division of area 22,,,,HOMBA:10240,130.0
132,HOMBA:10242,A22i,intermediate division of area 22,615,intermediate superior temporal cortex (area 22i),ISTC,10242.0,40,170,146,,,,,,,,,,,,intermediate division of area 22,,,,HOMBA:10240,130.0
133,HOMBA:10243,A22c,caudal division of area 22,616,posterior (caudal) superior temporal cortex (area 22c),STC,10243.0,170,255,195,,,,,,,,,,,,caudal division of area 22,,,,HOMBA:10240,130.0
134,HOMBA:10244,A22P,polysensory temporal cortex (area 22P),617,polysensory temporal cortex (area 22p),PSTC,10244.0,128,128,128,,,,,,,,,,,polysensory temporal cortex (area 22P),,,,,HOMBA:13322,125.0
135,HOMBA:10245,A22Pr,rostral division of area 22P,618,rostral division of 22p (area 22pr),A22pr,10245.0,170,255,195,,,,,,,,,,,,rostral division of area 22P,,,,HOMBA:10244,134.0
136,HOMBA:10246,A22Pi,intermediate division of area 22P,619,intermediate division of 22p (area 22pi),A22pi,10246.0,255,215,180,,,,,,,,,,,,intermediate division of area 22P,,,,HOMBA:10244,134.0
137,HOMBA:10247,A22Pc,caudal division of area 22P,620,caudal division of 22p (area 22pc),A22pc,10247.0,225,114,219,,,,,,,,,,,,caudal division of area 22P,,,,HOMBA:10244,134.0
138,HOMBA:10267,PI,parainsular cortex (area 52),86,parainsular cortex,PI,10267.0,107,158,96,,,,,,,,,,,parainsular cortex (area 52),,,,,HOMBA:13322,125.0
