record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,final_certainty,final_confidence,final_reason,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
10,S1,primary somatosensory cortex,Mouse,PM36446382,200,105,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,1.0,Primary somatosensory cortex is a cortical area. | Primary somatosensory cortex is a cortical area. | Primary somatosensory cortex (S1) is a cortical area.,Primary somatosensory cortex is a cortical area.,Primary somatosensory cortex is a cortical area.,Primary somatosensory cortex (S1) is a cortical area.,,,
11,CA1,CA1,Mouse,PM35843448,176,90,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"CA1 is a hippocampal subfield, part of subcortical formation. | CA1 is a hippocampal subfield, hippocampal formation is subcortical. | CA1 is a hippocampal subfield, which is subcortical.","CA1 is a hippocampal subfield, part of subcortical formation.","CA1 is a hippocampal subfield, hippocampal formation is subcortical.","CA1 is a hippocampal subfield, which is subcortical.",,,
12,NAc,nucleus accumbens,Mouse,PM37732251,172,94,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9967,"Nucleus accumbens is part of ventral striatum, a subcortical structure. | Nucleus accumbens is a subcortical basal forebrain structure (ventral striatum). | Nucleus accumbens is part of ventral striatum, a subcortical structure.","Nucleus accumbens is part of ventral striatum, a subcortical structure.",Nucleus accumbens is a subcortical basal forebrain structure (ventral striatum).,"Nucleus accumbens is part of ventral striatum, a subcortical structure.",,,
13,PFC,prefrontal cortex,Mouse,PM37660322,171,79,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9967,"Prefrontal cortex is a region of the cerebral cortex. | Prefrontal cortex is part of the cerebral cortex. | Prefrontal cortex is part of neocortex, hence cortical.",Prefrontal cortex is a region of the cerebral cortex.,Prefrontal cortex is part of the cerebral cortex.,"Prefrontal cortex is part of neocortex, hence cortical.",,,
14,PVN,paraventricular nucleus,Mouse,PM34823066,170,78,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9967,"Paraventricular nucleus is a hypothalamic nucleus, subcortical. | Paraventricular nucleus is a subcortical hypothalamic nucleus. | PVN (paraventricular nucleus) is a hypothalamic nucleus, subcortical.","Paraventricular nucleus is a hypothalamic nucleus, subcortical.",Paraventricular nucleus is a subcortical hypothalamic nucleus.,"PVN (paraventricular nucleus) is a hypothalamic nucleus, subcortical.",,,
15,SC,superior colliculus,Mouse,PM37000205,170,86,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9967,"Superior colliculus is a midbrain structure, subcortical. | Superior colliculus is a midbrain subcortical structure. | Superior colliculus is a midbrain structure, subcortical.","Superior colliculus is a midbrain structure, subcortical.",Superior colliculus is a midbrain subcortical structure.,"Superior colliculus is a midbrain structure, subcortical.",,,
16,motor cortex,motor cortex,Mouse,PM39630872,167,111,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9967,Motor cortex is a cortical area in the frontal lobe. | Motor cortex is a region of the cerebral cortex. | Motor cortex is a region of neocortex.,Motor cortex is a cortical area in the frontal lobe.,Motor cortex is a region of the cerebral cortex.,Motor cortex is a region of neocortex.,,,
17,IC,inferior colliculus,Mouse,PM41275018,162,65,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9967,"Inferior colliculus is a midbrain auditory nucleus, subcortical. | Inferior colliculus is a midbrain subcortical auditory nucleus. | Inferior colliculus is a midbrain nucleus, subcortical.","Inferior colliculus is a midbrain auditory nucleus, subcortical.",Inferior colliculus is a midbrain subcortical auditory nucleus.,"Inferior colliculus is a midbrain nucleus, subcortical.",,,
18,NTS,nucleus tractus solitarius,Mouse,PM36309763,157,91,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Brainstem nucleus, clearly subcortical. | Nucleus tractus solitarius is a brainstem nucleus, subcortical. | NTS is a brainstem nucleus, clearly subcortical.","Brainstem nucleus, clearly subcortical.","Nucleus tractus solitarius is a brainstem nucleus, subcortical.","NTS is a brainstem nucleus, clearly subcortical.",,,
19,LC,locus coeruleus,Mouse,PM33715169,149,72,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Locus coeruleus is a brainstem nucleus, subcortical. | Locus coeruleus is a brainstem nucleus, subcortical. | LC (locus coeruleus) is a brainstem nucleus, subcortical.","Locus coeruleus is a brainstem nucleus, subcortical.","Locus coeruleus is a brainstem nucleus, subcortical.","LC (locus coeruleus) is a brainstem nucleus, subcortical.",,,
20,amygdala,amygdala,Mouse,PM39103495,145,76,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,Amygdala is a subcortical gray matter structure. | Amygdala is a subcortical limbic structure. | Amygdala is a subcortical limbic structure.,Amygdala is a subcortical gray matter structure.,Amygdala is a subcortical limbic structure.,Amygdala is a subcortical limbic structure.,,,
21,BNST,bed nucleus of the stria terminalis,Mouse,PM37808816,140,78,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"BNST is a subcortical structure of the extended amygdala. | Bed nucleus of stria terminalis is part of extended amygdala, subcortical. | BNST is a subcortical basal forebrain nucleus.",BNST is a subcortical structure of the extended amygdala.,"Bed nucleus of stria terminalis is part of extended amygdala, subcortical.",BNST is a subcortical basal forebrain nucleus.,,,
22,CeA,central amygdala,Mouse,PM33421491,134,72,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Central amygdala is a subcortical nucleus. | Central amygdala is an amygdala nucleus, subcortical. | CeA (central amygdala) is part of amygdala, subcortical.",Central amygdala is a subcortical nucleus.,"Central amygdala is an amygdala nucleus, subcortical.","CeA (central amygdala) is part of amygdala, subcortical.",,,
23,LH,lateral hypothalamus,Mouse,PM42303307,134,75,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Lateral hypothalamus is a subcortical hypothalamic region. | Lateral hypothalamus is a hypothalamic region, subcortical. | LH (lateral hypothalamus) is a hypothalamic nucleus, subcortical.",Lateral hypothalamus is a subcortical hypothalamic region.,"Lateral hypothalamus is a hypothalamic region, subcortical.","LH (lateral hypothalamus) is a hypothalamic nucleus, subcortical.",,,
24,MD,mediodorsal thalamus,Mouse,PM33103997,133,65,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Mediodorsal thalamus is a thalamic nucleus, clearly subcortical. | Mediodorsal thalamus is a thalamic nucleus, thus subcortical. | Mediodorsal thalamus is part of thalamus, classified as subcortical.","Mediodorsal thalamus is a thalamic nucleus, clearly subcortical.","Mediodorsal thalamus is a thalamic nucleus, thus subcortical.","Mediodorsal thalamus is part of thalamus, classified as subcortical.",,,
25,PL,prelimbic cortex,Mouse,PM35838139,130,59,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9833,"Prelimbic cortex is part of prefrontal cortex, thus cortical. | Prelimbic cortex is part of the prefrontal cerebral cortex. | Prelimbic cortex is a cortical area within prefrontal cortex.","Prelimbic cortex is part of prefrontal cortex, thus cortical.",Prelimbic cortex is part of the prefrontal cerebral cortex.,Prelimbic cortex is a cortical area within prefrontal cortex.,,,
26,PAG,periaqueductal gray,Mouse,PM40610407,126,85,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Periaqueductal gray is a brainstem nucleus, subcortical. | Periaqueductal gray is a midbrain structure, subcortical. | Periaqueductal gray is a midbrain nucleus, subcortical.","Periaqueductal gray is a brainstem nucleus, subcortical.","Periaqueductal gray is a midbrain structure, subcortical.","Periaqueductal gray is a midbrain nucleus, subcortical.",,,
27,PVT,paraventricular thalamus,Mouse,PM34032911,124,67,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Paraventricular thalamus is a thalamic nucleus, subcortical. | Paraventricular thalamus is a thalamic nucleus, subcortical. | Paraventricular thalamus is part of thalamus, subcortical.","Paraventricular thalamus is a thalamic nucleus, subcortical.","Paraventricular thalamus is a thalamic nucleus, subcortical.","Paraventricular thalamus is part of thalamus, subcortical.",,,
28,GPe,globus pallidus externus,Mouse,PM42039543,123,53,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Globus pallidus externus is part of basal ganglia, subcortical. | Globus pallidus externus is part of the basal ganglia, subcortical. | Globus pallidus externus is part of basal ganglia, subcortical.","Globus pallidus externus is part of basal ganglia, subcortical.","Globus pallidus externus is part of the basal ganglia, subcortical.","Globus pallidus externus is part of basal ganglia, subcortical.",,,
29,SNr,substantia nigra pars reticulata,Mouse,PM33823137,123,51,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Substantia nigra pars reticulata is a basal ganglia nucleus, subcortical. | Substantia nigra pars reticulata is a midbrain nucleus, subcortical. | Substantia nigra pars reticulata is a midbrain nucleus, subcortical.","Substantia nigra pars reticulata is a basal ganglia nucleus, subcortical.","Substantia nigra pars reticulata is a midbrain nucleus, subcortical.","Substantia nigra pars reticulata is a midbrain nucleus, subcortical.",,,
30,VP,ventral pallidum,Mouse,PM42133082,118,53,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Ventral pallidum is a subcortical basal ganglia structure. | Ventral pallidum is part of basal ganglia, clearly subcortical. | Ventral pallidum is a subcortical basal ganglia structure.",Ventral pallidum is a subcortical basal ganglia structure.,"Ventral pallidum is part of basal ganglia, clearly subcortical.",Ventral pallidum is a subcortical basal ganglia structure.,,,
31,STN,subthalamic nucleus,Mouse,PM35263607,110,52,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,Subthalamic nucleus is a subcortical nucleus involved in basal ganglia. | Subthalamic nucleus is a subcortical nucleus of basal ganglia. | Subthalamic nucleus is a subcortical part of the basal ganglia.,Subthalamic nucleus is a subcortical nucleus involved in basal ganglia.,Subthalamic nucleus is a subcortical nucleus of basal ganglia.,Subthalamic nucleus is a subcortical part of the basal ganglia.,,,
32,CA3,CA3,Mouse,PM37426757,108,62,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,CA3 is a hippocampal subfield; hippocampus is subcortical. | CA3 is a hippocampal subfield; hippocampus is subcortical per instructions. | CA3 is a hippocampal subfield; hippocampal formation is subcortical.,CA3 is a hippocampal subfield; hippocampus is subcortical.,CA3 is a hippocampal subfield; hippocampus is subcortical per instructions.,CA3 is a hippocampal subfield; hippocampal formation is subcortical.,,,
33,hippocampus,hippocampus,Mouse,PM40757734,104,77,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Hippocampus is part of hippocampal formation, classified as subcortical. | Hippocampus is part of hippocampal formation, considered subcortical. | Hippocampus is a subcortical structure.","Hippocampus is part of hippocampal formation, classified as subcortical.","Hippocampus is part of hippocampal formation, considered subcortical.",Hippocampus is a subcortical structure.,,,
34,cerebellum,cerebellum,Mouse,PM36455518,102,58,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,Cerebellum is subcortical per task definition. | Cerebellum is subcortical per task guidelines. | Cerebellum is classified as subcortical for this task.,Cerebellum is subcortical per task definition.,Cerebellum is subcortical per task guidelines.,Cerebellum is classified as subcortical for this task.,,,
35,DMS,dorsomedial striatum,Mouse,PM37156610,102,51,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Dorsomedial striatum is a subcortical part of the striatum. | Dorsomedial striatum is part of striatum/basal ganglia, subcortical. | Dorsomedial striatum is a subcortical basal ganglia component.",Dorsomedial striatum is a subcortical part of the striatum.,"Dorsomedial striatum is part of striatum/basal ganglia, subcortical.",Dorsomedial striatum is a subcortical basal ganglia component.,,,
36,OFC,orbitofrontal cortex,Mouse,PM32424057,99,42,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9933,"Orbitofrontal cortex is a prefrontal cortical region. | orbitofrontal cortex is part of frontal cortex. | OFC is orbitofrontal cortex, a prefrontal cortical area.",Orbitofrontal cortex is a prefrontal cortical region.,orbitofrontal cortex is part of frontal cortex.,"OFC is orbitofrontal cortex, a prefrontal cortical area.",,,
37,IL,infralimbic cortex,Mouse,PM40046441,98,44,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9933,"Infralimbic cortex is a neocortical area. | Infralimbic cortex is a cortical area. | IL is infralimbic cortex, part of medial prefrontal cortex.",Infralimbic cortex is a neocortical area.,Infralimbic cortex is a cortical area.,"IL is infralimbic cortex, part of medial prefrontal cortex.",,,
38,dLGN,dorsal lateral geniculate nucleus,Mouse,PM38890758,96,50,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9933,"Dorsal lateral geniculate nucleus is a thalamic sensory relay nucleus. | dorsal lateral geniculate nucleus is a thalamic nucleus. | dLGN is dorsal lateral geniculate nucleus, a thalamic nucleus.",Dorsal lateral geniculate nucleus is a thalamic sensory relay nucleus.,dorsal lateral geniculate nucleus is a thalamic nucleus.,"dLGN is dorsal lateral geniculate nucleus, a thalamic nucleus.",,,
39,M2,secondary motor cortex,Mouse,PM37001992,94,48,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9933,"Secondary motor cortex is part of the neocortex. | secondary motor cortex is cortical. | M2 is secondary motor cortex, a cortical area.",Secondary motor cortex is part of the neocortex.,secondary motor cortex is cortical.,"M2 is secondary motor cortex, a cortical area.",,,
40,RE,reuniens nucleus,Mouse,PM34301721,94,34,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9933,"Reuniens nucleus is a thalamic nucleus. | reuniens nucleus is a thalamic nucleus. | RE is reuniens nucleus, a thalamic nucleus.",Reuniens nucleus is a thalamic nucleus.,reuniens nucleus is a thalamic nucleus.,"RE is reuniens nucleus, a thalamic nucleus.",,,
41,TRN,thalamic reticular nucleus,Mouse,PM40894799,94,36,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9933,"Thalamic reticular nucleus is a subcortical structure. | thalamic reticular nucleus is a thalamic nucleus. | TRN is thalamic reticular nucleus, a thalamic structure.",Thalamic reticular nucleus is a subcortical structure.,thalamic reticular nucleus is a thalamic nucleus.,"TRN is thalamic reticular nucleus, a thalamic structure.",,,
42,VPM,ventral posteromedial thalamus,Mouse,PM36693103,91,49,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Ventral posteromedial thalamus is a thalamic nucleus, subcortical. | Ventral posteromedial thalamus is a thalamic nucleus, subcortical. | Thalamic nucleus, part of subcortical structures.","Ventral posteromedial thalamus is a thalamic nucleus, subcortical.","Ventral posteromedial thalamus is a thalamic nucleus, subcortical.","Thalamic nucleus, part of subcortical structures.",,,
43,DG,dentate gyrus,Mouse,PM36040301,90,47,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Dentate gyrus is part of hippocampal formation, subcortical. | Dentate gyrus is part of hippocampal formation, subcortical. | Dentate gyrus, part of hippocampal formation classified as subcortical.","Dentate gyrus is part of hippocampal formation, subcortical.","Dentate gyrus is part of hippocampal formation, subcortical.","Dentate gyrus, part of hippocampal formation classified as subcortical.",,,
44,LHb,lateral habenula,Mouse,PM39067532,90,42,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Lateral habenula is part of epithalamus, subcortical. | Lateral habenula is part of epithalamus, subcortical. | Lateral habenula, an epithalamic nucleus, subcortical.","Lateral habenula is part of epithalamus, subcortical.","Lateral habenula is part of epithalamus, subcortical.","Lateral habenula, an epithalamic nucleus, subcortical.",,,
45,DCN,dorsal cochlear nucleus,Mouse,PM35645738,84,29,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Dorsal cochlear nucleus is a brainstem nucleus, subcortical. | Dorsal cochlear nucleus is a brainstem nucleus, subcortical. | Dorsal cochlear nucleus, brainstem auditory nucleus, subcortical.","Dorsal cochlear nucleus is a brainstem nucleus, subcortical.","Dorsal cochlear nucleus is a brainstem nucleus, subcortical.","Dorsal cochlear nucleus, brainstem auditory nucleus, subcortical.",,,
46,LS,lateral septum,Mouse,PM39150998,84,37,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Lateral septum is a septal nucleus, subcortical. | Lateral septum is a septal nucleus, subcortical. | Lateral septum, a septal nucleus, subcortical.","Lateral septum is a septal nucleus, subcortical.","Lateral septum is a septal nucleus, subcortical.","Lateral septum, a septal nucleus, subcortical.",,,
47,hypothalamus,hypothalamus,Mouse,PM35413481,80,56,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,Hypothalamus is a subcortical brain region. | Hypothalamus is a subcortical structure. | Hypothalamus is a subcortical structure.,Hypothalamus is a subcortical brain region.,Hypothalamus is a subcortical structure.,Hypothalamus is a subcortical structure.,,,
48,DLS,dorsolateral striatum,Mouse,PM37156610,77,43,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Dorsolateral striatum is part of the basal ganglia, a subcortical structure. | Dorsolateral striatum is part of basal ganglia, a subcortical structure. | Dorsolateral striatum is part of basal ganglia, a subcortical structure.","Dorsolateral striatum is part of the basal ganglia, a subcortical structure.","Dorsolateral striatum is part of basal ganglia, a subcortical structure.","Dorsolateral striatum is part of basal ganglia, a subcortical structure.",,,
49,PB,parabrachial nucleus,Mouse,PM39801453,75,18,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Parabrachial nucleus is a brainstem nucleus, clearly subcortical. | Parabrachial nucleus is a brainstem nucleus, subcortical. | Parabrachial nucleus is a brainstem nucleus, subcortical.","Parabrachial nucleus is a brainstem nucleus, clearly subcortical.","Parabrachial nucleus is a brainstem nucleus, subcortical.","Parabrachial nucleus is a brainstem nucleus, subcortical.",,,
50,ZI,zona incerta,Mouse,PM39099402,71,37,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Zona incerta is a gray matter region in the subthalamus, subcortical. | Zona incerta is a subcortical diencephalic region. | Zona incerta is a subthalamic subcortical region.","Zona incerta is a gray matter region in the subthalamus, subcortical.",Zona incerta is a subcortical diencephalic region.,Zona incerta is a subthalamic subcortical region.,,,
51,LHA,lateral hypothalamic area,Mouse,PM41722046,70,34,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9667,"Lateral hypothalamic area is part of the hypothalamus, which is subcortical. | Lateral hypothalamic area is part of hypothalamus, subcortical. | Lateral hypothalamic area is part of hypothalamus, subcortical.","Lateral hypothalamic area is part of the hypothalamus, which is subcortical.","Lateral hypothalamic area is part of hypothalamus, subcortical.","Lateral hypothalamic area is part of hypothalamus, subcortical.",,,
52,MOp,primary motor cortex,Mouse,PM41415035,68,24,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9667,"Primary motor cortex is a region of the neocortex, hence cortical. | Primary motor cortex is a cortical area (neocortex). | Primary motor cortex is neocortex, cortical.","Primary motor cortex is a region of the neocortex, hence cortical.",Primary motor cortex is a cortical area (neocortex).,"Primary motor cortex is neocortex, cortical.",,,
53,PrL,prelimbic cortex,Mouse,PM42156719,68,38,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9667,"Prelimbic cortex is part of the prefrontal cortex, a cortical area. | Prelimbic cortex is part of prefrontal cortex, thus cortical. | Prelimbic cortex is a prefrontal cortical area.","Prelimbic cortex is part of the prefrontal cortex, a cortical area.","Prelimbic cortex is part of prefrontal cortex, thus cortical.",Prelimbic cortex is a prefrontal cortical area.,,,
54,VLPAG,ventrolateral periaqueductal gray,Mouse,PM35813503,68,29,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Periaqueductal gray is a midbrain nucleus, subcortical. | ventrolateral periaqueductal gray is a brainstem nucleus; subcortical. | Ventrolateral periaqueductal gray is a brainstem nucleus, clearly subcortical.","Periaqueductal gray is a midbrain nucleus, subcortical.",ventrolateral periaqueductal gray is a brainstem nucleus; subcortical.,"Ventrolateral periaqueductal gray is a brainstem nucleus, clearly subcortical.",,,
55,LGN,lateral geniculate nucleus,Mouse,PM41702717,67,47,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Lateral geniculate nucleus is a thalamic nucleus, subcortical. | lateral geniculate nucleus is a thalamic nucleus; subcortical. | Lateral geniculate nucleus is a thalamic nucleus, thus subcortical.","Lateral geniculate nucleus is a thalamic nucleus, subcortical.",lateral geniculate nucleus is a thalamic nucleus; subcortical.,"Lateral geniculate nucleus is a thalamic nucleus, thus subcortical.",,,
56,SNc,substantia nigra pars compacta,Mouse,PM38272967,66,38,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Substantia nigra pars compacta is a midbrain nucleus, subcortical. | substantia nigra pars compacta is a midbrain nucleus; subcortical. | Substantia nigra pars compacta is a midbrain nucleus, subcortical.","Substantia nigra pars compacta is a midbrain nucleus, subcortical.",substantia nigra pars compacta is a midbrain nucleus; subcortical.,"Substantia nigra pars compacta is a midbrain nucleus, subcortical.",,,
57,PPN,pedunculopontine nucleus,Mouse,PM33907215,65,16,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Pedunculopontine nucleus is a brainstem nucleus, subcortical. | pedunculopontine nucleus is a brainstem nucleus; subcortical. | Pedunculopontine nucleus is a brainstem nucleus, subcortical.","Pedunculopontine nucleus is a brainstem nucleus, subcortical.",pedunculopontine nucleus is a brainstem nucleus; subcortical.,"Pedunculopontine nucleus is a brainstem nucleus, subcortical.",,,
58,brainstem,brainstem,Mouse,PM41467584,63,44,other,flash,other,subcortical,other,2/3,2-1,,,,,,medium,0.8833,"Brainstem is a whole-brain umbrella term without specific locus. | brainstem is a subcortical region comprising midbrain, pons, medulla. | Brainstem is a large region term, not a specific cortical or subcortical nucleus.",Brainstem is a whole-brain umbrella term without specific locus.,"brainstem is a subcortical region comprising midbrain, pons, medulla.","Brainstem is a large region term, not a specific cortical or subcortical nucleus.",,,
59,dorsal striatum,dorsal striatum,Mouse,PM36395541,63,37,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,0.9833,"Dorsal striatum is part of basal ganglia, subcortical. | dorsal striatum is part of basal ganglia; subcortical. | Dorsal striatum is part of basal ganglia, subcortical.","Dorsal striatum is part of basal ganglia, subcortical.",dorsal striatum is part of basal ganglia; subcortical.,"Dorsal striatum is part of basal ganglia, subcortical.",,,
60,putamen,putamen,Human,PM38601798,63,25,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"Putamen is a basal ganglia structure, clearly subcortical. | Putamen is part of basal ganglia, a subcortical gray matter structure. | Putamen is part of the basal ganglia, a subcortical structure.","Putamen is a basal ganglia structure, clearly subcortical.","Putamen is part of basal ganglia, a subcortical gray matter structure.","Putamen is part of the basal ganglia, a subcortical structure.",,,
