record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence,final_reason,seed_old_label,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
37,IL,infralimbic cortex,Mouse,PM40046441,98,44,neocortex,flash,high,0.99,IL (infralimbic cortex) is part of medial prefrontal neocortex. | Infralimbic cortex is a medial prefrontal neocortical area. | IL (infralimbic cortex) is part of medial prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,IL (infralimbic cortex) is part of medial prefrontal neocortex.,Infralimbic cortex is a medial prefrontal neocortical area.,IL (infralimbic cortex) is part of medial prefrontal neocortex.,,,
38,dLGN,dorsal lateral geniculate nucleus,Mouse,PM38890758,96,50,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
39,M2,secondary motor cortex,Mouse,PM37001992,94,48,neocortex,flash,high,0.9967,M2 (secondary motor cortex) is a neocortical area. | Secondary motor cortex is a neocortical area. | M2 (secondary motor cortex) is a neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,M2 (secondary motor cortex) is a neocortical area.,Secondary motor cortex is a neocortical area.,M2 (secondary motor cortex) is a neocortical area.,,,
40,RE,reuniens nucleus,Mouse,PM34301721,94,34,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
41,TRN,thalamic reticular nucleus,Mouse,PM40894799,94,36,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
42,VPM,ventral posteromedial thalamus,Mouse,PM36693103,91,49,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
43,DG,dentate gyrus,Mouse,PM36040301,90,47,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
44,LHb,lateral habenula,Mouse,PM39067532,90,42,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
45,DCN,dorsal cochlear nucleus,Mouse,PM35645738,84,29,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
46,LS,lateral septum,Mouse,PM39150998,84,37,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
47,hypothalamus,hypothalamus,Mouse,PM35413481,80,56,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
48,DLS,dorsolateral striatum,Mouse,PM37156610,77,43,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
49,PB,parabrachial nucleus,Mouse,PM39801453,75,18,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
50,ZI,zona incerta,Mouse,PM39099402,71,37,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
51,LHA,lateral hypothalamic area,Mouse,PM41722046,70,34,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
52,MOp,primary motor cortex,Mouse,PM41415035,68,24,neocortex,flash,high,0.9967,Primary motor cortex is a well-known neocortical area. | MOp (primary motor cortex) is a standard neocortical area. | Primary motor cortex (MOp) is a well-defined neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Primary motor cortex is a well-known neocortical area.,MOp (primary motor cortex) is a standard neocortical area.,Primary motor cortex (MOp) is a well-defined neocortical area.,,,
53,PrL,prelimbic cortex,Mouse,PM42156719,68,38,neocortex,flash,high,0.9967,Prelimbic cortex is part of medial prefrontal neocortex. | PrL (prelimbic cortex) is part of medial prefrontal neocortex. | Prelimbic cortex is part of medial prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Prelimbic cortex is part of medial prefrontal neocortex.,PrL (prelimbic cortex) is part of medial prefrontal neocortex.,Prelimbic cortex is part of medial prefrontal neocortex.,,,
54,VLPAG,ventrolateral periaqueductal gray,Mouse,PM35813503,68,29,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
55,LGN,lateral geniculate nucleus,Mouse,PM41702717,67,47,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
56,SNc,substantia nigra pars compacta,Mouse,PM38272967,66,38,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
57,PPN,pedunculopontine nucleus,Mouse,PM33907215,65,16,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
58,brainstem,brainstem,Mouse,PM41467584,63,44,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
59,dorsal striatum,dorsal striatum,Mouse,PM36395541,63,37,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
60,putamen,putamen,Human,PM38601798,63,25,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
61,somatosensory cortex,somatosensory cortex,Mouse,PM35551446,63,43,neocortex,flash,high,0.9967,Somatosensory cortex is a classic neocortical region. | Somatosensory cortex is a neocortical region. | Somatosensory cortex is a classic neocortical region.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Somatosensory cortex is a classic neocortical region.,Somatosensory cortex is a neocortical region.,Somatosensory cortex is a classic neocortical region.,,,
62,POm,posterior medial thalamus,Mouse,PM36735778,62,32,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
63,vHPC,ventral hippocampus,Mouse,PM40204437,62,25,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
64,CLA,claustrum,Mouse,PM36774552,61,15,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
65,PF,parafascicular nucleus,Mouse,PM38260117,61,33,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
66,DRN,dorsal raphe nucleus,Mouse,PM39593192,60,31,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
67,retina,retina,Mouse,PM40911558,60,28,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
68,sensorimotor cortex,sensorimotor cortex,Mouse,PM34449938,59,33,neocortex,flash,high,0.9967,Sensorimotor cortex comprises neocortical motor and somatosensory areas. | Sensorimotor cortex refers to neocortical motor and somatosensory areas. | Sensorimotor cortex refers to neocortical motor and somatosensory areas.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Sensorimotor cortex comprises neocortical motor and somatosensory areas.,Sensorimotor cortex refers to neocortical motor and somatosensory areas.,Sensorimotor cortex refers to neocortical motor and somatosensory areas.,,,
69,VL,ventrolateral thalamus,Mouse,PM40657851,59,27,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
70,prefrontal cortex,prefrontal cortex,Human,PM34617601,58,44,neocortex,flash,high,0.9967,Prefrontal cortex is neocortex in humans. | Prefrontal cortex is neocortex (isocortex). | Prefrontal cortex is a major division of neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Prefrontal cortex is neocortex in humans.,Prefrontal cortex is neocortex (isocortex).,Prefrontal cortex is a major division of neocortex.,,,
71,S2,secondary somatosensory cortex,Mouse,PM40346961,58,27,neocortex,flash,high,0.9967,Secondary somatosensory cortex is a neocortical area. | S2 (secondary somatosensory cortex) is a neocortical area. | Secondary somatosensory cortex (S2) is a neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Secondary somatosensory cortex is a neocortical area.,S2 (secondary somatosensory cortex) is a neocortical area.,Secondary somatosensory cortex (S2) is a neocortical area.,,,
72,TC,thalamocortical,Mouse,PM40894799,58,25,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
73,PO,posterior nucleus,Mouse,PM36096667,57,25,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
74,primary motor cortex,primary motor cortex,Human,PM35982397,57,48,neocortex,flash,high,0.9833,Primary motor cortex is a classic 6-layered neocortical area. | Primary motor cortex is a canonical 6-layered isocortical area. | Primary motor cortex is a well-defined neocortical area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Primary motor cortex is a classic 6-layered neocortical area.,Primary motor cortex is a canonical 6-layered isocortical area.,Primary motor cortex is a well-defined neocortical area.,,,
75,vmPFC,ventromedial prefrontal cortex,Mouse,PM33790281,57,23,neocortex,flash,high,0.9833,Ventromedial prefrontal cortex is a neocortical region of the frontal lobe. | Ventromedial prefrontal cortex is part of prefrontal neocortex. | Ventromedial prefrontal cortex is part of prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Ventromedial prefrontal cortex is a neocortical region of the frontal lobe.,Ventromedial prefrontal cortex is part of prefrontal neocortex.,Ventromedial prefrontal cortex is part of prefrontal neocortex.,,,
76,CST,corticospinal tract,Mouse,PM39416130,56,28,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
77,PVH,paraventricular hypothalamus,Mouse,PM39179131,56,33,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
78,Sub,subiculum,Mouse,PM32433957,56,19,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
79,superior colliculus,superior colliculus,Mouse,PM36438664,56,38,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
80,VPL,ventral posterolateral nucleus,Mouse,PM38993679,56,38,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
81,LPB,lateral parabrachial nucleus,Mouse,PM35838792,55,26,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
82,PPC,posterior parietal cortex,Mouse,PM36117273,55,19,neocortex,flash,high,0.9833,Posterior parietal cortex is part of the neocortex. | Posterior parietal cortex is a neocortical association area. | Posterior parietal cortex is a neocortical association area.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Posterior parietal cortex is part of the neocortex.,Posterior parietal cortex is a neocortical association area.,Posterior parietal cortex is a neocortical association area.,,,
83,RSC,retrosplenial cortex,Mouse,PM39511453,54,23,neocortex,flash,medium,0.75,Retrosplenial cortex is typically considered part of the isocortex in modern atlases. | Retrosplenial cortex is borderline but conventionally grouped with isocortex in mouse. | Retrosplenial cortex is borderline mesocortex; conventional classification varies.,cortical,neocortex,neocortex,ambiguous,2/3,2-1,,,,,,Retrosplenial cortex is typically considered part of the isocortex in modern atlases.,Retrosplenial cortex is borderline but conventionally grouped with isocortex in mouse.,Retrosplenial cortex is borderline mesocortex; conventional classification varies.,,,
84,VM,ventromedial thalamus,Mouse,PM37645018,54,33,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
85,cervical spinal cord,cervical spinal cord,Mouse,PM35122444,53,29,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
86,EC,entorhinal cortex,Mouse,PM37827206,53,32,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'entorhinal' → non_neocortex,cortical,,,,,,,,,,,,,,,,
87,MGB,medial geniculate body,Mouse,PM33103997,53,23,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
88,AI,anterior insula,Mouse,PM42107475,52,23,neocortex,flash,medium,0.65,Anterior insula is a borderline mesocortical region but often grouped with neocortex. | Anterior insula is considered part of isocortex in many mouse atlases. | Anterior insula is a borderline mesocortical area; neocortical vs allocortical status unclear.,cortical,neocortex,neocortex,ambiguous,2/3,2-1,,,,,,Anterior insula is a borderline mesocortical region but often grouped with neocortex.,Anterior insula is considered part of isocortex in many mouse atlases.,Anterior insula is a borderline mesocortical area; neocortical vs allocortical status unclear.,,,
89,RGC,retinal ganglion cell,Mouse,PM40063795,52,29,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
90,ACA,anterior cingulate area,Mouse,PM39149348,50,25,neocortex,flash,medium,0.65,Anterior cingulate area is a borderline mesocortical region but typically included in isocortex. | Anterior cingulate area is borderline but commonly classified as isocortex in mouse. | Anterior cingulate area is borderline mesocortex; classification depends on convention.,cortical,neocortex,neocortex,ambiguous,2/3,2-1,,,,,,Anterior cingulate area is a borderline mesocortical region but typically included in isocortex.,Anterior cingulate area is borderline but commonly classified as isocortex in mouse.,Anterior cingulate area is borderline mesocortex; classification depends on convention.,,,
91,claustrum,claustrum,Mouse,PM32975316,50,24,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
92,CSF-contacting nucleus,CSF-contacting nucleus,Rat,PM32973466,49,2,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
93,PBN,parabrachial nucleus,Mouse,PM37023756,49,32,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
94,pons,pons,Mouse,PM38514616,49,33,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
95,AC,auditory cortex,Mouse,PM35366148,47,22,neocortex,flash,high,0.98,"Auditory cortex is a primary neocortical area. | Acronym AC expanded to auditory cortex, a primary sensory neocortical area. | Auditory cortex is a neocortical region.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Auditory cortex is a primary neocortical area.,"Acronym AC expanded to auditory cortex, a primary sensory neocortical area.",Auditory cortex is a neocortical region.,,,
96,GPi,globus pallidus internus,Mouse,PM41959286,47,23,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
97,HDB,horizontal diagonal band,Mouse,PM39049824,47,15,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
98,LP,lateral posterior nucleus,Mouse,PM35383929,47,23,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
99,CA2,CA2,Mouse,PM36309963,46,21,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
100,cerebral cortex,cerebral cortex,Human,PM35973564,46,31,other,flash,high,0.8667,"Umbrella term for entire cortical mantle, not a specific neocortical or non-neocortical region. | Broad term encompassing neocortex and allocortex; cannot assign to a single category. | Cerebral cortex is an umbrella term for the entire cortical sheet, not specifically neocortex.",cortical,other,other,other,3/3,3-0,,,,,,"Umbrella term for entire cortical mantle, not a specific neocortical or non-neocortical region.",Broad term encompassing neocortex and allocortex; cannot assign to a single category.,"Cerebral cortex is an umbrella term for the entire cortical sheet, not specifically neocortex.",,,
101,LA,lateral amygdala,Mouse,PM39103495,46,22,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
102,VMH,ventromedial hypothalamus,Mouse,PM33263778,46,21,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
103,insula,insula,Mouse,PM34117229,45,19,neocortex,flash,medium,0.7,"Insula is conventionally grouped with neocortex in rodents, though borderline mesocortical. | Insula is typically considered part of isocortex in mouse brain atlases, though borderline. | Insula is a borderline mesocortical area; cannot definitively classify as neocortex or non_neocortex.",cortical,neocortex,neocortex,ambiguous,2/3,2-1,,,,,,"Insula is conventionally grouped with neocortex in rodents, though borderline mesocortical.","Insula is typically considered part of isocortex in mouse brain atlases, though borderline.",Insula is a borderline mesocortical area; cannot definitively classify as neocortex or non_neocortex.,,,
104,LEC,lateral entorhinal cortex,Mouse,PM42124717,45,25,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'entorhinal' → non_neocortex,cortical,,,,,,,,,,,,,,,,
105,visual cortex,visual cortex,Mouse,PM38890758,45,26,neocortex,flash,high,0.98,Visual cortex is a neocortical sensory area. | Visual cortex is a primary sensory neocortical area. | Visual cortex is a neocortical region.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Visual cortex is a neocortical sensory area.,Visual cortex is a primary sensory neocortical area.,Visual cortex is a neocortical region.,,,
106,CN,cerebellar nuclei,Mouse,PM37164181,44,16,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
107,MEC,medial entorhinal cortex,Mouse,PM36562467,44,24,non_neocortex,seed_keyword,high,1.0,seed: cortical + keyword 'entorhinal' → non_neocortex,cortical,,,,,,,,,,,,,,,,
108,pulvinar,pulvinar,Human,PM41354955,44,22,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
109,A1,primary auditory cortex,Mouse,PM33157020,43,22,neocortex,flash,high,0.98,"A1 is primary auditory cortex, a neocortical area. | Acronym A1 expanded to primary auditory cortex, a neocortical area. | Primary auditory cortex is neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,"A1 is primary auditory cortex, a neocortical area.","Acronym A1 expanded to primary auditory cortex, a neocortical area.",Primary auditory cortex is neocortex.,,,
